index,Distributed Energy_2050_Export Capacity (MW),Distributed Energy_2050_Export Capacity (MW),Distributed Energy_2050_Export Capacity (MW),DistributedEnergy_2050.csv_Export Capacity (MW),Global Ambition_2050_Export Capacity (MW),Global Ambition_2050_Export Capacity (MW),Global Ambition_2050_Export Capacity (MW),GlobalAmbition_2050.csv_Export Capacity (MW),Distributed Energy_2050_Import Capacity (MW),Distributed Energy_2050_Import Capacity (MW),Distributed Energy_2050_Import Capacity (MW),DistributedEnergy_2050.csv_Import Capacity (MW),Global Ambition_2050_Import Capacity (MW),Global Ambition_2050_Import Capacity (MW),Global Ambition_2050_Import Capacity (MW),GlobalAmbition_2050.csv_Import Capacity (MW)
DKE1-SE04,4200.0,4200.0,4200.0,4200.0,3200.0,3200.0,3200.0,3200.0,3800.0,3800.0,3800.0,3800.0,2800.0,2800.0,2800.0,2800.0
DKW1-NL00,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0
DKW1-NOS0,1640.0,1640.0,1640.0,1640.0,1640.0,1640.0,1640.0,1640.0,1640.0,1640.0,1640.0,1640.0,1640.0,1640.0,1640.0,1640.0
DKW1-SE03,2215.0,2215.0,2215.0,2215.0,715.0,715.0,715.0,715.0,2215.0,2215.0,2215.0,2215.0,715.0,715.0,715.0,715.0
DKW1-UK00,2800.0,2800.0,2800.0,2800.0,1400.0,1400.0,1400.0,1400.0,2800.0,2800.0,2800.0,2800.0,1400.0,1400.0,1400.0,1400.0
EE00-LV00,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
ES00-FR00,11000.0,11000.0,11000.0,11000.0,8000.0,8000.0,8000.0,8000.0,11000.0,11000.0,11000.0,11000.0,8000.0,8000.0,8000.0,8000.0
ES00-PT00,6200.0,6200.0,6200.0,6200.0,4700.0,4700.0,4700.0,4700.0,5500.0,5500.0,5500.0,5500.0,4000.0,4000.0,4000.0,4000.0
FI00-NON1,1000.0,1000.0,1000.0,1000.0,,,,,1000.0,1000.0,1000.0,1000.0,,,,
FI00-SE01,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
FI00-SE02,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
FI00-SE03,2200.0,2200.0,2200.0,2200.0,1200.0,1200.0,1200.0,1200.0,2200.0,2200.0,2200.0,2200.0,1200.0,1200.0,1200.0,1200.0
FR00-IT00,4100.0,4100.0,4100.0,4100.0,5100.0,5100.0,5100.0,5100.0,2000.0,2000.0,2000.0,2000.0,3000.0,3000.0,3000.0,3000.0
FR00-LU00,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,,,,,,,,
FR15-IT00,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0
GR00-IT00,1500.0,1500.0,1500.0,1500.0,500.0,500.0,500.0,500.0,1500.0,1500.0,1500.0,1500.0,500.0,500.0,500.0,500.0
GR00-MA00,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
GR00-MK00,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,1850.0,1850.0,1850.0,1850.0,1850.0,1850.0,1850.0,1850.0
GR00-TR00,3260.0,3260.0,3260.0,3260.0,3260.0,3260.0,3260.0,3260.0,3180.0,3180.0,3180.0,3180.0,3180.0,3180.0,3180.0,3180.0
