t,CH01,CH02,CH03,CH04,CH05,CH06,CH07
t_1,0.013,0.001,0.001,0.001,0.057,0.029,0.057
t_2,0.023,0.001,0.001,0.001,0.072,0.037,0.072
t_3,0.011,0.001,0.001,0.001,0.088,0.045,0.088
t_4,0.011,0.003,0.003,0.003,0.118,0.061,0.118
t_5,0.047,0.006,0.006,0.006,0.158,0.082,0.158
t_6,0.119,0.018,0.018,0.018,0.163,0.091,0.163
t_7,0.179,0.011,0.011,0.011,0.161,0.086,0.161
t_8,0.239,0.008,0.008,0.008,0.144,0.076,0.144
t_9,0.284,0.012,0.012,0.012,0.098,0.055,0.098
t_10,0.339,0.009,0.009,0.009,0.086,0.048,0.086
t_11,0.399,0.002,0.002,0.002,0.126,0.064,0.126
t_12,0.161,0.000,0.000,0.000,0.158,0.079,0.158
t_13,0.164,0.000,0.000,0.000,0.161,0.081,0.161
t_14,0.178,0.000,0.000,0.000,0.117,0.059,0.117
t_15,0.192,0.003,0.003,0.003,0.065,0.034,0.065
t_16,0.201,0.009,0.009,0.009,0.050,0.030,0.050
t_17,0.218,0.040,0.040,0.040,0.040,0.040,0.040
t_18,0.202,0.082,0.082,0.082,0.026,0.054,0.026
t_19,0.166,0.116,0.116,0.116,0.016,0.066,0.016
t_20,0.119,0.128,0.128,0.128,0.009,0.069,0.009
t_21,0.078,0.110,0.110,0.110,0.005,0.058,0.005
t_22,0.053,0.064,0.064,0.064,0.002,0.033,0.002
t_23,0.059,0.019,0.019,0.019,0.001,0.010,0.001
t_24,0.037,0.001,0.001,0.001,0.000,0.001,0.000
t_25,0.014,0.000,0.000,0.000,0.000,0.000,0.000
t_26,0.016,0.000,0.000,0.000,0.000,0.000,0.000
t_27,0.022,0.000,0.000,0.000,0.000,0.000,0.000
t_28,0.025,0.000,0.000,0.000,0.000,0.000,0.000
t_29,0.026,0.000,0.000,0.000,0.000,0.000,0.000
t_30,0.028,0.000,0.000,0.000,0.000,0.000,0.000
t_31,0.031,0.000,0.000,0.000,0.000,0.000,0.000
t_32,0.036,0.001,0.001,0.001,0.000,0.001,0.000
t_33,0.035,0.001,0.001,0.001,0.000,0.001,0.000
t_34,0.032,0.002,0.002,0.002,0.000,0.001,0.000
t_35,0.039,0.002,0.002,0.002,0.000,0.001,0.000
t_36,0.057,0.005,0.005,0.005,0.002,0.004,0.002
t_37,0.087,0.012,0.012,0.012,0.003,0.008,0.003
t_38,0.138,0.021,0.021,0.021,0.003,0.012,0.003
t_39,0.197,0.034,0.034,0.034,0.004,0.019,0.004
t_40,0.264,0.074,0.074,0.074,0.003,0.039,0.003
t_41,0.371,0.146,0.146,0.146,0.005,0.076,0.005
t_42,0.452,0.205,0.205,0.205,0.007,0.106,0.007
t_43,0.517,0.263,0.263,0.263,0.012,0.138,0.012
t_44,0.564,0.341,0.341,0.341,0.020,0.181,0.020
t_45,0.577,0.349,0.349,0.349,0.028,0.189,0.028
t_46,0.574,0.338,0.338,0.338,0.033,0.186,0.033
t_47,0.566,0.308,0.308,0.308,0.036,0.172,0.036
t_48,0.548,0.334,0.334,0.334,0.035,0.185,0.035
t_49,0.510,0.352,0.352,0.352,0.033,0.193,0.033
t_50,0.465,0.345,0.345,0.345,0.036,0.191,0.036
t_51,0.421,0.311,0.311,0.311,0.034,0.173,0.034
t_52,0.398,0.306,0.306,0.306,0.042,0.174,0.042
t_53,0.371,0.342,0.342,0.342,0.052,0.197,0.052
t_54,0.320,0.337,0.337,0.337,0.055,0.196,0.055
t_55,0.261,0.271,0.271,0.271,0.055,0.163,0.055
t_56,0.201,0.218,0.218,0.218,0.056,0.137,0.056
t_57,0.133,0.152,0.152,0.152,0.037,0.095,0.037
t_58,0.099,0.071,0.071,0.071,0.014,0.043,0.014
t_59,0.032,0.028,0.028,0.028,0.009,0.019,0.009
t_60,0.011,0.020,0.020,0.020,0.005,0.013,0.005
t_61,0.007,0.015,0.015,0.015,0.002,0.009,0.002
t_62,0.010,0.015,0.015,0.015,0.001,0.008,0.001
t_63,0.026,0.017,0.017,0.017,0.000,0.009,0.000
t_64,0.093,0.023,0.023,0.023,0.000,0.012,0.000
t_65,0.188,0.029,0.029,0.029,0.000,0.015,0.000
t_66,0.208,0.041,0.041,0.041,0.000,0.021,0.000
t_67,0.164,0.069,0.069,0.069,0.000,0.035,0.000
t_68,0.168,0.085,0.085,0.085,0.000,0.043,0.000
t_69,0.183,0.091,0.091,0.091,0.000,0.046,0.000
t_70,0.187,0.079,0.079,0.079,0.002,0.041,0.002
t_71,0.194,0.044,0.044,0.044,0.007,0.026,0.007
t_72,0.203,0.018,0.018,0.018,0.012,0.015,0.012
t_73,0.208,0.008,0.008,0.008,0.017,0.013,0.017
t_74,0.215,0.006,0.006,0.006,0.022,0.014,0.022
t_75,0.225,0.006,0.006,0.006,0.023,0.015,0.023
t_76,0.257,0.003,0.003,0.003,0.030,0.017,0.030
t_77,0.313,0.003,0.003,0.003,0.044,0.024,0.044
t_78,0.369,0.005,0.005,0.005,0.059,0.032,0.059
t_79,0.410,0.007,0.007,0.007,0.069,0.038,0.069
t_80,0.415,0.008,0.008,0.008,0.078,0.043,0.078
t_81,0.372,0.006,0.006,0.006,0.052,0.029,0.052
t_82,0.329,0.002,0.002,0.002,0.027,0.015,0.027
t_83,0.298,0.000,0.000,0.000,0.039,0.020,0.039
t_84,0.295,0.000,0.000,0.000,0.044,0.022,0.044
t_85,0.303,0.000,0.000,0.000,0.040,0.020,0.040
t_86,0.344,0.000,0.000,0.000,0.033,0.017,0.033
t_87,0.383,0.000,0.000,0.000,0.024,0.012,0.024
t_88,0.367,0.000,0.000,0.000,0.034,0.017,0.034
t_89,0.398,0.000,0.000,0.000,0.060,0.030,0.060
t_90,0.388,0.000,0.000,0.000,0.085,0.043,0.085
t_91,0.370,0.000,0.000,0.000,0.096,0.048,0.096
t_92,0.348,0.001,0.001,0.001,0.106,0.054,0.106
t_93,0.316,0.007,0.007,0.007,0.117,0.062,0.117
t_94,0.304,0.010,0.010,0.010,0.129,0.070,0.129
t_95,0.288,0.008,0.008,0.008,0.139,0.074,0.139
t_96,0.275,0.001,0.001,0.001,0.144,0.073,0.144
t_97,0.270,0.001,0.001,0.001,0.144,0.073,0.144
t_98,0.262,0.000,0.000,0.000,0.142,0.071,0.142
t_99,0.257,0.000,0.000,0.000,0.129,0.065,0.129
t_100,0.241,0.000,0.000,0.000,0.119,0.060,0.119
t_101,0.231,0.000,0.000,0.000,0.107,0.054,0.107
t_102,0.224,0.000,0.000,0.000,0.088,0.044,0.088
t_103,0.222,0.000,0.000,0.000,0.064,0.032,0.064
t_104,0.231,0.000,0.000,0.000,0.037,0.019,0.037
t_105,0.197,0.000,0.000,0.000,0.014,0.007,0.014
t_106,0.134,0.000,0.000,0.000,0.007,0.004,0.007
t_107,0.138,0.000,0.000,0.000,0.005,0.003,0.005
t_108,0.197,0.000,0.000,0.000,0.005,0.003,0.005
t_109,0.239,0.000,0.000,0.000,0.003,0.002,0.003
t_110,0.259,0.000,0.000,0.000,0.002,0.001,0.002
t_111,0.231,0.001,0.001,0.001,0.002,0.002,0.002
t_112,0.211,0.003,0.003,0.003,0.003,0.003,0.003
t_113,0.241,0.010,0.010,0.010,0.004,0.007,0.004
t_114,0.443,0.018,0.018,0.018,0.007,0.013,0.007
t_115,0.439,0.027,0.027,0.027,0.009,0.018,0.009
t_116,0.238,0.040,0.040,0.040,0.012,0.026,0.012
t_117,0.247,0.066,0.066,0.066,0.017,0.042,0.017
t_118,0.264,0.105,0.105,0.105,0.023,0.064,0.023
t_119,0.277,0.135,0.135,0.135,0.028,0.082,0.028
t_120,0.308,0.137,0.137,0.137,0.031,0.084,0.031
t_121,0.356,0.143,0.143,0.143,0.033,0.088,0.033
t_122,0.406,0.150,0.150,0.150,0.035,0.093,0.035
t_123,0.449,0.154,0.154,0.154,0.040,0.097,0.040
t_124,0.471,0.142,0.142,0.142,0.056,0.099,0.056
t_125,0.513,0.143,0.143,0.143,0.087,0.115,0.087
