Datetime,CH01,CH02,CH03,CH04,CH05,CH06,CH07
01/01/2007 00:00,0,0,0,0,0,0,0
01/01/2007 01:00,0,0,0,0,0,0,0
01/01/2007 02:00,0,0,0,0,0,0,0
01/01/2007 03:00,0,0,0,0,0,0,0
01/01/2007 04:00,0,0,0,0,0,0,0
01/01/2007 05:00,0,0,0,0,0,0,0
01/01/2007 06:00,0,0,0,0,0,0,0
01/01/2007 07:00,0,0,0,0,0.00665,0,0
01/01/2007 08:00,0.02075,0.02708,0.01675,0.02404,0.09497,0.00767,0.04383
01/01/2007 09:00,0.07926,0.0707,0.04521,0.03178,0.11271,0.037,0.09235
01/01/2007 10:00,0.11011,0.04458,0.05804,0.05422,0.13185,0.03886,0.1069
01/01/2007 11:00,0.04457,0.02283,0.02926,0.03037,0.14366,0.02184,0.13557
01/01/2007 12:00,0.02176,0.02019,0.02858,0.02367,0.06497,0.02196,0.03236
01/01/2007 13:00,0.02624,0.03099,0.02144,0.01536,0.01955,0.01848,0.0128
01/01/2007 14:00,0.03057,0.03785,0.02684,0.01766,0.02108,0.02805,0.02526
01/01/2007 15:00,0.04527,0.00623,0.00648,0.00366,0.00836,0.01137,0.03249
01/01/2007 16:00,0,0,0,0,0,0,0
01/01/2007 17:00,0,0,0,0,0,0,0
01/01/2007 18:00,0,0,0,0,0,0,0
01/01/2007 19:00,0,0,0,0,0,0,0
01/01/2007 20:00,0,0,0,0,0,0,0
01/01/2007 21:00,0,0,0,0,0,0,0
01/01/2007 22:00,0,0,0,0,0,0,0
01/01/2007 23:00,0,0,0,0,0,0,0
02/01/2007 00:00,0,0,0,0,0,0,0
02/01/2007 01:00,0,0,0,0,0,0,0
02/01/2007 02:00,0,0,0,0,0,0,0
02/01/2007 03:00,0,0,0,0,0,0,0
02/01/2007 04:00,0,0,0,0,0,0,0
02/01/2007 05:00,0,0,0,0,0,0,0
02/01/2007 06:00,0,0,0,0,0,0,0
02/01/2007 07:00,0,0,0,0,0.00663,0,0
02/01/2007 08:00,0.06616,0.08538,0.17195,0.03821,0.02795,0.08976,0.15375
02/01/2007 09:00,0.10607,0.10501,0.15873,0.13807,0.07017,0.07333,0.32794
