Datetime,CH01,CH02,CH03,CH04,CH05,CH06,CH07
01/01/2008 00:00,0,0,0,0,0,0,0
01/01/2008 01:00,0,0,0,0,0,0,0
01/01/2008 02:00,0,0,0,0,0,0,0
01/01/2008 03:00,0,0,0,0,0,0,0
01/01/2008 04:00,0,0,0,0,0,0,0
01/01/2008 05:00,0,0,0,0,0,0,0
01/01/2008 06:00,0,0,0,0,0,0,0
01/01/2008 07:00,0,0,0,0,0.00686,0,0
01/01/2008 08:00,0.14516,0.14138,0.09914,0.09306,0.05844,0.05673,0.21611
01/01/2008 09:00,0.25492,0.25045,0.11089,0.11545,0.15015,0.10813,0.43791
01/01/2008 10:00,0.31994,0.27448,0.09425,0.07018,0.23194,0.06249,0.60195
01/01/2008 11:00,0.36672,0.22473,0.10078,0.08352,0.21857,0.08016,0.64629
01/01/2008 12:00,0.35709,0.17189,0.0714,0.09304,0.30225,0.21771,0.64007
01/01/2008 13:00,0.23136,0.13143,0.04092,0.05481,0.23772,0.11397,0.51005
01/01/2008 14:00,0.12581,0.07284,0.04637,0.06063,0.18029,0.05738,0.36789
01/01/2008 15:00,0.05105,0.03067,0.0462,0.01214,0.03671,0.03177,0.10606
01/01/2008 16:00,0,0,0,0,0,0,0
01/01/2008 17:00,0,0,0,0,0,0,0
01/01/2008 18:00,0,0,0,0,0,0,0
01/01/2008 19:00,0,0,0,0,0,0,0
01/01/2008 20:00,0,0,0,0,0,0,0
01/01/2008 21:00,0,0,0,0,0,0,0
01/01/2008 22:00,0,0,0,0,0,0,0
01/01/2008 23:00,0,0,0,0,0,0,0
02/01/2008 00:00,0,0,0,0,0,0,0
02/01/2008 01:00,0,0,0,0,0,0,0
02/01/2008 02:00,0,0,0,0,0,0,0
02/01/2008 03:00,0,0,0,0,0,0,0
02/01/2008 04:00,0,0,0,0,0,0,0
02/01/2008 05:00,0,0,0,0,0,0,0
02/01/2008 06:00,0,0,0,0,0,0,0
02/01/2008 07:00,0,0,0,0,0.00676,0,0
02/01/2008 08:00,0.04164,0.03427,0.02794,0.0596,0.06397,0.08819,0.02298
02/01/2008 09:00,0.16343,0.10403,0.04605,0.11409,0.15046,0.1278,0.06112
02/01/2008 10:00,0.20848,0.11194,0.04612,0.13939,0.19424,0.12229,0.0398
02/01/2008 11:00,0.22108,0.164,0.05504,0.17252,0.23048,0.14591,0.04562
02/01/2008 12:00,0.2488,0.17979,0.06745,0.15113,0.2298,0.18861,0.05651
02/01/2008 13:00,0.24098,0.18004,0.10418,0.17425,0.22116,0.27165,0.11751
02/01/2008 14:00,0.1877,0.11608,0.10555,0.21936,0.20464,0.13977,0.06537
02/01/2008 15:00,0.09956,0.04575,0.00803,0.03324,0.07287,0.02672,0.0168
02/01/2008 16:00,0,0,0,0,0,0,0
02/01/2008 17:00,0,0,0,0,0,0,0
02/01/2008 18:00,0,0,0,0,0,0,0
02/01/2008 19:00,0,0,0,0,0,0,0
02/01/2008 20:00,0,0,0,0,0,0,0
02/01/2008 21:00,0,0,0,0,0,0,0
02/01/2008 22:00,0,0,0,0,0,0,0
02/01/2008 23:00,0,0,0,0,0,0,0
03/01/2008 00:00,0,0,0,0,0,0,0
03/01/2008 01:00,0,0,0,0,0,0,0
03/01/2008 02:00,0,0,0,0,0,0,0
03/01/2008 03:00,0,0,0,0,0,0,0
03/01/2008 04:00,0,0,0,0,0,0,0
03/01/2008 05:00,0,0,0,0,0,0,0
03/01/2008 06:00,0,0,0,0,0,0,0
03/01/2008 07:00,0,0,0,0,0.00624,0,0
03/01/2008 08:00,0.06546,0.07402,0.08372,0.11912,0.03294,0.14196,0.05186
03/01/2008 09:00,0.21103,0.12676,0.27723,0.25812,0.14849,0.21093,0.08101
03/01/2008 10:00,0.20933,0.18577,0.19991,0.26302,0.23988,0.21805,0.13526
