t,CH01,CH02,CH03,CH04,CH05,CH06,CH07
t_1,0.225,0.995,0.995,0.995,0.971,0.983,0.971
t_2,0.21,0.996,0.996,0.996,0.988,0.992,0.988
t_3,0.186,0.995,0.995,0.995,0.993,0.994,0.993
t_4,0.178,0.995,0.995,0.995,0.993,0.994,0.993
t_5,0.185,0.995,0.995,0.995,0.993,0.994,0.993
t_6,0.209,0.995,0.995,0.995,0.992,0.994,0.992
t_7,0.224,0.982,0.982,0.982,0.992,0.987,0.992
t_8,0.229,0.997,0.997,0.997,0.992,0.995,0.992
t_9,0.187,0.996,0.996,0.996,0.99,0.993,0.99
t_10,0.18,0.965,0.965,0.965,0.986,0.976,0.986
t_11,0.157,0.947,0.947,0.947,0.983,0.965,0.983
t_12,0.201,0.921,0.921,0.921,0.971,0.946,0.971
t_13,0.254,0.85,0.85,0.85,0.97,0.91,0.97
t_14,0.242,0.778,0.778,0.778,0.976,0.877,0.976
t_15,0.194,0.707,0.707,0.707,0.977,0.842,0.977
t_16,0.202,0.541,0.541,0.541,0.981,0.761,0.981
t_17,0.227,0.311,0.311,0.311,0.983,0.647,0.983
t_18,0.253,0.213,0.213,0.213,0.975,0.594,0.975
t_19,0.322,0.391,0.391,0.391,0.943,0.667,0.943
t_20,0.483,0.611,0.611,0.611,0.85,0.731,0.85
t_21,0.626,0.817,0.817,0.817,0.669,0.743,0.669
t_22,0.7,0.839,0.839,0.839,0.443,0.641,0.443
t_23,0.794,0.895,0.895,0.895,0.241,0.568,0.241
t_24,0.882,0.957,0.957,0.957,0.108,0.533,0.108
t_25,0.904,0.951,0.951,0.951,0.031,0.491,0.031
t_26,0.928,0.994,0.994,0.994,0.002,0.498,0.002
t_27,0.929,0.994,0.994,0.994,0.009,0.502,0.009
t_28,0.91,0.981,0.981,0.981,0.02,0.501,0.02
t_29,0.925,0.981,0.981,0.981,0.033,0.507,0.033
t_30,0.923,0.983,0.983,0.983,0.096,0.54,0.096
t_31,0.899,0.994,0.994,0.994,0.275,0.635,0.275
t_32,0.854,0.876,0.876,0.876,0.549,0.713,0.549
t_33,0.802,0.662,0.662,0.662,0.779,0.721,0.779
t_34,0.724,0.52,0.52,0.52,0.924,0.722,0.924
t_35,0.698,0.54,0.54,0.54,0.959,0.75,0.959
t_36,0.715,0.548,0.548,0.548,0.964,0.756,0.964
t_37,0.686,0.519,0.519,0.519,0.946,0.733,0.946
t_38,0.628,0.436,0.436,0.436,0.872,0.654,0.872
t_39,0.578,0.461,0.461,0.461,0.789,0.625,0.789
t_40,0.675,0.564,0.564,0.564,0.71,0.637,0.71
t_41,0.77,0.613,0.613,0.613,0.635,0.624,0.635
t_42,0.799,0.565,0.565,0.565,0.566,0.566,0.566
t_43,0.83,0.418,0.418,0.418,0.521,0.47,0.521
t_44,0.844,0.535,0.535,0.535,0.516,0.526,0.516
t_45,0.839,0.406,0.406,0.406,0.519,0.463,0.519
