t,CH01,CH02,CH03,CH04,CH05,CH06,CH07
t_46,0.839,0.174,0.174,0.174,0.531,0.353,0.531
t_47,0.835,0.161,0.161,0.161,0.521,0.341,0.521
t_48,0.834,0.156,0.156,0.156,0.529,0.343,0.529
t_49,0.826,0.137,0.137,0.137,0.531,0.334,0.531
t_50,0.824,0.109,0.109,0.109,0.517,0.313,0.517
t_51,0.811,0.101,0.101,0.101,0.475,0.288,0.475
t_52,0.797,0.115,0.115,0.115,0.461,0.288,0.461
t_53,0.796,0.09,0.09,0.09,0.45,0.27,0.45
t_54,0.777,0.08,0.08,0.08,0.414,0.247,0.414
t_55,0.744,0.061,0.061,0.061,0.372,0.217,0.372
t_56,0.642,0.049,0.049,0.049,0.356,0.203,0.356
t_57,0.473,0.039,0.039,0.039,0.327,0.183,0.327
t_58,0.341,0.015,0.015,0.015,0.301,0.158,0.301
t_59,0.314,0.006,0.006,0.006,0.274,0.14,0.274
t_60,0.264,0.006,0.006,0.006,0.273,0.14,0.273
t_61,0.215,0.007,0.007,0.007,0.261,0.134,0.261
t_62,0.161,0.024,0.024,0.024,0.243,0.134,0.243
t_63,0.107,0.044,0.044,0.044,0.237,0.141,0.237
t_64,0.069,0.094,0.094,0.094,0.282,0.188,0.282
t_65,0.07,0.173,0.173,0.173,0.317,0.245,0.317
t_66,0.055,0.245,0.245,0.245,0.332,0.289,0.332
t_67,0.038,0.311,0.311,0.311,0.358,0.335,0.358
t_68,0.106,0.37,0.37,0.37,0.403,0.387,0.403
t_69,0.064,0.413,0.413,0.413,0.442,0.428,0.442
t_70,0.036,0.467,0.467,0.467,0.438,0.453,0.438
t_71,0.012,0.544,0.544,0.544,0.422,0.483,0.422
t_72,0.009,0.636,0.636,0.636,0.413,0.525,0.413
t_73,0.022,0.727,0.727,0.727,0.412,0.57,0.412
t_74,0.051,0.827,0.827,0.827,0.437,0.632,0.437
t_75,0.096,0.833,0.833,0.833,0.45,0.642,0.45
t_76,0.12,0.891,0.891,0.891,0.443,0.667,0.443
t_77,0.136,0.908,0.908,0.908,0.481,0.695,0.481
t_78,0.133,0.858,0.858,0.858,0.507,0.683,0.507
t_79,0.119,0.882,0.882,0.882,0.528,0.705,0.528
t_80,0.126,0.884,0.884,0.884,0.612,0.748,0.612
t_81,0.128,0.892,0.892,0.892,0.673,0.783,0.673
t_82,0.116,0.946,0.946,0.946,0.767,0.857,0.767
t_83,0.125,0.948,0.948,0.948,0.838,0.893,0.838
t_84,0.171,0.91,0.91,0.91,0.886,0.898,0.886
t_85,0.274,0.891,0.891,0.891,0.867,0.879,0.867
t_86,0.281,0.834,0.834,0.834,0.878,0.856,0.878
t_87,0.276,0.771,0.771,0.771,0.871,0.821,0.871
t_88,0.326,0.714,0.714,0.714,0.865,0.79,0.865
t_89,0.432,0.684,0.684,0.684,0.853,0.769,0.853
t_90,0.471,0.613,0.613,0.613,0.838,0.726,0.838
t_91,0.508,0.603,0.603,0.603,0.826,0.715,0.826
t_92,0.508,0.517,0.517,0.517,0.841,0.679,0.841
t_93,0.527,0.454,0.454,0.454,0.852,0.653,0.852
t_94,0.551,0.4,0.4,0.4,0.867,0.634,0.867
t_95,0.593,0.303,0.303,0.303,0.885,0.594,0.885
t_96,0.57,0.269,0.269,0.269,0.897,0.583,0.897
t_97,0.574,0.242,0.242,0.242,0.911,0.577,0.911
t_98,0.558,0.21,0.21,0.21,0.911,0.561,0.911
t_99,0.539,0.188,0.188,0.188,0.916,0.552,0.916
t_100,0.566,0.149,0.149,0.149,0.913,0.531,0.913
t_101,0.59,0.107,0.107,0.107,0.916,0.512,0.916
t_102,0.584,0.092,0.092,0.092,0.903,0.498,0.903
t_103,0.562,0.089,0.089,0.089,0.873,0.481,0.873
t_104,0.53,0.086,0.086,0.086,0.837,0.462,0.837
t_105,0.476,0.072,0.072,0.072,0.789,0.431,0.789
t_106,0.441,0.052,0.052,0.052,0.719,0.386,0.719
t_107,0.486,0.042,0.042,0.042,0.681,0.362,0.681
t_108,0.572,0.043,0.043,0.043,0.671,0.357,0.671
t_109,0.63,0.062,0.062,0.062,0.668,0.365,0.668
t_110,0.613,0.07,0.07,0.07,0.651,0.361,0.651
t_111,0.551,0.062,0.062,0.062,0.629,0.346,0.629
t_112,0.505,0.101,0.101,0.101,0.611,0.356,0.611
t_113,0.518,0.145,0.145,0.145,0.612,0.379,0.612
t_114,0.49,0.164,0.164,0.164,0.631,0.398,0.631
t_115,0.437,0.309,0.309,0.309,0.687,0.498,0.687
t_116,0.367,0.322,0.322,0.322,0.717,0.52,0.717
t_117,0.313,0.34,0.34,0.34,0.731,0.536,0.731
t_118,0.277,0.357,0.357,0.357,0.694,0.526,0.694
t_119,0.268,0.368,0.368,0.368,0.666,0.517,0.666
t_120,0.266,0.378,0.378,0.378,0.631,0.505,0.631
t_121,0.261,0.399,0.399,0.399,0.615,0.507,0.615
t_122,0.246,0.423,0.423,0.423,0.598,0.511,0.598
t_123,0.213,0.479,0.479,0.479,0.604,0.542,0.604
t_124,0.181,0.469,0.469,0.469,0.635,0.552,0.635
t_125,0.151,0.434,0.434,0.434,0.639,0.537,0.639
t_126,0.123,0.396,0.396,0.396,0.623,0.51,0.623
t_127,0.099,0.37,0.37,0.37,0.605,0.488,0.605
t_128,0.083,0.358,0.358,0.358,0.568,0.463,0.568
t_129,0.053,0.3,0.3,0.3,0.53,0.415,0.53
t_130,0.015,0.249,0.249,0.249,0.455,0.352,0.455
t_131,0.012,0.203,0.203,0.203,0.382,0.293,0.382
t_132,0.021,0.129,0.129,0.129,0.315,0.222,0.315
t_133,0.018,0.163,0.163,0.163,0.272,0.218,0.272
t_134,0.01,0.314,0.314,0.314,0.248,0.281,0.248
t_135,0.003,0.38,0.38,0.38,0.28,0.33,0.28
t_136,0.001,0.542,0.542,0.542,0.345,0.444,0.345
t_137,0.003,0.662,0.662,0.662,0.41,0.536,0.41
t_138,0.007,0.74,0.74,0.74,0.471,0.606,0.471
t_139,0.015,0.807,0.807,0.807,0.523,0.665,0.523
t_140,0.029,0.855,0.855,0.855,0.569,0.712,0.569
t_141,0.048,0.897,0.897,0.897,0.619,0.758,0.619
t_142,0.059,0.964,0.964,0.964,0.684,0.824,0.684
t_143,0.055,0.949,0.949,0.949,0.76,0.855,0.76
t_144,0.05,0.962,0.962,0.962,0.81,0.886,0.81
t_145,0.047,0.918,0.918,0.918,0.857,0.888,0.857
t_146,0.037,0.862,0.862,0.862,0.891,0.877,0.891
t_147,0.036,0.763,0.763,0.763,0.937,0.85,0.937
t_148,0.043,0.599,0.599,0.599,0.951,0.775,0.951
t_149,0.051,0.396,0.396,0.396,0.93,0.663,0.93
t_150,0.055,0.246,0.246,0.246,0.927,0.587,0.927
t_151,0.048,0.152,0.152,0.152,0.898,0.525,0.898
t_152,0.036,0.098,0.098,0.098,0.835,0.467,0.835
t_153,0.022,0.074,0.074,0.074,0.724,0.399,0.724
t_154,0.007,0.062,0.062,0.062,0.566,0.314,0.566
t_155,0.006,0.077,0.077,0.077,0.417,0.247,0.417
t_156,0.008,0.126,0.126,0.126,0.359,0.243,0.359
t_157,0.011,0.163,0.163,0.163,0.286,0.225,0.286
t_158,0.014,0.18,0.18,0.18,0.179,0.18,0.179
t_159,0.01,0.15,0.15,0.15,0.085,0.118,0.085
t_160,0.011,0.152,0.152,0.152,0.061,0.107,0.061
t_161,0.018,0.15,0.15,0.15,0.062,0.106,0.062
t_162,0.02,0.281,0.281,0.281,0.06,0.171,0.06
t_163,0.02,0.327,0.327,0.327,0.058,0.193,0.058
t_164,0.023,0.387,0.387,0.387,0.071,0.229,0.071
t_165,0.037,0.456,0.456,0.456,0.09,0.273,0.09
t_166,0.048,0.547,0.547,0.547,0.1,0.324,0.1
t_167,0.061,0.635,0.635,0.635,0.106,0.371,0.106
t_168,0.087,0.721,0.721,0.721,0.122,0.422,0.122
t_169,0.107,0.786,0.786,0.786,0.149,0.468,0.149
t_170,0.121,0.874,0.874,0.874,0.18,0.527,0.18
t_171,0.129,0.913,0.913,0.913,0.192,0.553,0.192
t_172,0.126,0.933,0.933,0.933,0.23,0.582,0.23
t_173,0.13,0.936,0.936,0.936,0.266,0.601,0.266
t_174,0.146,0.943,0.943,0.943,0.311,0.627,0.311
t_175,0.167,0.968,0.968,0.968,0.344,0.656,0.344
t_176,0.174,0.983,0.983,0.983,0.356,0.67,0.356
t_177,0.153,0.988,0.988,0.988,0.34,0.664,0.34
t_178,0.115,0.954,0.954,0.954,0.284,0.619,0.284
t_179,0.119,0.879,0.879,0.879,0.261,0.57,0.261
t_180,0.107,0.903,0.903,0.903,0.284,0.594,0.284
t_181,0.152,0.897,0.897,0.897,0.387,0.642,0.387
t_182,0.158,0.881,0.881,0.881,0.495,0.688,0.495
t_183,0.13,0.875,0.875,0.875,0.601,0.738,0.601
t_184,0.086,0.832,0.832,0.832,0.711,0.772,0.711
t_185,0.064,0.767,0.767,0.767,0.796,0.782,0.796
t_186,0.062,0.724,0.724,0.724,0.828,0.776,0.828
t_187,0.084,0.924,0.924,0.924,0.82,0.872,0.82
t_188,0.112,0.943,0.943,0.943,0.782,0.863,0.782
t_189,0.139,0.952,0.952,0.952,0.726,0.839,0.726
t_190,0.155,0.978,0.978,0.978,0.666,0.822,0.666
t_191,0.168,0.963,0.963,0.963,0.646,0.805,0.646
t_192,0.153,0.959,0.959,0.959,0.667,0.813,0.667
t_193,0.125,0.941,0.941,0.941,0.704,0.823,0.704
t_194,0.142,0.92,0.92,0.92,0.739,0.83,0.739
t_195,0.128,0.896,0.896,0.896,0.785,0.841,0.785
t_196,0.113,0.875,0.875,0.875,0.837,0.856,0.837
t_197,0.088,0.826,0.826,0.826,0.879,0.853,0.879
t_198,0.06,0.8,0.8,0.8,0.903,0.852,0.903
t_199,0.041,0.792,0.792,0.792,0.91,0.851,0.91
t_200,0.021,0.797,0.797,0.797,0.91,0.854,0.91
t_201,0.003,0.792,0.792,0.792,0.884,0.838,0.884
t_202,0.001,0.771,0.771,0.771,0.846,0.809,0.846
t_203,0.0,0.746,0.746,0.746,0.782,0.764,0.782
t_204,0.001,0.731,0.731,0.731,0.755,0.743,0.755
t_205,0.0,0.477,0.477,0.477,0.747,0.612,0.747
t_206,0.0,0.432,0.432,0.432,0.777,0.605,0.777
t_207,0.0,0.358,0.358,0.358,0.782,0.57,0.782
t_208,0.0,0.5,0.5,0.5,0.741,0.621,0.741
t_209,0.0,0.445,0.445,0.445,0.682,0.564,0.682
t_210,0.001,0.402,0.402,0.402,0.622,0.512,0.622
t_211,0.008,0.36,0.36,0.36,0.562,0.461,0.562
t_212,0.041,0.323,0.323,0.323,0.502,0.413,0.502
t_213,0.155,0.296,0.296,0.296,0.458,0.377,0.458
t_214,0.238,0.269,0.269,0.269,0.391,0.33,0.391
t_215,0.23,0.264,0.264,0.264,0.32,0.292,0.32
t_216,0.272,0.272,0.272,0.272,0.264,0.268,0.264
t_217,0.281,0.285,0.285,0.285,0.215,0.25,0.215
t_218,0.314,0.315,0.315,0.315,0.173,0.244,0.173
t_219,0.346,0.345,0.345,0.345,0.137,0.241,0.137
t_220,0.398,0.404,0.404,0.404,0.112,0.258,0.112
t_221,0.448,0.484,0.484,0.484,0.077,0.281,0.077
t_222,0.504,0.577,0.577,0.577,0.074,0.326,0.074
t_223,0.568,0.675,0.675,0.675,0.066,0.371,0.066
t_224,0.651,0.76,0.76,0.76,0.077,0.419,0.077
t_225,0.667,0.785,0.785,0.785,0.064,0.425,0.064
t_226,0.671,0.734,0.734,0.734,0.031,0.383,0.031
t_227,0.777,0.771,0.771,0.771,0.029,0.4,0.029
t_228,0.787,0.859,0.859,0.859,0.044,0.452,0.044
t_229,0.737,0.694,0.694,0.694,0.059,0.377,0.059
t_230,0.633,0.776,0.776,0.776,0.091,0.434,0.091
t_231,0.422,0.853,0.853,0.853,0.178,0.516,0.178
t_232,0.339,0.936,0.936,0.936,0.333,0.635,0.333
t_233,0.275,0.955,0.955,0.955,0.519,0.737,0.519
t_234,0.193,0.96,0.96,0.96,0.679,0.82,0.679
t_235,0.116,0.951,0.951,0.951,0.782,0.867,0.782
t_236,0.069,0.939,0.939,0.939,0.855,0.897,0.855
t_237,0.045,0.933,0.933,0.933,0.908,0.921,0.908
t_238,0.017,0.921,0.921,0.921,0.957,0.939,0.957
t_239,0.012,0.894,0.894,0.894,0.986,0.94,0.986
t_240,0.02,0.796,0.796,0.796,0.976,0.886,0.976
t_241,0.025,0.619,0.619,0.619,0.98,0.8,0.98
t_242,0.034,0.469,0.469,0.469,0.966,0.718,0.966
t_243,0.034,0.392,0.392,0.392,0.922,0.657,0.922
t_244,0.041,0.347,0.347,0.347,0.821,0.584,0.821
t_245,0.047,0.377,0.377,0.377,0.703,0.54,0.703
t_246,0.045,0.458,0.458,0.458,0.616,0.537,0.616
t_247,0.047,0.53,0.53,0.53,0.636,0.583,0.636
t_248,0.05,0.639,0.639,0.639,0.699,0.669,0.699
t_249,0.041,0.745,0.745,0.745,0.758,0.752,0.758
t_250,0.029,0.828,0.828,0.828,0.868,0.848,0.868
t_251,0.038,0.92,0.92,0.92,0.908,0.914,0.908
t_252,0.055,0.944,0.944,0.944,0.928,0.936,0.928
t_253,0.077,0.948,0.948,0.948,0.95,0.949,0.95
t_254,0.12,0.96,0.96,0.96,0.969,0.965,0.969
t_255,0.182,0.973,0.973,0.973,0.989,0.981,0.989
t_256,0.235,0.997,0.997,0.997,0.992,0.995,0.992
t_257,0.298,0.987,0.987,0.987,0.996,0.992,0.996
t_258,0.346,0.982,0.982,0.982,1.0,0.991,1.0
t_259,0.349,0.981,0.981,0.981,0.999,0.99,0.999
t_260,0.372,0.981,0.981,0.981,0.999,0.99,0.999
t_261,0.45,0.981,0.981,0.981,0.995,0.988,0.995
t_262,0.554,0.982,0.982,0.982,0.997,0.99,0.997
t_263,0.62,0.988,0.988,0.988,0.997,0.993,0.997
t_264,0.651,0.999,0.999,0.999,0.997,0.998,0.997
t_265,0.714,0.983,0.983,0.983,0.996,0.99,0.996
t_266,0.762,0.958,0.958,0.958,0.992,0.975,0.992
t_267,0.749,0.945,0.945,0.945,0.991,0.968,0.991
t_268,0.766,0.857,0.857,0.857,0.991,0.924,0.991
t_269,0.787,0.7,0.7,0.7,0.987,0.844,0.987
t_270,0.801,0.507,0.507,0.507,0.982,0.745,0.982
t_271,0.789,0.316,0.316,0.316,0.978,0.647,0.978
t_272,0.792,0.249,0.249,0.249,0.966,0.608,0.966
t_273,0.777,0.235,0.235,0.235,0.951,0.593,0.951
t_274,0.773,0.234,0.234,0.234,0.932,0.583,0.932
t_275,0.797,0.247,0.247,0.247,0.953,0.6,0.953
t_276,0.806,0.295,0.295,0.295,0.96,0.628,0.96
t_277,0.778,0.31,0.31,0.31,0.946,0.628,0.946
t_278,0.719,0.268,0.268,0.268,0.873,0.571,0.873
t_279,0.626,0.221,0.221,0.221,0.81,0.516,0.81
t_280,0.582,0.2,0.2,0.2,0.83,0.515,0.83
t_281,0.585,0.228,0.228,0.228,0.841,0.535,0.841
t_282,0.564,0.27,0.27,0.27,0.872,0.571,0.872
t_283,0.54,0.323,0.323,0.323,0.927,0.625,0.927
t_284,0.518,0.385,0.385,0.385,0.958,0.672,0.958
t_285,0.506,0.43,0.43,0.43,0.976,0.703,0.976
t_286,0.499,0.475,0.475,0.475,0.982,0.729,0.982
t_287,0.477,0.497,0.497,0.497,0.983,0.74,0.983
t_288,0.484,0.487,0.487,0.487,0.984,0.736,0.984
t_289,0.504,0.438,0.438,0.438,0.984,0.711,0.984
t_290,0.511,0.375,0.375,0.375,0.983,0.679,0.983
t_291,0.492,0.309,0.309,0.309,0.977,0.643,0.977
t_292,0.463,0.411,0.411,0.411,0.97,0.691,0.97
t_293,0.401,0.311,0.311,0.311,0.957,0.634,0.957
t_294,0.312,0.218,0.218,0.218,0.939,0.579,0.939
t_295,0.217,0.136,0.136,0.136,0.91,0.523,0.91
t_296,0.125,0.066,0.066,0.066,0.872,0.469,0.872
t_297,0.062,0.019,0.019,0.019,0.8,0.41,0.8
t_298,0.024,0.003,0.003,0.003,0.689,0.346,0.689
t_299,0.006,0.001,0.001,0.001,0.597,0.299,0.597
t_300,0.001,0.001,0.001,0.001,0.549,0.275,0.549
t_301,0.001,0.0,0.0,0.0,0.502,0.251,0.502
t_302,0.001,0.0,0.0,0.0,0.378,0.189,0.378
t_303,0.001,0.0,0.0,0.0,0.21,0.105,0.21
t_304,0.001,0.0,0.0,0.0,0.106,0.053,0.106
t_305,0.003,0.0,0.0,0.0,0.037,0.019,0.037
t_306,0.009,0.002,0.002,0.002,0.012,0.007,0.012
t_307,0.015,0.045,0.045,0.045,0.011,0.028,0.011
t_308,0.022,0.181,0.181,0.181,0.014,0.098,0.014
t_309,0.035,0.371,0.371,0.371,0.039,0.205,0.039
t_310,0.049,0.364,0.364,0.364,0.069,0.217,0.069
t_311,0.043,0.519,0.519,0.519,0.135,0.327,0.135
t_312,0.046,0.613,0.613,0.613,0.231,0.422,0.231
t_313,0.051,0.651,0.651,0.651,0.411,0.531,0.411
t_314,0.088,0.641,0.641,0.641,0.529,0.585,0.529
t_315,0.2,0.599,0.599,0.599,0.647,0.623,0.647
t_316,0.289,0.499,0.499,0.499,0.766,0.633,0.766
t_317,0.356,0.365,0.365,0.365,0.861,0.613,0.861
t_318,0.419,0.263,0.263,0.263,0.91,0.587,0.91
t_319,0.441,0.152,0.152,0.152,0.917,0.535,0.917
t_320,0.448,0.067,0.067,0.067,0.889,0.478,0.889
t_321,0.426,0.019,0.019,0.019,0.851,0.435,0.851
t_322,0.435,0.004,0.004,0.004,0.778,0.391,0.778
t_323,0.593,0.003,0.003,0.003,0.73,0.367,0.73
t_324,0.685,0.003,0.003,0.003,0.703,0.353,0.703
t_325,0.717,0.001,0.001,0.001,0.628,0.315,0.628
t_326,0.709,0.001,0.001,0.001,0.461,0.231,0.461
t_327,0.635,0.0,0.0,0.0,0.28,0.14,0.28
t_328,0.547,0.001,0.001,0.001,0.2,0.101,0.2
t_329,0.532,0.003,0.003,0.003,0.15,0.077,0.15
t_330,0.476,0.008,0.008,0.008,0.098,0.053,0.098
t_331,0.41,0.009,0.009,0.009,0.052,0.031,0.052
t_332,0.335,0.028,0.028,0.028,0.033,0.031,0.033
t_333,0.264,0.03,0.03,0.03,0.028,0.029,0.028
t_334,0.194,0.039,0.039,0.039,0.016,0.028,0.016
t_335,0.139,0.043,0.043,0.043,0.011,0.027,0.011
t_336,0.237,0.041,0.041,0.041,0.009,0.025,0.009
t_337,0.134,0.043,0.043,0.043,0.008,0.026,0.008
t_338,0.043,0.054,0.054,0.054,0.007,0.031,0.007
t_339,0.008,0.068,0.068,0.068,0.005,0.037,0.005
t_340,0.003,0.076,0.076,0.076,0.0,0.038,0.0
t_341,0.002,0.106,0.106,0.106,0.005,0.056,0.005
t_342,0.002,0.147,0.147,0.147,0.01,0.079,0.01
t_343,0.005,0.313,0.313,0.313,0.009,0.161,0.009
t_344,0.008,0.36,0.36,0.36,0.006,0.183,0.006
t_345,0.029,0.366,0.366,0.366,0.001,0.184,0.001
t_346,0.059,0.165,0.165,0.165,0.0,0.083,0.0
t_347,0.123,0.09,0.09,0.09,0.0,0.045,0.0
t_348,0.231,0.046,0.046,0.046,0.0,0.023,0.0
t_349,0.319,0.044,0.044,0.044,0.0,0.022,0.0
t_350,0.399,0.055,0.055,0.055,0.0,0.028,0.0
t_351,0.271,0.07,0.07,0.07,0.003,0.037,0.003
t_352,0.259,0.128,0.128,0.128,0.004,0.066,0.004
t_353,0.342,0.231,0.231,0.231,0.02,0.126,0.02
t_354,0.414,0.332,0.332,0.332,0.038,0.185,0.038
t_355,0.488,0.408,0.408,0.408,0.054,0.231,0.054
t_356,0.551,0.406,0.406,0.406,0.066,0.236,0.066
t_357,0.585,0.406,0.406,0.406,0.101,0.254,0.101
t_358,0.597,0.399,0.399,0.399,0.153,0.276,0.153
t_359,0.575,0.376,0.376,0.376,0.188,0.282,0.188
t_360,0.539,0.338,0.338,0.338,0.228,0.283,0.228
t_361,0.499,0.286,0.286,0.286,0.181,0.234,0.181
t_362,0.399,0.229,0.229,0.229,0.162,0.196,0.162
t_363,0.382,0.185,0.185,0.185,0.142,0.164,0.142
t_364,0.366,0.141,0.141,0.141,0.152,0.147,0.152
t_365,0.362,0.092,0.092,0.092,0.137,0.115,0.137
t_366,0.361,0.055,0.055,0.055,0.124,0.09,0.124
t_367,0.37,0.042,0.042,0.042,0.105,0.074,0.105
t_368,0.379,0.04,0.04,0.04,0.065,0.053,0.065
t_369,0.381,0.038,0.038,0.038,0.028,0.033,0.028
t_370,0.405,0.037,0.037,0.037,0.006,0.022,0.006
t_371,0.49,0.036,0.036,0.036,0.003,0.02,0.003
t_372,0.629,0.029,0.029,0.029,0.002,0.016,0.002
t_373,0.617,0.043,0.043,0.043,0.002,0.023,0.002
t_374,0.582,0.061,0.061,0.061,0.002,0.032,0.002
t_375,0.461,0.069,0.069,0.069,0.004,0.037,0.004
t_376,0.37,0.079,0.079,0.079,0.008,0.044,0.008
t_377,0.345,0.097,0.097,0.097,0.015,0.056,0.015
t_378,0.328,0.216,0.216,0.216,0.017,0.117,0.017
t_379,0.31,0.327,0.327,0.327,0.031,0.179,0.031
t_380,0.284,0.421,0.421,0.421,0.048,0.235,0.048
t_381,0.238,0.516,0.516,0.516,0.072,0.294,0.072
t_382,0.196,0.604,0.604,0.604,0.091,0.348,0.091
t_383,0.132,0.662,0.662,0.662,0.102,0.382,0.102
t_384,0.082,0.686,0.686,0.686,0.112,0.399,0.112
t_385,0.049,0.625,0.625,0.625,0.123,0.374,0.123
t_386,0.026,0.592,0.592,0.592,0.133,0.363,0.133
t_387,0.012,0.552,0.552,0.552,0.154,0.353,0.154
t_388,0.006,0.52,0.52,0.52,0.21,0.365,0.21
t_389,0.005,0.511,0.511,0.511,0.279,0.395,0.279
t_390,0.004,0.522,0.522,0.522,0.334,0.428,0.334
t_391,0.003,0.54,0.54,0.54,0.397,0.469,0.397
t_392,0.003,0.567,0.567,0.567,0.442,0.505,0.442
t_393,0.003,0.617,0.617,0.617,0.42,0.519,0.42
t_394,0.003,0.592,0.592,0.592,0.378,0.485,0.378
t_395,0.006,0.596,0.596,0.596,0.449,0.523,0.449
t_396,0.011,0.664,0.664,0.664,0.54,0.602,0.54
t_397,0.02,0.706,0.706,0.706,0.574,0.64,0.574
t_398,0.028,0.465,0.465,0.465,0.513,0.489,0.513
t_399,0.022,0.454,0.454,0.454,0.467,0.461,0.467
t_400,0.021,0.805,0.805,0.805,0.537,0.671,0.537
t_401,0.037,0.881,0.881,0.881,0.613,0.747,0.613
t_402,0.047,0.944,0.944,0.944,0.684,0.814,0.684
t_403,0.047,0.947,0.947,0.947,0.781,0.864,0.781
t_404,0.075,0.953,0.953,0.953,0.866,0.91,0.866
t_405,0.122,0.957,0.957,0.957,0.914,0.936,0.914
t_406,0.193,0.969,0.969,0.969,0.928,0.949,0.928
t_407,0.189,0.981,0.981,0.981,0.933,0.957,0.933
t_408,0.202,0.995,0.995,0.995,0.938,0.967,0.938
t_409,0.218,0.995,0.995,0.995,0.943,0.969,0.943
t_410,0.189,0.995,0.995,0.995,0.947,0.971,0.947
t_411,0.171,0.995,0.995,0.995,0.956,0.976,0.956
t_412,0.215,0.995,0.995,0.995,0.917,0.956,0.917
t_413,0.23,0.995,0.995,0.995,0.917,0.956,0.917
t_414,0.243,0.995,0.995,0.995,0.935,0.965,0.935
t_415,0.261,0.994,0.994,0.994,0.971,0.983,0.971
t_416,0.301,0.981,0.981,0.981,0.978,0.98,0.978
t_417,0.306,0.981,0.981,0.981,0.983,0.982,0.983
t_418,0.289,0.932,0.932,0.932,0.991,0.962,0.991
t_419,0.291,0.839,0.839,0.839,0.994,0.917,0.994
t_420,0.253,0.698,0.698,0.698,0.995,0.847,0.995
t_421,0.259,0.484,0.484,0.484,0.997,0.741,0.997
t_422,0.229,0.484,0.484,0.484,0.999,0.742,0.999
t_423,0.25,0.484,0.484,0.484,0.999,0.742,0.999
t_424,0.299,0.484,0.484,0.484,1.0,0.742,1.0
t_425,0.366,0.484,0.484,0.484,0.999,0.742,0.999
t_426,0.41,0.995,0.995,0.995,1.0,0.998,1.0
t_427,0.436,0.995,0.995,0.995,0.965,0.98,0.965
t_428,0.447,0.995,0.995,0.995,0.95,0.973,0.95
t_429,0.478,0.995,0.995,0.995,0.93,0.963,0.93
t_430,0.494,0.986,0.986,0.986,0.929,0.958,0.929
t_431,0.505,0.981,0.981,0.981,0.953,0.967,0.953
t_432,0.52,0.981,0.981,0.981,0.984,0.983,0.984
t_433,0.593,0.981,0.981,0.981,1.0,0.991,1.0
t_434,0.627,0.981,0.981,0.981,0.999,0.99,0.999
t_435,0.668,0.981,0.981,0.981,0.998,0.99,0.998
