t,CH01,CH02,CH03,CH04,CH05,CH06,CH07
t_1,0.632,0.632,0.632,0.762,0.697,0.762,0.0206
t_2,0.530,0.530,0.530,0.684,0.607,0.684,0.0407
t_3,0.475,0.475,0.475,0.633,0.554,0.633,0.0665
t_4,0.421,0.421,0.421,0.636,0.529,0.636,0.1323
t_5,0.416,0.416,0.416,0.665,0.541,0.665,0.1709
t_6,0.463,0.463,0.463,0.662,0.563,0.662,0.1602
t_7,0.402,0.402,0.402,0.640,0.521,0.640,0.1578
t_8,0.347,0.347,0.347,0.589,0.468,0.589,0.1859
t_9,0.243,0.243,0.243,0.494,0.369,0.494,0.2089
t_10,0.403,0.403,0.403,0.492,0.448,0.492,0.192
t_11,0.452,0.452,0.452,0.623,0.538,0.623,0.2014
t_12,0.540,0.540,0.540,0.660,0.600,0.660,0.3243
t_13,0.586,0.586,0.586,0.643,0.615,0.643,0.4289
t_14,0.600,0.600,0.600,0.577,0.589,0.577,0.4889
t_15,0.540,0.540,0.540,0.498,0.519,0.498,0.588
t_16,0.250,0.250,0.250,0.454,0.352,0.454,0.64
t_17,0.299,0.299,0.299,0.454,0.377,0.454,0.6093
t_18,0.360,0.360,0.360,0.473,0.417,0.473,0.6482
t_19,0.403,0.403,0.403,0.554,0.479,0.554,0.6912
t_20,0.390,0.390,0.390,0.673,0.532,0.673,0.7719
t_21,0.370,0.370,0.370,0.793,0.582,0.793,0.8522
t_22,0.304,0.304,0.304,0.867,0.586,0.867,0.8852
t_23,0.352,0.352,0.352,0.903,0.628,0.903,0.8915
t_24,0.393,0.393,0.393,0.921,0.657,0.921,0.8583
t_25,0.718,0.718,0.718,0.931,0.825,0.931,0.7905
t_26,0.761,0.761,0.761,0.932,0.847,0.932,0.6414
t_27,0.756,0.756,0.756,0.920,0.838,0.920,0.3665
t_28,0.513,0.513,0.513,0.912,0.713,0.912,0.1169
t_29,0.537,0.537,0.537,0.877,0.707,0.877,0.075
t_30,0.810,0.810,0.810,0.832,0.821,0.832,0.0935
t_31,0.804,0.804,0.804,0.754,0.779,0.754,0.1338
