t,CH01,CH02,CH03,CH04,CH05,CH06,CH07
t_100,0.059,0.859,0.859,0.859,0.227,0.543,0.227
t_101,0.111,0.895,0.895,0.895,0.217,0.556,0.217
t_102,0.239,0.914,0.914,0.914,0.217,0.566,0.217
t_103,0.412,0.911,0.911,0.911,0.218,0.565,0.218
t_104,0.594,0.939,0.939,0.939,0.222,0.581,0.222
t_105,0.635,0.957,0.957,0.957,0.232,0.595,0.232
t_106,0.622,0.98,0.98,0.98,0.248,0.614,0.248
t_107,0.611,0.993,0.993,0.993,0.252,0.623,0.252
t_108,0.611,0.991,0.991,0.991,0.253,0.622,0.253
t_109,0.562,0.972,0.972,0.972,0.265,0.619,0.265
t_110,0.584,0.974,0.974,0.974,0.265,0.62,0.265
t_111,0.604,0.964,0.964,0.964,0.268,0.616,0.268
t_112,0.699,0.946,0.946,0.946,0.264,0.605,0.264
t_113,0.81,0.89,0.89,0.89,0.241,0.566,0.241
t_114,0.868,0.862,0.862,0.862,0.198,0.53,0.198
t_115,0.883,0.858,0.858,0.858,0.127,0.493,0.127
t_116,0.888,0.85,0.85,0.85,0.075,0.463,0.075
t_117,0.879,0.91,0.91,0.91,0.053,0.482,0.053
t_118,0.854,0.978,0.978,0.978,0.063,0.521,0.063
t_119,0.843,0.941,0.941,0.941,0.067,0.504,0.067
t_120,0.799,0.963,0.963,0.963,0.074,0.519,0.074
t_121,0.677,0.982,0.982,0.982,0.099,0.541,0.099
t_122,0.59,0.968,0.968,0.968,0.159,0.564,0.159
t_123,0.411,0.961,0.961,0.961,0.264,0.613,0.264
t_124,0.25,0.934,0.934,0.934,0.392,0.663,0.392
t_125,0.119,0.865,0.865,0.865,0.464,0.665,0.464
t_126,0.118,0.753,0.753,0.753,0.524,0.639,0.524
t_127,0.113,0.616,0.616,0.616,0.591,0.604,0.591
t_128,0.105,0.49,0.49,0.49,0.581,0.536,0.581
t_129,0.097,0.415,0.415,0.415,0.571,0.493,0.571
t_130,0.049,0.318,0.318,0.318,0.577,0.448,0.577
t_131,0.024,0.24,0.24,0.24,0.56,0.4,0.56
t_132,0.021,0.209,0.209,0.209,0.518,0.364,0.518
t_133,0.023,0.183,0.183,0.183,0.501,0.342,0.501
t_134,0.019,0.164,0.164,0.164,0.467,0.316,0.467
t_135,0.019,0.146,0.146,0.146,0.419,0.283,0.419
t_136,0.038,0.129,0.129,0.129,0.356,0.243,0.356
t_137,0.076,0.118,0.118,0.118,0.302,0.21,0.302
t_138,0.127,0.211,0.211,0.211,0.243,0.227,0.243
t_139,0.187,0.218,0.218,0.218,0.167,0.193,0.167
t_140,0.248,0.268,0.268,0.268,0.106,0.187,0.106
t_141,0.289,0.402,0.402,0.402,0.05,0.226,0.05
t_142,0.339,0.635,0.635,0.635,0.031,0.333,0.031
t_143,0.361,0.837,0.837,0.837,0.033,0.435,0.033
t_144,0.356,0.941,0.941,0.941,0.042,0.492,0.042
t_145,0.349,0.964,0.964,0.964,0.032,0.498,0.032
t_146,0.336,0.978,0.978,0.978,0.054,0.516,0.054
t_147,0.307,0.947,0.947,0.947,0.089,0.518,0.089
t_148,0.253,0.977,0.977,0.977,0.134,0.556,0.134
t_149,0.223,0.981,0.981,0.981,0.188,0.585,0.188
t_150,0.213,0.994,0.994,0.994,0.265,0.63,0.265
t_151,0.208,0.995,0.995,0.995,0.377,0.686,0.377
t_152,0.184,0.992,0.992,0.992,0.562,0.777,0.562
t_153,0.155,0.957,0.957,0.957,0.809,0.883,0.809
t_154,0.114,0.879,0.879,0.879,0.974,0.927,0.974
t_155,0.128,0.776,0.776,0.776,0.977,0.877,0.977
t_156,0.219,0.735,0.735,0.735,0.961,0.848,0.961
t_157,0.286,0.728,0.728,0.728,0.922,0.825,0.922
t_158,0.31,0.558,0.558,0.558,0.861,0.71,0.861
t_159,0.232,0.358,0.358,0.358,0.808,0.583,0.808
t_160,0.184,0.207,0.207,0.207,0.78,0.494,0.78
t_161,0.184,0.174,0.174,0.174,0.743,0.459,0.743
t_162,0.187,0.167,0.167,0.167,0.696,0.432,0.696
t_163,0.192,0.184,0.184,0.184,0.625,0.405,0.625
t_164,0.195,0.199,0.199,0.199,0.58,0.39,0.58
t_165,0.21,0.199,0.199,0.199,0.554,0.377,0.554
t_166,0.23,0.208,0.208,0.208,0.568,0.388,0.568
t_167,0.233,0.193,0.193,0.193,0.653,0.423,0.653
t_168,0.223,0.16,0.16,0.16,0.717,0.439,0.717
t_169,0.222,0.128,0.128,0.128,0.765,0.447,0.765
t_170,0.221,0.162,0.162,0.162,0.775,0.469,0.775
t_171,0.2,0.109,0.109,0.109,0.781,0.445,0.781
t_172,0.162,0.06,0.06,0.06,0.762,0.411,0.762
t_173,0.118,0.062,0.062,0.062,0.703,0.383,0.703
t_174,0.094,0.081,0.081,0.081,0.576,0.329,0.576
t_175,0.078,0.065,0.065,0.065,0.482,0.274,0.482
t_176,0.055,0.057,0.057,0.057,0.419,0.238,0.419
t_177,0.026,0.048,0.048,0.048,0.275,0.162,0.275
t_178,0.01,0.008,0.008,0.008,0.11,0.059,0.11
t_179,0.003,0.001,0.001,0.001,0.036,0.019,0.036
t_180,0.003,0.0,0.0,0.0,0.013,0.007,0.013
t_181,0.003,0.0,0.0,0.0,0.002,0.001,0.002
t_182,0.004,0.0,0.0,0.0,0.0,0.0,0.0
t_183,0.007,0.0,0.0,0.0,0.0,0.0,0.0
t_184,0.054,0.02,0.02,0.02,0.0,0.01,0.0
t_185,0.171,0.106,0.106,0.106,0.001,0.054,0.001
t_186,0.311,0.196,0.196,0.196,0.024,0.11,0.024
t_187,0.427,0.313,0.313,0.313,0.057,0.185,0.057
t_188,0.489,0.454,0.454,0.454,0.081,0.268,0.081
t_189,0.496,0.361,0.361,0.361,0.112,0.237,0.112
t_190,0.437,0.5,0.5,0.5,0.115,0.308,0.115
t_191,0.378,0.676,0.676,0.676,0.083,0.38,0.083
t_192,0.33,0.844,0.844,0.844,0.079,0.462,0.079
t_193,0.25,0.925,0.925,0.925,0.088,0.507,0.088
t_194,0.223,0.963,0.963,0.963,0.096,0.53,0.096
t_195,0.194,0.96,0.96,0.96,0.108,0.534,0.108
t_196,0.175,0.959,0.959,0.959,0.154,0.557,0.154
t_197,0.166,0.957,0.957,0.957,0.193,0.575,0.193
t_198,0.195,0.937,0.937,0.937,0.23,0.584,0.23
t_199,0.194,0.865,0.865,0.865,0.244,0.555,0.244
t_200,0.202,0.847,0.847,0.847,0.273,0.56,0.273
t_201,0.205,0.834,0.834,0.834,0.303,0.569,0.303
t_202,0.183,0.833,0.833,0.833,0.316,0.575,0.316
t_203,0.148,0.831,0.831,0.831,0.32,0.576,0.32
t_204,0.109,0.834,0.834,0.834,0.335,0.585,0.335
t_205,0.075,0.836,0.836,0.836,0.361,0.599,0.361
t_206,0.042,0.568,0.568,0.568,0.398,0.483,0.398
t_207,0.029,0.811,0.811,0.811,0.44,0.626,0.44
t_208,0.021,0.775,0.775,0.775,0.466,0.621,0.466
t_209,0.019,0.749,0.749,0.749,0.483,0.616,0.483
t_210,0.028,0.698,0.698,0.698,0.496,0.597,0.496
t_211,0.025,0.63,0.63,0.63,0.511,0.571,0.511
t_212,0.021,0.549,0.549,0.549,0.521,0.535,0.521
t_213,0.018,0.481,0.481,0.481,0.523,0.502,0.523
t_214,0.014,0.395,0.395,0.395,0.481,0.438,0.481
t_215,0.009,0.336,0.336,0.336,0.407,0.372,0.407
t_216,0.006,0.298,0.298,0.298,0.323,0.311,0.323
t_217,0.004,0.269,0.269,0.269,0.247,0.258,0.247
t_218,0.006,0.242,0.242,0.242,0.182,0.212,0.182
t_219,0.007,0.233,0.233,0.233,0.138,0.186,0.138
t_220,0.007,0.22,0.22,0.22,0.103,0.162,0.103
t_221,0.017,0.263,0.263,0.263,0.068,0.166,0.068
t_222,0.035,0.329,0.329,0.329,0.048,0.189,0.048
t_223,0.06,0.595,0.595,0.595,0.043,0.319,0.043
t_224,0.096,0.454,0.454,0.454,0.054,0.254,0.054
t_225,0.129,0.436,0.436,0.436,0.048,0.242,0.048
t_226,0.142,0.377,0.377,0.377,0.03,0.204,0.03
t_227,0.157,0.345,0.345,0.345,0.023,0.184,0.023
t_228,0.184,0.397,0.397,0.397,0.023,0.21,0.023
t_229,0.217,0.42,0.42,0.42,0.03,0.225,0.03
t_230,0.309,0.489,0.489,0.489,0.052,0.271,0.052
t_231,0.382,0.571,0.571,0.571,0.085,0.328,0.085
t_232,0.469,0.729,0.729,0.729,0.108,0.419,0.108
t_233,0.54,0.805,0.805,0.805,0.118,0.462,0.118
t_234,0.502,0.851,0.851,0.851,0.134,0.493,0.134
t_235,0.524,0.879,0.879,0.879,0.167,0.523,0.167
t_236,0.617,0.891,0.891,0.891,0.192,0.542,0.192
t_237,0.617,0.888,0.888,0.888,0.208,0.548,0.208
t_238,0.651,0.91,0.91,0.91,0.223,0.567,0.223
t_239,0.692,0.924,0.924,0.924,0.23,0.577,0.23
t_240,0.642,0.931,0.931,0.931,0.232,0.582,0.232
t_241,0.69,0.929,0.929,0.929,0.238,0.584,0.238
t_242,0.758,0.922,0.922,0.922,0.251,0.587,0.251
t_243,0.825,0.914,0.914,0.914,0.259,0.587,0.259
t_244,0.848,0.91,0.91,0.91,0.214,0.562,0.214
t_245,0.875,0.876,0.876,0.876,0.177,0.527,0.177
t_246,0.905,0.845,0.845,0.845,0.149,0.497,0.149
t_247,0.93,0.928,0.928,0.928,0.136,0.532,0.136
t_248,0.946,0.925,0.925,0.925,0.124,0.525,0.124
t_249,0.957,0.929,0.929,0.929,0.095,0.512,0.095
t_250,0.963,0.903,0.903,0.903,0.066,0.485,0.066
t_251,0.965,0.89,0.89,0.89,0.05,0.47,0.05
t_252,0.966,0.894,0.894,0.894,0.052,0.473,0.052
t_253,0.966,0.899,0.899,0.899,0.078,0.489,0.078
t_254,0.962,0.902,0.902,0.902,0.126,0.514,0.126
t_255,0.958,0.918,0.918,0.918,0.211,0.565,0.211
t_256,0.961,0.964,0.964,0.964,0.287,0.626,0.287
t_257,0.963,0.981,0.981,0.981,0.315,0.648,0.315
t_258,0.957,0.99,0.99,0.99,0.371,0.681,0.371
t_259,0.939,0.988,0.988,0.988,0.428,0.708,0.428
t_260,0.912,0.981,0.981,0.981,0.469,0.725,0.469
t_261,0.853,0.981,0.981,0.981,0.506,0.744,0.506
t_262,0.744,0.952,0.952,0.952,0.563,0.758,0.563
t_263,0.466,0.92,0.92,0.92,0.627,0.774,0.627
t_264,0.28,0.848,0.848,0.848,0.649,0.749,0.649
t_265,0.291,0.711,0.711,0.711,0.613,0.662,0.613
t_266,0.364,0.504,0.504,0.504,0.536,0.52,0.536
t_267,0.396,0.254,0.254,0.254,0.459,0.357,0.459
t_268,0.365,0.251,0.251,0.251,0.379,0.315,0.379
t_269,0.333,0.235,0.235,0.235,0.288,0.262,0.288
t_270,0.333,0.218,0.218,0.218,0.221,0.22,0.221
t_271,0.342,0.209,0.209,0.209,0.184,0.197,0.184
t_272,0.383,0.2,0.2,0.2,0.156,0.178,0.156
t_273,0.393,0.189,0.189,0.189,0.12,0.155,0.12
t_274,0.488,0.207,0.207,0.207,0.111,0.159,0.111
t_275,0.617,0.152,0.152,0.152,0.101,0.127,0.101
t_276,0.735,0.125,0.125,0.125,0.106,0.116,0.106
t_277,0.805,0.083,0.083,0.083,0.109,0.096,0.109
t_278,0.818,0.133,0.133,0.133,0.11,0.122,0.11
t_279,0.79,0.097,0.097,0.097,0.105,0.101,0.105
t_280,0.812,0.06,0.06,0.06,0.101,0.081,0.101
t_281,0.845,0.051,0.051,0.051,0.1,0.076,0.1
t_282,0.869,0.009,0.009,0.009,0.091,0.05,0.091
t_283,0.878,0.001,0.001,0.001,0.08,0.041,0.08
t_284,0.883,0.0,0.0,0.0,0.067,0.034,0.067
t_285,0.882,0.0,0.0,0.0,0.05,0.025,0.05
t_286,0.877,0.0,0.0,0.0,0.029,0.015,0.029
t_287,0.872,0.0,0.0,0.0,0.012,0.006,0.012
t_288,0.852,0.0,0.0,0.0,0.003,0.002,0.003
t_289,0.83,0.0,0.0,0.0,0.001,0.001,0.001
t_290,0.814,0.0,0.0,0.0,0.0,0.0,0.0
t_291,0.763,0.005,0.005,0.005,0.0,0.003,0.0
t_292,0.697,0.008,0.008,0.008,0.0,0.004,0.0
t_293,0.603,0.014,0.014,0.014,0.0,0.007,0.0
t_294,0.484,0.024,0.024,0.024,0.0,0.012,0.0
t_295,0.347,0.028,0.028,0.028,0.001,0.015,0.001
t_296,0.209,0.055,0.055,0.055,0.002,0.029,0.002
t_297,0.069,0.04,0.04,0.04,0.002,0.021,0.002
t_298,0.026,0.017,0.017,0.017,0.003,0.01,0.003
t_299,0.01,0.007,0.007,0.007,0.011,0.009,0.011
t_300,0.009,0.003,0.003,0.003,0.021,0.012,0.021
t_301,0.033,0.003,0.003,0.003,0.024,0.014,0.024
t_302,0.176,0.003,0.003,0.003,0.023,0.013,0.023
t_303,0.364,0.014,0.014,0.014,0.025,0.02,0.025
t_304,0.469,0.086,0.086,0.086,0.041,0.064,0.041
t_305,0.582,0.218,0.218,0.218,0.061,0.14,0.061
t_306,0.687,0.409,0.409,0.409,0.091,0.25,0.091
t_307,0.763,0.568,0.568,0.568,0.1,0.334,0.1
t_308,0.85,0.683,0.683,0.683,0.063,0.373,0.063
t_309,0.871,0.724,0.724,0.724,0.066,0.395,0.066
t_310,0.882,0.769,0.769,0.769,0.061,0.415,0.061
t_311,0.809,0.773,0.773,0.773,0.065,0.419,0.065
t_312,0.802,0.749,0.749,0.749,0.063,0.406,0.063
t_313,0.756,0.75,0.75,0.75,0.063,0.407,0.063
t_314,0.744,0.736,0.736,0.736,0.06,0.398,0.06
t_315,0.75,0.723,0.723,0.723,0.056,0.39,0.056
t_316,0.751,0.719,0.719,0.719,0.056,0.388,0.056
t_317,0.761,0.713,0.713,0.713,0.055,0.384,0.055
t_318,0.779,0.669,0.669,0.669,0.054,0.362,0.054
t_319,0.796,0.607,0.607,0.607,0.053,0.33,0.053
t_320,0.813,0.586,0.586,0.586,0.05,0.318,0.05
t_321,0.821,0.535,0.535,0.535,0.028,0.282,0.028
t_322,0.83,0.428,0.428,0.428,0.008,0.218,0.008
t_323,0.829,0.335,0.335,0.335,0.003,0.169,0.003
t_324,0.816,0.205,0.205,0.205,0.008,0.107,0.008
t_325,0.788,0.22,0.22,0.22,0.005,0.113,0.005
t_326,0.747,0.254,0.254,0.254,0.004,0.129,0.004
t_327,0.747,0.471,0.471,0.471,0.001,0.236,0.001
t_328,0.679,0.555,0.555,0.555,0.003,0.279,0.003
t_329,0.525,0.655,0.655,0.655,0.005,0.33,0.005
t_330,0.38,0.729,0.729,0.729,0.004,0.367,0.004
t_331,0.237,0.751,0.751,0.751,0.006,0.379,0.006
t_332,0.13,0.783,0.783,0.783,0.01,0.397,0.01
t_333,0.07,0.817,0.817,0.817,0.018,0.418,0.018
t_334,0.062,0.839,0.839,0.839,0.028,0.434,0.028
