t,CH01,CH02,CH03,CH04,CH05,CH06,CH07
t_1517,0.446,0.084,0.084,0.084,0.001,0.043,0.001
t_1518,0.455,0.073,0.073,0.073,0.0,0.037,0.0
t_1519,0.446,0.075,0.075,0.075,0.0,0.038,0.0
t_1520,0.373,0.173,0.173,0.173,0.0,0.087,0.0
t_1521,0.469,0.345,0.345,0.345,0.0,0.173,0.0
t_1522,0.477,0.406,0.406,0.406,0.003,0.205,0.003
t_1523,0.448,0.551,0.551,0.551,0.007,0.279,0.007
t_1524,0.472,0.356,0.356,0.356,0.012,0.184,0.012
t_1525,0.532,0.179,0.179,0.179,0.019,0.099,0.019
t_1526,0.56,0.075,0.075,0.075,0.02,0.048,0.02
t_1527,0.7,0.032,0.032,0.032,0.018,0.025,0.018
t_1528,0.819,0.024,0.024,0.024,0.01,0.017,0.01
t_1529,0.888,0.048,0.048,0.048,0.007,0.028,0.007
t_1530,0.948,0.095,0.095,0.095,0.012,0.054,0.012
t_1531,0.967,0.229,0.229,0.229,0.026,0.128,0.026
t_1532,0.971,0.482,0.482,0.482,0.043,0.263,0.043
t_1533,0.973,0.713,0.713,0.713,0.049,0.381,0.049
t_1534,0.972,0.826,0.826,0.826,0.054,0.44,0.054
t_1535,0.973,0.845,0.845,0.845,0.07,0.458,0.07
t_1536,0.974,0.86,0.86,0.86,0.088,0.474,0.088
t_1537,0.976,0.858,0.858,0.858,0.114,0.486,0.114
t_1538,0.978,0.838,0.838,0.838,0.156,0.497,0.156
t_1539,0.978,0.85,0.85,0.85,0.22,0.535,0.22
t_1540,0.979,0.768,0.768,0.768,0.282,0.525,0.282
t_1541,0.979,0.797,0.797,0.797,0.31,0.554,0.31
t_1542,0.979,0.807,0.807,0.807,0.297,0.552,0.297
t_1543,0.978,0.818,0.818,0.818,0.251,0.535,0.251
t_1544,0.972,0.873,0.873,0.873,0.249,0.561,0.249
t_1545,0.981,0.938,0.938,0.938,0.247,0.593,0.247
t_1546,0.956,0.942,0.942,0.942,0.236,0.589,0.236
t_1547,0.909,0.959,0.959,0.959,0.275,0.617,0.275
t_1548,0.911,0.953,0.953,0.953,0.31,0.632,0.31
t_1549,0.907,0.951,0.951,0.951,0.3,0.626,0.3
t_1550,0.879,0.935,0.935,0.935,0.27,0.603,0.27
t_1551,0.904,0.897,0.897,0.897,0.236,0.567,0.236
t_1552,0.98,0.848,0.848,0.848,0.186,0.517,0.186
t_1553,0.962,0.795,0.795,0.795,0.116,0.456,0.116
t_1554,0.962,0.755,0.755,0.755,0.105,0.43,0.105
t_1555,0.96,0.726,0.726,0.726,0.093,0.41,0.093
t_1556,0.955,0.694,0.694,0.694,0.074,0.384,0.074
t_1557,0.949,0.649,0.649,0.649,0.038,0.344,0.038
t_1558,0.949,0.547,0.547,0.547,0.013,0.28,0.013
t_1559,0.946,0.526,0.526,0.526,0.005,0.266,0.005
t_1560,0.942,0.5,0.5,0.5,0.001,0.251,0.001
t_1561,0.938,0.466,0.466,0.466,0.0,0.233,0.0
t_1562,0.935,0.416,0.416,0.416,0.0,0.208,0.0
t_1563,0.932,0.374,0.374,0.374,0.0,0.187,0.0
t_1564,0.928,0.302,0.302,0.302,0.0,0.151,0.0
t_1565,0.927,0.24,0.24,0.24,0.0,0.12,0.0
t_1566,0.932,0.209,0.209,0.209,0.0,0.105,0.0
t_1567,0.935,0.199,0.199,0.199,0.0,0.1,0.0
t_1568,0.935,0.195,0.195,0.195,0.0,0.098,0.0
t_1569,0.94,0.317,0.317,0.317,0.0,0.159,0.0
t_1570,0.947,0.445,0.445,0.445,0.0,0.223,0.0
t_1571,0.952,0.506,0.506,0.506,0.001,0.254,0.001
t_1572,0.953,0.529,0.529,0.529,0.002,0.266,0.002
t_1573,0.954,0.527,0.527,0.527,0.001,0.264,0.001
t_1574,0.954,0.487,0.487,0.487,0.0,0.244,0.0
t_1575,0.953,0.433,0.433,0.433,0.0,0.217,0.0
t_1576,0.937,0.343,0.343,0.343,0.001,0.172,0.001
t_1577,0.93,0.267,0.267,0.267,0.0,0.134,0.0
t_1578,0.937,0.251,0.251,0.251,0.0,0.126,0.0
t_1579,0.938,0.229,0.229,0.229,0.0,0.115,0.0
t_1580,0.937,0.204,0.204,0.204,0.0,0.102,0.0
t_1581,0.935,0.181,0.181,0.181,0.0,0.091,0.0
t_1582,0.937,0.167,0.167,0.167,0.003,0.085,0.003
t_1583,0.939,0.181,0.181,0.181,0.005,0.093,0.005
t_1584,0.938,0.246,0.246,0.246,0.008,0.127,0.008
t_1585,0.937,0.327,0.327,0.327,0.011,0.169,0.011
t_1586,0.943,0.357,0.357,0.357,0.012,0.185,0.012
t_1587,0.946,0.362,0.362,0.362,0.013,0.188,0.013
t_1588,0.941,0.339,0.339,0.339,0.018,0.179,0.018
t_1589,0.938,0.262,0.262,0.262,0.034,0.148,0.034
t_1590,0.93,0.179,0.179,0.179,0.047,0.113,0.047
t_1591,0.922,0.119,0.119,0.119,0.04,0.08,0.04
t_1592,0.909,0.07,0.07,0.07,0.02,0.045,0.02
t_1593,0.905,0.06,0.06,0.06,0.046,0.053,0.046
t_1594,0.921,0.051,0.051,0.051,0.081,0.066,0.081
t_1595,0.924,0.062,0.062,0.062,0.094,0.078,0.094
t_1596,0.926,0.056,0.056,0.056,0.085,0.071,0.085
t_1597,0.93,0.045,0.045,0.045,0.07,0.058,0.07
t_1598,0.931,0.034,0.034,0.034,0.058,0.046,0.058
t_1599,0.926,0.021,0.021,0.021,0.045,0.033,0.045
t_1600,0.901,0.004,0.004,0.004,0.021,0.013,0.021
t_1601,0.869,0.0,0.0,0.0,0.021,0.011,0.021
t_1602,0.87,0.002,0.002,0.002,0.019,0.011,0.019
t_1603,0.87,0.001,0.001,0.001,0.008,0.005,0.008
t_1604,0.858,0.0,0.0,0.0,0.001,0.001,0.001
t_1605,0.833,0.0,0.0,0.0,0.0,0.0,0.0
t_1606,0.804,0.0,0.0,0.0,0.002,0.001,0.002
t_1607,0.783,0.0,0.0,0.0,0.037,0.019,0.037
t_1608,0.762,0.0,0.0,0.0,0.121,0.061,0.121
t_1609,0.742,0.001,0.001,0.001,0.181,0.091,0.181
t_1610,0.734,0.002,0.002,0.002,0.218,0.11,0.218
t_1611,0.722,0.003,0.003,0.003,0.224,0.114,0.224
t_1612,0.675,0.003,0.003,0.003,0.2,0.102,0.2
t_1613,0.615,0.001,0.001,0.001,0.175,0.088,0.175
t_1614,0.557,0.0,0.0,0.0,0.159,0.08,0.159
t_1615,0.506,0.0,0.0,0.0,0.135,0.068,0.135
t_1616,0.417,0.0,0.0,0.0,0.083,0.042,0.083
t_1617,0.493,0.0,0.0,0.0,0.087,0.044,0.087
t_1618,0.566,0.0,0.0,0.0,0.093,0.047,0.093
t_1619,0.604,0.0,0.0,0.0,0.071,0.036,0.071
t_1620,0.592,0.0,0.0,0.0,0.048,0.024,0.048
t_1621,0.529,0.0,0.0,0.0,0.034,0.017,0.034
t_1622,0.448,0.0,0.0,0.0,0.021,0.011,0.021
t_1623,0.363,0.0,0.0,0.0,0.01,0.005,0.01
t_1624,0.262,0.0,0.0,0.0,0.002,0.001,0.002
t_1625,0.13,0.0,0.0,0.0,0.0,0.0,0.0
t_1626,0.082,0.0,0.0,0.0,0.0,0.0,0.0
t_1627,0.07,0.0,0.0,0.0,0.0,0.0,0.0
t_1628,0.044,0.001,0.001,0.001,0.0,0.001,0.0
t_1629,0.024,0.004,0.004,0.004,0.0,0.002,0.0
t_1630,0.013,0.008,0.008,0.008,0.0,0.004,0.0
t_1631,0.007,0.024,0.024,0.024,0.0,0.012,0.0
t_1632,0.004,0.052,0.052,0.052,0.001,0.027,0.001
t_1633,0.007,0.09,0.09,0.09,0.001,0.046,0.001
t_1634,0.003,0.124,0.124,0.124,0.002,0.063,0.002
t_1635,0.002,0.155,0.155,0.155,0.003,0.079,0.003
t_1636,0.004,0.179,0.179,0.179,0.003,0.091,0.003
t_1637,0.023,0.214,0.214,0.214,0.003,0.109,0.003
t_1638,0.063,0.412,0.412,0.412,0.004,0.208,0.004
t_1639,0.09,0.463,0.463,0.463,0.003,0.233,0.003
t_1640,0.124,0.353,0.353,0.353,0.001,0.177,0.001
t_1641,0.323,0.213,0.213,0.213,0.001,0.107,0.001
t_1642,0.615,0.353,0.353,0.353,0.002,0.178,0.002
t_1643,0.735,0.466,0.466,0.466,0.002,0.234,0.002
t_1644,0.798,0.586,0.586,0.586,0.002,0.294,0.002
t_1645,0.802,0.664,0.664,0.664,0.002,0.333,0.002
t_1646,0.823,0.684,0.684,0.684,0.003,0.344,0.003
t_1647,0.799,0.629,0.629,0.629,0.004,0.317,0.004
t_1648,0.718,0.465,0.465,0.465,0.002,0.234,0.002
t_1649,0.49,0.451,0.451,0.451,0.002,0.227,0.002
t_1650,0.359,0.536,0.536,0.536,0.005,0.271,0.005
t_1651,0.19,0.581,0.581,0.581,0.012,0.297,0.012
t_1652,0.09,0.575,0.575,0.575,0.049,0.312,0.049
t_1653,0.062,0.56,0.56,0.56,0.136,0.348,0.136
t_1654,0.055,0.518,0.518,0.518,0.241,0.38,0.241
t_1655,0.041,0.48,0.48,0.48,0.297,0.389,0.297
t_1656,0.018,0.432,0.432,0.432,0.31,0.371,0.31
t_1657,0.007,0.434,0.434,0.434,0.249,0.342,0.249
t_1658,0.007,0.392,0.392,0.392,0.194,0.293,0.194
t_1659,0.007,0.338,0.338,0.338,0.137,0.238,0.137
t_1660,0.01,0.253,0.253,0.253,0.075,0.164,0.075
t_1661,0.016,0.212,0.212,0.212,0.049,0.131,0.049
t_1662,0.026,0.195,0.195,0.195,0.05,0.123,0.05
t_1663,0.056,0.217,0.217,0.217,0.036,0.127,0.036
t_1664,0.077,0.359,0.359,0.359,0.005,0.182,0.005
t_1665,0.26,0.629,0.629,0.629,0.005,0.317,0.005
t_1666,0.687,0.861,0.861,0.861,0.034,0.448,0.034
t_1667,0.865,0.965,0.965,0.965,0.07,0.518,0.07
t_1668,0.93,0.968,0.968,0.968,0.131,0.55,0.131
t_1669,0.947,0.981,0.981,0.981,0.213,0.597,0.213
t_1670,0.951,0.984,0.984,0.984,0.291,0.638,0.291
t_1671,0.939,0.982,0.982,0.982,0.296,0.639,0.296
t_1672,0.914,0.981,0.981,0.981,0.277,0.629,0.277
t_1673,0.898,0.981,0.981,0.981,0.392,0.687,0.392
t_1674,0.808,0.981,0.981,0.981,0.526,0.754,0.526
t_1675,0.77,0.981,0.981,0.981,0.566,0.774,0.566
t_1676,0.438,0.981,0.981,0.981,0.546,0.764,0.546
t_1677,0.407,0.979,0.979,0.979,0.444,0.712,0.444
t_1678,0.341,0.925,0.925,0.925,0.349,0.637,0.349
t_1679,0.34,0.917,0.917,0.917,0.254,0.586,0.254
t_1680,0.335,0.918,0.918,0.918,0.196,0.557,0.196
t_1681,0.332,0.926,0.926,0.926,0.19,0.558,0.19
t_1682,0.321,0.914,0.914,0.914,0.203,0.559,0.203
t_1683,0.328,0.891,0.891,0.891,0.242,0.567,0.242
t_1684,0.352,0.865,0.865,0.865,0.338,0.602,0.338
t_1685,0.397,0.848,0.848,0.848,0.456,0.652,0.456
t_1686,0.369,0.827,0.827,0.827,0.569,0.698,0.569
t_1687,0.31,0.8,0.8,0.8,0.636,0.718,0.636
t_1688,0.204,0.802,0.802,0.802,0.671,0.737,0.671
t_1689,0.185,0.891,0.891,0.891,0.735,0.813,0.735
t_1690,0.186,0.927,0.927,0.927,0.783,0.855,0.783
t_1691,0.207,0.943,0.943,0.943,0.795,0.869,0.795
t_1692,0.247,0.941,0.941,0.941,0.785,0.863,0.785
t_1693,0.301,0.943,0.943,0.943,0.781,0.862,0.781
t_1694,0.347,0.945,0.945,0.945,0.762,0.854,0.762
t_1695,0.366,0.946,0.946,0.946,0.721,0.834,0.721
t_1696,0.317,0.97,0.97,0.97,0.611,0.791,0.611
t_1697,0.332,0.978,0.978,0.978,0.574,0.776,0.574
t_1698,0.397,0.995,0.995,0.995,0.682,0.839,0.682
t_1699,0.45,0.997,0.997,0.997,0.728,0.863,0.728
t_1700,0.465,0.997,0.997,0.997,0.778,0.888,0.778
t_1701,0.456,0.998,0.998,0.998,0.823,0.911,0.823
t_1702,0.454,0.998,0.998,0.998,0.931,0.965,0.931
t_1703,0.463,0.998,0.998,0.998,0.975,0.987,0.975
t_1704,0.462,0.999,0.999,0.999,0.981,0.99,0.981
t_1705,0.441,0.989,0.989,0.989,0.984,0.987,0.984
t_1706,0.424,0.982,0.982,0.982,0.988,0.985,0.988
t_1707,0.416,0.982,0.982,0.982,0.991,0.987,0.991
t_1708,0.403,0.981,0.981,0.981,0.995,0.988,0.995
t_1709,0.378,0.981,0.981,0.981,0.997,0.989,0.997
t_1710,0.355,0.982,0.982,0.982,0.997,0.99,0.997
t_1711,0.343,0.982,0.982,0.982,0.993,0.988,0.993
t_1712,0.32,0.988,0.988,0.988,0.989,0.989,0.989
t_1713,0.327,0.998,0.998,0.998,0.992,0.995,0.992
t_1714,0.47,0.999,0.999,0.999,0.992,0.996,0.992
t_1715,0.587,0.984,0.984,0.984,0.994,0.989,0.994
t_1716,0.673,0.982,0.982,0.982,0.973,0.978,0.973
t_1717,0.725,0.995,0.995,0.995,0.966,0.981,0.966
t_1718,0.765,0.995,0.995,0.995,0.958,0.977,0.958
t_1719,0.833,0.981,0.981,0.981,0.943,0.962,0.943
t_1720,0.801,1.0,1.0,1.0,0.958,0.979,0.958
t_1721,0.642,0.939,0.939,0.939,0.973,0.956,0.973
t_1722,0.626,0.912,0.912,0.912,0.981,0.947,0.981
t_1723,0.729,0.888,0.888,0.888,0.987,0.938,0.987
t_1724,0.664,0.806,0.806,0.806,0.985,0.896,0.985
t_1725,0.58,0.752,0.752,0.752,0.981,0.867,0.981
t_1726,0.452,0.711,0.711,0.711,0.976,0.844,0.976
t_1727,0.332,0.621,0.621,0.621,0.972,0.797,0.972
t_1728,0.248,0.433,0.433,0.433,0.962,0.698,0.962
t_1729,0.228,0.412,0.412,0.412,0.948,0.68,0.948
t_1730,0.282,0.406,0.406,0.406,0.94,0.673,0.94
t_1731,0.339,0.394,0.394,0.394,0.932,0.663,0.932
t_1732,0.345,0.389,0.389,0.389,0.927,0.658,0.927
t_1733,0.361,0.4,0.4,0.4,0.946,0.673,0.946
t_1734,0.32,0.41,0.41,0.41,0.962,0.686,0.962
t_1735,0.282,0.398,0.398,0.398,0.963,0.681,0.963
t_1736,0.203,0.411,0.411,0.411,0.966,0.689,0.966
t_1737,0.291,0.563,0.563,0.563,0.988,0.776,0.988
t_1738,0.358,0.585,0.585,0.585,0.992,0.789,0.992
t_1739,0.333,0.486,0.486,0.486,0.991,0.739,0.991
t_1740,0.28,0.404,0.404,0.404,0.986,0.695,0.986
t_1741,0.26,0.35,0.35,0.35,0.977,0.664,0.977
t_1742,0.263,0.311,0.311,0.311,0.942,0.627,0.942
t_1743,0.242,0.273,0.273,0.273,0.832,0.553,0.832
t_1744,0.189,0.208,0.208,0.208,0.689,0.449,0.689
t_1745,0.119,0.122,0.122,0.122,0.618,0.37,0.618
t_1746,0.11,0.085,0.085,0.085,0.588,0.337,0.588
t_1747,0.128,0.099,0.099,0.099,0.564,0.332,0.564
t_1748,0.134,0.247,0.247,0.247,0.564,0.406,0.564
t_1749,0.131,0.348,0.348,0.348,0.542,0.445,0.542
t_1750,0.138,0.455,0.455,0.455,0.506,0.481,0.506
t_1751,0.142,0.544,0.544,0.544,0.443,0.494,0.443
t_1752,0.15,0.393,0.393,0.393,0.371,0.382,0.371
t_1753,0.174,0.465,0.465,0.465,0.306,0.386,0.306
t_1754,0.202,0.783,0.783,0.783,0.275,0.529,0.275
t_1755,0.226,0.822,0.822,0.822,0.245,0.534,0.245
t_1756,0.213,0.616,0.616,0.616,0.236,0.426,0.236
t_1757,0.186,0.601,0.601,0.601,0.286,0.444,0.286
t_1758,0.154,0.573,0.573,0.573,0.338,0.456,0.338
t_1759,0.113,0.507,0.507,0.507,0.499,0.503,0.499
t_1760,0.054,0.372,0.372,0.372,0.756,0.564,0.756
t_1761,0.042,0.29,0.29,0.29,0.886,0.588,0.886
t_1762,0.049,0.302,0.302,0.302,0.962,0.632,0.962
t_1763,0.04,0.322,0.322,0.322,0.955,0.639,0.955
t_1764,0.024,0.304,0.304,0.304,0.958,0.631,0.958
t_1765,0.014,0.295,0.295,0.295,0.943,0.619,0.943
t_1766,0.009,0.314,0.314,0.314,0.912,0.613,0.912
t_1767,0.007,0.32,0.32,0.32,0.876,0.598,0.876
t_1768,0.004,0.241,0.241,0.241,0.849,0.545,0.849
t_1769,0.001,0.123,0.123,0.123,0.799,0.461,0.799
t_1770,0.003,0.07,0.07,0.07,0.709,0.39,0.709
t_1771,0.002,0.044,0.044,0.044,0.612,0.328,0.612
t_1772,0.001,0.02,0.02,0.02,0.497,0.259,0.497
t_1773,0.001,0.008,0.008,0.008,0.377,0.193,0.377
t_1774,0.001,0.002,0.002,0.002,0.239,0.121,0.239
t_1775,0.001,0.0,0.0,0.0,0.129,0.065,0.129
t_1776,0.001,0.0,0.0,0.0,0.05,0.025,0.05
t_1777,0.006,0.0,0.0,0.0,0.015,0.008,0.015
t_1778,0.007,0.02,0.02,0.02,0.003,0.012,0.003
t_1779,0.011,0.094,0.094,0.094,0.001,0.048,0.001
t_1780,0.027,0.162,0.162,0.162,0.001,0.082,0.001
t_1781,0.034,0.228,0.228,0.228,0.001,0.115,0.001
t_1782,0.064,0.289,0.289,0.289,0.0,0.145,0.0
t_1783,0.101,0.315,0.315,0.315,0.0,0.158,0.0
t_1784,0.099,0.23,0.23,0.23,0.0,0.115,0.0
t_1785,0.159,0.113,0.113,0.113,0.0,0.057,0.0
t_1786,0.288,0.065,0.065,0.065,0.0,0.033,0.0
t_1787,0.417,0.093,0.093,0.093,0.0,0.047,0.0
t_1788,0.519,0.137,0.137,0.137,0.0,0.069,0.0
t_1789,0.643,0.188,0.188,0.188,0.0,0.094,0.0
t_1790,0.756,0.262,0.262,0.262,0.0,0.131,0.0
t_1791,0.85,0.27,0.27,0.27,0.0,0.135,0.0
t_1792,0.825,0.384,0.384,0.384,0.0,0.192,0.0
t_1793,0.727,0.571,0.571,0.571,0.001,0.286,0.001
t_1794,0.668,0.735,0.735,0.735,0.022,0.379,0.022
t_1795,0.663,0.735,0.735,0.735,0.038,0.387,0.038
t_1796,0.632,0.807,0.807,0.807,0.061,0.434,0.061
t_1797,0.556,0.854,0.854,0.854,0.089,0.472,0.089
t_1798,0.418,0.942,0.942,0.942,0.132,0.537,0.132
t_1799,0.236,0.916,0.916,0.916,0.179,0.548,0.179
t_1800,0.143,0.951,0.951,0.951,0.242,0.597,0.242
t_1801,0.124,0.933,0.933,0.933,0.346,0.64,0.346
t_1802,0.124,0.968,0.968,0.968,0.527,0.748,0.527
t_1803,0.139,0.968,0.968,0.968,0.765,0.867,0.765
t_1804,0.156,0.967,0.967,0.967,0.811,0.889,0.811
t_1805,0.208,0.981,0.981,0.981,0.754,0.868,0.754
t_1806,0.266,0.981,0.981,0.981,0.66,0.821,0.66
t_1807,0.311,0.981,0.981,0.981,0.556,0.769,0.556
t_1808,0.349,0.971,0.971,0.971,0.454,0.713,0.454
t_1809,0.446,0.95,0.95,0.95,0.469,0.71,0.469
t_1810,0.547,0.983,0.983,0.983,0.563,0.773,0.563
t_1811,0.604,0.991,0.991,0.991,0.582,0.787,0.582
t_1812,0.634,0.993,0.993,0.993,0.555,0.774,0.555
t_1813,0.695,0.976,0.976,0.976,0.54,0.758,0.54
t_1814,0.718,0.934,0.934,0.934,0.486,0.71,0.486
t_1815,0.716,0.906,0.906,0.906,0.395,0.651,0.395
t_1816,0.627,0.787,0.787,0.787,0.354,0.571,0.354
t_1817,0.49,0.729,0.729,0.729,0.397,0.563,0.397
t_1818,0.46,0.745,0.745,0.745,0.442,0.594,0.442
t_1819,0.448,0.722,0.722,0.722,0.524,0.623,0.524
t_1820,0.424,0.668,0.668,0.668,0.601,0.635,0.601
t_1821,0.399,0.611,0.611,0.611,0.674,0.643,0.674
t_1822,0.361,0.587,0.587,0.587,0.741,0.664,0.741
t_1823,0.317,0.56,0.56,0.56,0.732,0.646,0.732
t_1824,0.284,0.81,0.81,0.81,0.737,0.774,0.737
t_1825,0.262,0.603,0.603,0.603,0.719,0.661,0.719
t_1826,0.236,0.627,0.627,0.627,0.693,0.66,0.693
t_1827,0.234,0.582,0.582,0.582,0.711,0.647,0.711
t_1828,0.237,0.48,0.48,0.48,0.723,0.602,0.723
t_1829,0.278,0.363,0.363,0.363,0.738,0.551,0.738
t_1830,0.307,0.279,0.279,0.279,0.73,0.505,0.73
t_1831,0.34,0.216,0.216,0.216,0.687,0.452,0.687
t_1832,0.312,0.164,0.164,0.164,0.592,0.378,0.592
t_1833,0.401,0.166,0.166,0.166,0.545,0.356,0.545
t_1834,0.419,0.2,0.2,0.2,0.482,0.341,0.482
t_1835,0.408,0.219,0.219,0.219,0.383,0.301,0.383
t_1836,0.391,0.154,0.154,0.154,0.278,0.216,0.278
t_1837,0.301,0.091,0.091,0.091,0.208,0.15,0.208
t_1838,0.278,0.143,0.143,0.143,0.176,0.16,0.176
t_1839,0.254,0.094,0.094,0.094,0.158,0.126,0.158
t_1840,0.252,0.058,0.058,0.058,0.151,0.105,0.151
t_1841,0.187,0.034,0.034,0.034,0.111,0.073,0.111
t_1842,0.148,0.052,0.052,0.052,0.1,0.076,0.1
t_1843,0.186,0.046,0.046,0.046,0.108,0.077,0.108
t_1844,0.416,0.048,0.048,0.048,0.113,0.081,0.113
t_1845,0.44,0.049,0.049,0.049,0.109,0.079,0.109
t_1846,0.249,0.059,0.059,0.059,0.111,0.085,0.111
t_1847,0.24,0.029,0.029,0.029,0.116,0.073,0.116
t_1848,0.226,0.035,0.035,0.035,0.128,0.082,0.128
t_1849,0.233,0.037,0.037,0.037,0.141,0.089,0.141
t_1850,0.246,0.02,0.02,0.02,0.152,0.086,0.152
t_1851,0.273,0.024,0.024,0.024,0.159,0.092,0.159
t_1852,0.332,0.025,0.025,0.025,0.164,0.095,0.164
t_1853,0.405,0.029,0.029,0.029,0.176,0.103,0.176
t_1854,0.488,0.037,0.037,0.037,0.179,0.108,0.179
t_1855,0.578,0.046,0.046,0.046,0.156,0.101,0.156
t_1856,0.712,0.08,0.08,0.08,0.229,0.155,0.229
t_1857,0.824,0.131,0.131,0.131,0.258,0.195,0.258
t_1858,0.84,0.138,0.138,0.138,0.279,0.209,0.279
t_1859,0.836,0.143,0.143,0.143,0.304,0.224,0.304
t_1860,0.846,0.218,0.218,0.218,0.329,0.274,0.329
t_1861,0.857,0.197,0.197,0.197,0.37,0.284,0.37
t_1862,0.865,0.205,0.205,0.205,0.406,0.306,0.406
t_1863,0.88,0.214,0.214,0.214,0.428,0.321,0.428
t_1864,0.901,0.184,0.184,0.184,0.387,0.286,0.387
t_1865,0.887,0.126,0.126,0.126,0.313,0.22,0.313
t_1866,0.861,0.104,0.104,0.104,0.304,0.204,0.304
t_1867,0.87,0.112,0.112,0.112,0.31,0.211,0.31
t_1868,0.873,0.1,0.1,0.1,0.297,0.199,0.297
t_1869,0.868,0.04,0.04,0.04,0.278,0.159,0.278
t_1870,0.857,0.05,0.05,0.05,0.258,0.154,0.258
t_1871,0.84,0.075,0.075,0.075,0.227,0.151,0.227
t_1872,0.822,0.073,0.073,0.073,0.19,0.132,0.19
t_1873,0.808,0.056,0.056,0.056,0.169,0.113,0.169
t_1874,0.794,0.036,0.036,0.036,0.15,0.093,0.15
t_1875,0.777,0.023,0.023,0.023,0.144,0.084,0.144
t_1876,0.747,0.015,0.015,0.015,0.145,0.08,0.145
t_1877,0.729,0.008,0.008,0.008,0.142,0.075,0.142
t_1878,0.72,0.004,0.004,0.004,0.148,0.076,0.148
t_1879,0.694,0.0,0.0,0.0,0.116,0.058,0.116
t_1880,0.665,0.001,0.001,0.001,0.143,0.072,0.143
t_1881,0.788,0.004,0.004,0.004,0.252,0.128,0.252
t_1882,0.796,0.006,0.006,0.006,0.302,0.154,0.302
t_1883,0.762,0.009,0.009,0.009,0.314,0.162,0.314
t_1884,0.751,0.014,0.014,0.014,0.307,0.161,0.307
t_1885,0.779,0.022,0.022,0.022,0.297,0.16,0.297
t_1886,0.843,0.044,0.044,0.044,0.281,0.163,0.281
t_1887,0.895,0.096,0.096,0.096,0.223,0.16,0.223
t_1888,0.911,0.14,0.14,0.14,0.158,0.149,0.158
t_1889,0.892,0.148,0.148,0.148,0.113,0.131,0.113
t_1890,0.842,0.165,0.165,0.165,0.118,0.142,0.118
t_1891,0.882,0.18,0.18,0.18,0.138,0.159,0.138
t_1892,0.897,0.16,0.16,0.16,0.147,0.154,0.147
t_1893,0.902,0.141,0.141,0.141,0.154,0.148,0.154
t_1894,0.906,0.162,0.162,0.162,0.146,0.154,0.146
t_1895,0.909,0.202,0.202,0.202,0.14,0.171,0.14
t_1896,0.907,0.203,0.203,0.203,0.137,0.17,0.137
t_1897,0.9,0.179,0.179,0.179,0.133,0.156,0.133
t_1898,0.893,0.152,0.152,0.152,0.148,0.15,0.148
t_1899,0.89,0.114,0.114,0.114,0.169,0.142,0.169
t_1900,0.885,0.04,0.04,0.04,0.206,0.123,0.206
t_1901,0.877,0.004,0.004,0.004,0.232,0.118,0.232
t_1902,0.867,0.002,0.002,0.002,0.246,0.124,0.246
t_1903,0.853,0.001,0.001,0.001,0.257,0.129,0.257
t_1904,0.87,0.001,0.001,0.001,0.353,0.177,0.353
t_1905,0.895,0.005,0.005,0.005,0.46,0.233,0.46
t_1906,0.91,0.015,0.015,0.015,0.506,0.261,0.506
t_1907,0.913,0.027,0.027,0.027,0.52,0.274,0.52
t_1908,0.909,0.051,0.051,0.051,0.535,0.293,0.535
t_1909,0.899,0.062,0.062,0.062,0.545,0.304,0.545
t_1910,0.886,0.09,0.09,0.09,0.568,0.329,0.568
t_1911,0.879,0.107,0.107,0.107,0.552,0.33,0.552
t_1912,0.875,0.031,0.031,0.031,0.49,0.261,0.49
t_1913,0.776,0.026,0.026,0.026,0.475,0.251,0.475
t_1914,0.532,0.038,0.038,0.038,0.497,0.268,0.497
t_1915,0.484,0.092,0.092,0.092,0.549,0.321,0.549
t_1916,0.446,0.178,0.178,0.178,0.61,0.394,0.61
t_1917,0.361,0.314,0.314,0.314,0.686,0.5,0.686
t_1918,0.312,0.52,0.52,0.52,0.8,0.66,0.8
t_1919,0.278,0.75,0.75,0.75,0.858,0.804,0.858
t_1920,0.304,0.893,0.893,0.893,0.915,0.904,0.915
t_1921,0.267,0.953,0.953,0.953,0.958,0.956,0.958
t_1922,0.271,0.995,0.995,0.995,0.971,0.983,0.971
t_1923,0.288,0.995,0.995,0.995,0.985,0.99,0.985
t_1924,0.254,0.995,0.995,0.995,0.989,0.992,0.989
t_1925,0.252,0.995,0.995,0.995,0.993,0.994,0.993
t_1926,0.301,0.981,0.981,0.981,0.996,0.989,0.996
t_1927,0.388,0.981,0.981,0.981,0.995,0.988,0.995
t_1928,0.452,0.909,0.909,0.909,0.989,0.949,0.989
t_1929,0.487,0.934,0.934,0.934,0.985,0.96,0.985
t_1930,0.585,0.972,0.972,0.972,0.974,0.973,0.974
t_1931,0.744,0.981,0.981,0.981,0.959,0.97,0.959
t_1932,0.853,0.993,0.993,0.993,0.94,0.967,0.94
t_1933,0.92,0.982,0.982,0.982,0.883,0.933,0.883
t_1934,0.917,0.992,0.992,0.992,0.834,0.913,0.834
t_1935,0.885,0.928,0.928,0.928,0.791,0.86,0.791
t_1936,0.79,0.867,0.867,0.867,0.815,0.841,0.815
t_1937,0.641,0.606,0.606,0.606,0.844,0.725,0.844
t_1938,0.609,0.407,0.407,0.407,0.871,0.639,0.871
t_1939,0.632,0.308,0.308,0.308,0.844,0.576,0.844
