plant_name,node,scenario,weather_year,2030,2035,2040,2050
HU00_electrolyzer,HU00,DistributedEnergy,2008,8003579.988,14338421.35,20673262.72,21919708.95
HU00_electrolyzer,HU00,DistributedEnergy,2009,8002049.194,14300340.85,20598632.5,23348051.46
HU00_electrolyzer,HU00,GlobalAmbition,1995,11623096.67,14314282.86,17005469.06,10585411.96
HU00_electrolyzer,HU00,GlobalAmbition,2008,11633026.91,14359955.15,17086883.39,10538272.12
HU00_electrolyzer,HU00,GlobalAmbition,2009,11635998.09,14545242.12,17454486.15,10970033.49
IT00_electrolyzer,IT00,DistributedEnergy,1995,33481747.15,68434746.15,103387745.2,105542491.4
IT00_electrolyzer,IT00,DistributedEnergy,2008,33194672.49,68970460,104746247.5,103855279.5
IT00_electrolyzer,IT00,DistributedEnergy,2009,33403605.54,71969618.55,110535631.6,131305103.3
IT00_electrolyzer,IT00,GlobalAmbition,1995,41560690.08,67225915.39,92891140.71,75015963.73
IT00_electrolyzer,IT00,GlobalAmbition,2008,41302199.93,66477794.51,91653389.09,73696160.85
IT00_electrolyzer,IT00,GlobalAmbition,2009,41428074.5,70597666.77,99767259.04,86400093.93
LU00_electrolyzer,LU00,DistributedEnergy,1995,0,0,0,0
LU00_electrolyzer,LU00,DistributedEnergy,2008,0,0,0,0
LU00_electrolyzer,LU00,DistributedEnergy,2009,0,0,0,0
LU00_electrolyzer,LU00,GlobalAmbition,1995,0,0,0,0
LU00_electrolyzer,LU00,GlobalAmbition,2008,0,0,0,0
LU00_electrolyzer,LU00,GlobalAmbition,2009,0,0,0,0
NL00_electrolyzer,NL00,DistributedEnergy,1995,35320377.58,113612877.3,191905377.1,210368873
NL00_electrolyzer,NL00,DistributedEnergy,2008,35503831.7,115092623.8,194681415.9,210837544.8
NL00_electrolyzer,NL00,DistributedEnergy,2009,35578438.75,114846928.2,194115417.7,207898884.7
NL00_electrolyzer,NL00,GlobalAmbition,1995,52810873.31,113439342.4,174067811.5,316684251.9
NL00_electrolyzer,NL00,GlobalAmbition,2008,53138484.56,114438641.6,175738798.7,320029970
NL00_electrolyzer,NL00,GlobalAmbition,2009,53036851.7,111296267.2,169555682.8,306421626.2
NOM1_electrolyzer,NOM1,DistributedEnergy,1995,0,0,0,0
NOM1_electrolyzer,NOM1,DistributedEnergy,2008,0,0,0,0
NOM1_electrolyzer,NOM1,DistributedEnergy,2009,0,0,0,0
NOM1_electrolyzer,NOM1,GlobalAmbition,1995,0,0,0,0
NOM1_electrolyzer,NOM1,GlobalAmbition,2008,0,0,0,0
NOM1_electrolyzer,NOM1,GlobalAmbition,2009,0,0,0,0
NON1_electrolyzer,NON1,DistributedEnergy,1995,0,0,0,0
NON1_electrolyzer,NON1,DistributedEnergy,2008,0,0,0,0
NON1_electrolyzer,NON1,DistributedEnergy,2009,0,0,0,0
NON1_electrolyzer,NON1,GlobalAmbition,1995,0,0,0,0
NON1_electrolyzer,NON1,GlobalAmbition,2008,0,0,0,0
NON1_electrolyzer,NON1,GlobalAmbition,2009,0,0,0,0
NOS0_electrolyzer,NOS0,DistributedEnergy,1995,0,0,0,0
NOS0_electrolyzer,NOS0,DistributedEnergy,2008,0,0,0,0
NOS0_electrolyzer,NOS0,DistributedEnergy,2009,0,0,0,0
NOS0_electrolyzer,NOS0,GlobalAmbition,1995,0,0,0,0
NOS0_electrolyzer,NOS0,GlobalAmbition,2008,0,0,0,0
NOS0_electrolyzer,NOS0,GlobalAmbition,2009,0,0,0,0
PL00_electrolyzer,PL00,DistributedEnergy,1995,27605184.55,43001492.42,58397800.29,89196748.34
PL00_electrolyzer,PL00,DistributedEnergy,2008,26901167.23,43185807.22,59470447.2,89975668.56
PL00_electrolyzer,PL00,DistributedEnergy,2009,26894592.19,42312698.57,57730804.95,84731408.55
PL00_electrolyzer,PL00,GlobalAmbition,1995,33388090.56,36032465.67,38676840.78,40053620.79
PL00_electrolyzer,PL00,GlobalAmbition,2008,33436883.74,36058035.75,38679187.76,40328180.37
PL00_electrolyzer,PL00,GlobalAmbition,2009,33646437.1,36000002.89,38353568.68,39223849.8
PT00_electrolyzer,PT00,DistributedEnergy,1995,4965016.277,28484440.92,52003865.56,71741578.05
PT00_electrolyzer,PT00,DistributedEnergy,2008,4622958.223,27504138.96,50385319.71,67254215.7
PT00_electrolyzer,PT00,DistributedEnergy,2009,5081061.685,28779913.2,52478764.72,72178049.66
PT00_electrolyzer,PT00,GlobalAmbition,1995,4717376.882,19038484.86,33359592.83,58299785.75
PT00_electrolyzer,PT00,GlobalAmbition,2008,4717316.882,16986648.6,29255980.32,52348176.63
PT00_electrolyzer,PT00,GlobalAmbition,2009,4717329.857,19123502.26,33529674.65,57540828.85
SE01_electrolyzer,SE01,DistributedEnergy,1995,5.12E-10,8103367.713,16206735.43,14911375.28
SE01_electrolyzer,SE01,DistributedEnergy,2008,1.00E-05,7624422.759,15248845.52,13741883.72
SE01_electrolyzer,SE01,DistributedEnergy,2009,-3.98E-10,8786429.594,17572859.19,16953077.84
SE01_electrolyzer,SE01,GlobalAmbition,1995,73837.14878,12102258.21,24130679.27,31531905.69
SE01_electrolyzer,SE01,GlobalAmbition,2008,73837.14878,11860141.59,23646446.03,29271434.19
SE01_electrolyzer,SE01,GlobalAmbition,2009,73837.14878,12338144.09,24602451.04,32560219.98
SE02_electrolyzer,SE02,DistributedEnergy,1995,3599274.122,4032143.995,4465013.868,5451032.878
SE02_electrolyzer,SE02,DistributedEnergy,2008,3243544.495,3817697.378,4391850.261,5489747.121
SE02_electrolyzer,SE02,DistributedEnergy,2009,2932835.686,3654466.197,4376096.709,5387399.343
SE02_electrolyzer,SE02,GlobalAmbition,1995,2971098.223,3724359.334,4477620.445,12791575.43
SE02_electrolyzer,SE02,GlobalAmbition,2008,2846884.953,3654035.28,4461185.607,12809923.47
SE02_electrolyzer,SE02,GlobalAmbition,2009,2708276.621,3554422.484,4400568.347,12591570.36
SE03_electrolyzer,SE03,DistributedEnergy,1995,7491389.549,8746227.596,10001065.64,12122393.59
SE03_electrolyzer,SE03,DistributedEnergy,2008,7365685.272,8847345.21,10329005.15,12765033.21
SE03_electrolyzer,SE03,DistributedEnergy,2009,6293141.27,8115314.746,9937488.221,12449412.59
SE03_electrolyzer,SE03,GlobalAmbition,1995,4788104.146,8390229.229,11992354.31,10003770.9
SE03_electrolyzer,SE03,GlobalAmbition,2008,4443517.813,8182146.298,11920774.78,10080616.63
SE03_electrolyzer,SE03,GlobalAmbition,2009,4733439.167,8127528.243,11521617.32,9668148.188
SE04_electrolyzer,SE04,DistributedEnergy,1995,6818138.446,6779491.69,6740844.933,7378891.787
SE04_electrolyzer,SE04,DistributedEnergy,2008,6807518.326,7168663.175,7529808.024,8285498.715
SE04_electrolyzer,SE04,DistributedEnergy,2009,5966761.228,6529138.457,7091515.686,7892084.446
SE04_electrolyzer,SE04,GlobalAmbition,1995,4082582.426,7068987.418,10055392.41,8763444.274
SE04_electrolyzer,SE04,GlobalAmbition,2008,3976042.547,7073987.492,10171932.44,8864082.007
SE04_electrolyzer,SE04,GlobalAmbition,2009,3951365.453,6873756.962,9796148.471,8589325.165
SI00_electrolyzer,SI00,DistributedEnergy,1995,825618.7861,2782851.861,4740084.935,4714045.925
SI00_electrolyzer,SI00,DistributedEnergy,2008,828517.1066,2812653.001,4796788.895,4704682.688
SI00_electrolyzer,SI00,DistributedEnergy,2009,822537.6612,2866934.03,4911330.399,5368543.131
SI00_electrolyzer,SI00,GlobalAmbition,1995,882584.3143,2105024.839,3327465.364,2622312.859
SI00_electrolyzer,SI00,GlobalAmbition,2008,882584.3143,2095496.008,3308407.702,2635427.696
SI00_electrolyzer,SI00,GlobalAmbition,2009,882584.3143,2345240.277,3807896.239,3495929.728
SK00_electrolyzer,SK00,DistributedEnergy,1995,4933749.509,6944028.363,8954307.217,7030834.086
SK00_electrolyzer,SK00,DistributedEnergy,2008,4929654.805,7045420.038,9161185.272,6985166.189
SK00_electrolyzer,SK00,DistributedEnergy,2009,4926327.528,6972705.808,9019084.088,7034821.325
SK00_electrolyzer,SK00,GlobalAmbition,1995,6559008.921,6805416.376,7051823.83,4804376.259
SK00_electrolyzer,SK00,GlobalAmbition,2008,6581485.638,6802193.229,7022900.821,4735203.166
SK00_electrolyzer,SK00,GlobalAmbition,2009,6582934.073,6967444.059,7351954.046,5266594.746
UK00_electrolyzer,UK00,DistributedEnergy,1995,20829614.22,44084165.06,67338715.89,235915541
UK00_electrolyzer,UK00,DistributedEnergy,2008,21417754.05,44311447.02,67205139.99,236401901.5
UK00_electrolyzer,UK00,DistributedEnergy,2009,20414121.72,43519596.81,66625071.91,226345727.3
UK00_electrolyzer,UK00,GlobalAmbition,1995,26297157.86,50429119.36,74561080.85,232852548.6
UK00_electrolyzer,UK00,GlobalAmbition,2008,27125915.29,50969807.28,74813699.27,235678976.1
UK00_electrolyzer,UK00,GlobalAmbition,2009,26289385.9,49288999.17,72288612.43,220418708.2
