scenario,zone,tech,weather_year,2030,2035,2040,2050,Unnamed: 8,Unnamed: 9
GlobalAmbition,BA00,hardcoal,1995,25.3095,12.6548,,,,
GlobalAmbition,BA00,hardcoal,2008,3.74,1.87,,,,
GlobalAmbition,BA00,hardcoal,2009,5.5524,2.7762,,,,
DistributedEnergy,BA00,pvrf,1995,1499.0236,2461.3401,3423.6567,3368.627,,
DistributedEnergy,BA00,pvrf,2008,1536.074,2562.3169,3588.5598,3531.4266,,
DistributedEnergy,BA00,pvrf,2009,1498.8538,2483.9434,3469.0331,3543.8696,,
GlobalAmbition,BA00,pvrf,1995,1499.7,2435.0483,3370.3966,3930.7668,,
GlobalAmbition,BA00,pvrf,2008,1540.3479,2501.9161,3463.4842,4039.6838,,
GlobalAmbition,BA00,pvrf,2009,1498.8538,2431.6699,3364.4861,3924.1226,,
DistributedEnergy,BA00,windon,1995,9559.4706,12445.0979,15330.7253,30453.2451,,
DistributedEnergy,BA00,windon,2008,9553.464,12629.419,15705.374,31969.2713,,
DistributedEnergy,BA00,windon,2009,9060.4615,11994.1011,14927.7408,30490.5372,,
GlobalAmbition,BA00,windon,1995,5137.406,6403.8111,7670.2163,5931.4031,,
GlobalAmbition,BA00,windon,2008,5136.4904,6405.2058,7673.9212,5935.5933,,
GlobalAmbition,BA00,windon,2009,4869.0573,6096.1273,7323.1973,5664.3167,,
DistributedEnergy,BE00,Biofuels,1995,400.5015,974.1656,1547.8298,1296.4927,,
DistributedEnergy,BE00,Biofuels,2008,403.5275,981.6961,1559.8646,1344.7141,,
DistributedEnergy,BE00,Biofuels,2009,529.743,1113.3959,1697.0488,1504.6382,,
GlobalAmbition,BE00,Biofuels,1995,313.165,655.8588,998.5527,1151.9942,,
GlobalAmbition,BE00,Biofuels,2008,324.4842,625.6421,926.8001,1103.9349,,
GlobalAmbition,BE00,Biofuels,2009,411.7624,793.2019,1174.6414,1328.7279,,
DistributedEnergy,BE00,battery,1995,5069.9299,10427.7114,15785.4929,18076.288,,
DistributedEnergy,BE00,battery,2008,5163.1491,10375.174,15587.199,17843.0908,,
DistributedEnergy,BE00,battery,2009,5113.1652,10300.9248,15488.6844,17812.9282,,
GlobalAmbition,BE00,battery,1995,1943.4955,3983.284,6023.0726,7393.89,,
GlobalAmbition,BE00,battery,2008,1929.5153,4017.5374,6105.5595,7382.7888,,
GlobalAmbition,BE00,battery,2009,1908.374,3984.9526,6061.5312,7287.346,,
DistributedEnergy,BE00,biomass,1995,2246.5947,2250.2378,2253.8809,2246.31,,
DistributedEnergy,BE00,biomass,2008,2246.5947,2250.2378,2253.8809,2245.7211,,
DistributedEnergy,BE00,biomass,2009,2246.5947,2250.2378,2253.8809,2245.7301,,
GlobalAmbition,BE00,biomass,1995,2246.5947,2245.1963,2243.7979,2242.8384,,
GlobalAmbition,BE00,biomass,2008,2245.7921,2244.1843,2242.5765,2239.0925,,
GlobalAmbition,BE00,biomass,2009,2246.5947,2245.8871,2245.1796,2248.4583,,
DistributedEnergy,BE00,dsr,1995,14.1225,1509.4762,3004.83,4460.3591,,
DistributedEnergy,BE00,dsr,2008,,1360.088,2720.176,3893.6862,,
DistributedEnergy,BE00,dsr,2009,,2184.9457,4369.8914,5196.638,,
GlobalAmbition,BE00,dsr,1995,25.2904,255.1001,484.9098,2012.7971,,
GlobalAmbition,BE00,dsr,2008,,131.1043,262.2085,1575.0354,,
GlobalAmbition,BE00,dsr,2009,3.686,118.795,233.904,1900.4817,,
DistributedEnergy,BE00,gas,1995,23774.781,26339.6251,28904.4693,25246.9471,,
DistributedEnergy,BE00,gas,2008,22439.0861,24522.939,26606.7919,23078.4122,,
DistributedEnergy,BE00,gas,2009,28059.9866,30002.7529,31945.5192,28562.3997,,
GlobalAmbition,BE00,gas,1995,17488.0328,16831.9724,16175.9121,19285.4464,,
GlobalAmbition,BE00,gas,2008,16896.3176,16002.2878,15108.2579,17715.6161,,
GlobalAmbition,BE00,gas,2009,20143.8503,19581.0934,19018.3366,20778.8964,,
DistributedEnergy,BE00,oil,1995,35.1516,34.5519,33.9522,,,
DistributedEnergy,BE00,oil,2008,10.8722,12.0128,13.1535,,,
DistributedEnergy,BE00,oil,2009,22.2335,24.3986,26.5638,,,
GlobalAmbition,BE00,oil,1995,10.6453,5.9448,1.2443,11.44,,
GlobalAmbition,BE00,oil,2008,2.054,1.027,,,,
GlobalAmbition,BE00,oil,2009,5.135,2.5675,,8.42,,
DistributedEnergy,BE00,pvrf,1995,17223.4861,24871.4419,32519.3977,43757.8354,,
DistributedEnergy,BE00,pvrf,2008,16551.6744,23938.1527,31324.631,42133.2552,,
DistributedEnergy,BE00,pvrf,2009,16952.0714,24487.5802,32023.089,43032.8607,,
GlobalAmbition,BE00,pvrf,1995,15004.3468,19743.0397,24481.7326,29487.5714,,
GlobalAmbition,BE00,pvrf,2008,14455.6429,19013.1764,23570.7099,28285.5984,,
GlobalAmbition,BE00,pvrf,2009,14824.4954,19425.9088,24027.3222,29106.2421,,
DistributedEnergy,BE00,windof,1995,18468.003,22327.6965,26187.3899,29867.7959,,
DistributedEnergy,BE00,windof,2008,19155.0931,23107.2703,27059.4475,30975.5923,,
DistributedEnergy,BE00,windof,2009,17270.3036,20853.5584,24436.8131,27926.0794,,
GlobalAmbition,BE00,windof,1995,23257.056,24541.4479,25825.8398,27087.1765,,
GlobalAmbition,BE00,windof,2008,24126.9429,25402.6711,26678.3993,27973.4263,,
GlobalAmbition,BE00,windof,2009,21754.2594,22938.7438,24123.2281,25295.3699,,
DistributedEnergy,BE00,windon,1995,13270.0503,19418.0562,25566.0621,30957.6655,,
DistributedEnergy,BE00,windon,2008,13518.6583,19789.6785,26060.6987,31576.6893,,
DistributedEnergy,BE00,windon,2009,12867.1459,18878.6012,24890.0566,30220.8569,,
GlobalAmbition,BE00,windon,1995,12755.1624,17503.9313,22252.7002,27716.1178,,
