scenario,zone,tech,weather_year,2030,2035,2040,2050,Unnamed: 8,Unnamed: 9
DistributedEnergy,DE00,dsr,2009,105.7228,4097.1613,8088.5998,8509.9711,,
GlobalAmbition,DE00,dsr,1995,107.5872,919.885,1732.1829,4473.2177,,
GlobalAmbition,DE00,dsr,2008,11.0854,745.3357,1479.5861,3306.2201,,
GlobalAmbition,DE00,dsr,2009,38.6227,710.8116,1383.0006,4480.9237,,
DistributedEnergy,DE00,gas,1995,121112.9656,124645.0684,128177.1712,119558.2259,,
DistributedEnergy,DE00,gas,2008,110894.9113,113344.0461,115793.1808,104449.9228,,
DistributedEnergy,DE00,gas,2009,125412.1614,129918.6077,134425.0541,122444.0265,,
GlobalAmbition,DE00,gas,1995,107501.5336,100124.6181,92747.7027,94719.1629,,
GlobalAmbition,DE00,gas,2008,101877.6075,94543.8338,87210.0601,89930.7197,,
GlobalAmbition,DE00,gas,2009,108608.6628,103637.8209,98666.979,103230.1141,,
DistributedEnergy,DE00,hardcoal,1995,65122.8304,32561.4152,,,,
DistributedEnergy,DE00,hardcoal,2008,65340.2226,32670.1113,,,,
DistributedEnergy,DE00,hardcoal,2009,65763.8195,32881.9098,,,,
GlobalAmbition,DE00,hardcoal,1995,61339.8098,30669.9049,,,,
GlobalAmbition,DE00,hardcoal,2008,61827.0228,30913.5114,,,,
GlobalAmbition,DE00,hardcoal,2009,63937.3562,31968.6781,,,,
DistributedEnergy,DE00,oil,1995,162.0798,128.9469,95.8141,,,
DistributedEnergy,DE00,oil,2008,22.4026,34.0829,45.7633,,,
DistributedEnergy,DE00,oil,2009,48.235,54.6104,60.9858,,,
GlobalAmbition,DE00,oil,1995,51.5932,28.1197,4.6462,13.3264,,
GlobalAmbition,DE00,oil,2008,4.8369,2.4184,,,,
GlobalAmbition,DE00,oil,2009,18.5841,9.292,,0.3356,,
DistributedEnergy,DE00,pvrf,1995,107168.4191,161664.1453,216159.8715,258554.2233,,
DistributedEnergy,DE00,pvrf,2008,108139.8215,163082.7128,218025.6041,261512.4341,,
DistributedEnergy,DE00,pvrf,2009,108732.0705,163783.2708,218834.4712,262836.4515,,
GlobalAmbition,DE00,pvrf,1995,58946.9118,87033.4306,115119.9494,133770.3542,,
GlobalAmbition,DE00,pvrf,2008,59406.8539,87977.3876,116547.9213,135232.6418,,
GlobalAmbition,DE00,pvrf,2009,59709.5096,88457.4891,117205.4686,136250.5096,,
DistributedEnergy,DE00,windof,1995,137865.1052,184880.6772,231896.2492,283672.8629,,
DistributedEnergy,DE00,windof,2008,143839.5553,192753.4649,241667.3745,296310.6649,,
DistributedEnergy,DE00,windof,2009,136337.7891,183032.3791,229726.969,281555.0032,,
GlobalAmbition,DE00,windof,1995,165625.8837,215931.0501,266236.2166,310998.4013,,
GlobalAmbition,DE00,windof,2008,172882.743,227017.7605,281152.7779,325878.9497,,
GlobalAmbition,DE00,windof,2009,163868.3879,215808.39,267748.392,311805.2181,,
DistributedEnergy,DE00,windon,1995,216391.0055,278792.7125,341194.4194,397433.5979,,
DistributedEnergy,DE00,windon,2008,217074.1792,285597.1695,354120.1599,411824.6375,,
DistributedEnergy,DE00,windon,2009,201975.5992,266622.3204,331269.0415,392591.2041,,
GlobalAmbition,DE00,windon,1995,195102.1057,242601.1747,290100.2437,350282.5022,,
GlobalAmbition,DE00,windon,2008,195593.225,245482.5751,295371.9252,357605.2206,,
GlobalAmbition,DE00,windon,2009,182319.3271,231112.2438,279905.1606,340150.699,,
DistributedEnergy,DKE1,Biofuels,1995,1535.0502,2645.9575,3756.8648,1102.7024,,
DistributedEnergy,DKE1,Biofuels,2008,1326.9245,2550.2979,3773.6714,1031.2457,,
DistributedEnergy,DKE1,Biofuels,2009,1867.7227,3254.3219,4640.9212,1293.0048,,
GlobalAmbition,DKE1,Biofuels,1995,1399.3321,2084.7176,2770.1031,1095.3095,,
GlobalAmbition,DKE1,Biofuels,2008,1159.0573,1872.9681,2586.8789,1052.4351,,
GlobalAmbition,DKE1,Biofuels,2009,1435.8994,2315.7095,3195.5196,1374.0426,,
DistributedEnergy,DKE1,battery,1995,1136.6294,1693.993,2251.3567,2936.6544,,
DistributedEnergy,DKE1,battery,2008,1136.7214,1675.3006,2213.8799,2936.1603,,
DistributedEnergy,DKE1,battery,2009,1111.0962,1650.8949,2190.6937,3004.9221,,
GlobalAmbition,DKE1,battery,1995,296.5366,717.9152,1139.2938,1323.2772,,
GlobalAmbition,DKE1,battery,2008,296.8219,714.2267,1131.6314,1326.8388,,
GlobalAmbition,DKE1,battery,2009,298.4137,722.411,1146.4084,1330.9305,,
DistributedEnergy,DKE1,biomass,1995,67.4281,67.5635,67.699,62.5937,,
DistributedEnergy,DKE1,biomass,2008,67.7494,67.8059,67.8624,64.2555,,
DistributedEnergy,DKE1,biomass,2009,67.6418,67.7303,67.8189,66.0136,,
GlobalAmbition,DKE1,biomass,1995,65.8942,61.1233,56.3524,59.7292,,
GlobalAmbition,DKE1,biomass,2008,66.3167,61.6697,57.0227,61.4655,,
GlobalAmbition,DKE1,biomass,2009,66.7313,63.4742,60.217,64.9582,,
DistributedEnergy,DKE1,gas,1995,458.4095,532.8409,607.2723,675.6774,,
DistributedEnergy,DKE1,gas,2008,408.4649,364.7458,321.0267,257.0812,,
DistributedEnergy,DKE1,gas,2009,572.2204,622.945,673.6696,789.2174,,
GlobalAmbition,DKE1,gas,1995,423.3197,331.2994,239.2791,123.3514,,
GlobalAmbition,DKE1,gas,2008,356.9367,245.9728,135.0089,55.2284,,
GlobalAmbition,DKE1,gas,2009,472.9818,325.2193,177.4567,83.1381,,
DistributedEnergy,DKE1,oil,1995,44.1933,45.3895,46.5858,,,
DistributedEnergy,DKE1,oil,2008,4.4375,11.346,18.2545,,,
DistributedEnergy,DKE1,oil,2009,23.5864,36.5701,49.5538,,,
GlobalAmbition,DKE1,oil,1995,28.2491,14.6358,1.0225,3.8884,,
GlobalAmbition,DKE1,oil,2008,1.0672,0.5336,,,,
GlobalAmbition,DKE1,oil,2009,11.6907,5.8453,,1.5386,,
DistributedEnergy,DKE1,pvrf,1995,6416.5333,8012.2088,9607.8843,13197.9286,,
DistributedEnergy,DKE1,pvrf,2008,6344.5824,7940.4955,9536.4086,13221.5893,,
DistributedEnergy,DKE1,pvrf,2009,6324.3904,7921.2855,9518.1806,13307.0081,,
GlobalAmbition,DKE1,pvrf,1995,1869.1297,2193.2052,2517.2806,4251.1071,,
GlobalAmbition,DKE1,pvrf,2008,1842.5521,2182.0291,2521.506,4270.6724,,
GlobalAmbition,DKE1,pvrf,2009,1844.9635,2173.538,2502.1125,4283.0578,,
DistributedEnergy,DKE1,windof,1995,11798.524,16745.8903,21693.2566,26484.6402,,
DistributedEnergy,DKE1,windof,2008,12434.9677,17649.6059,22864.2442,28019.8319,,
DistributedEnergy,DKE1,windof,2009,11465.8086,16310.9409,21156.0731,25851.1396,,
GlobalAmbition,DKE1,windof,1995,17118.0061,19357.1028,21596.1994,35232.478,,
GlobalAmbition,DKE1,windof,2008,18044.2874,20490.8103,22937.3333,37238.0814,,
GlobalAmbition,DKE1,windof,2009,16693.8291,19447.3208,22200.8124,34742.721,,
DistributedEnergy,DKE1,windon,1995,7725.834,8917.7183,10109.6027,13177.4148,,
DistributedEnergy,DKE1,windon,2008,8126.9745,9408.7705,10690.5664,14078.0839,,
DistributedEnergy,DKE1,windon,2009,7394.1656,8608.6569,9823.1482,13048.9464,,
GlobalAmbition,DKE1,windon,1995,6173.2289,5326.0598,4478.8907,5976.0143,,
GlobalAmbition,DKE1,windon,2008,6452.1827,5695.5149,4938.847,6521.7039,,
GlobalAmbition,DKE1,windon,2009,5932.4077,5410.6579,4888.9082,6335.2077,,
DistributedEnergy,DKKF,windof,1995,2352.9509,2220.8052,2088.6596,1581.485,,
DistributedEnergy,DKKF,windof,2008,2586.4545,2494.0852,2401.7159,1930.3923,,
DistributedEnergy,DKKF,windof,2009,2335.8188,2275.3378,2214.8568,1917.5932,,
GlobalAmbition,DKKF,windof,1995,2241.2169,1874.4416,1507.6663,,,
GlobalAmbition,DKKF,windof,2008,2462.5987,2094.5431,1726.4875,,,
GlobalAmbition,DKKF,windof,2009,2255.1765,2015.2204,1775.2643,,,
DistributedEnergy,DKW1,Biofuels,1995,1726.6355,1680.8676,1635.0997,827.171,,
DistributedEnergy,DKW1,Biofuels,2008,1598.9167,1632.6522,1666.3878,833.2882,,
DistributedEnergy,DKW1,Biofuels,2009,2174.4558,2097.6663,2020.8768,1092.6028,,
GlobalAmbition,DKW1,Biofuels,1995,1120.4246,1135.8733,1151.3219,992.2014,,
GlobalAmbition,DKW1,Biofuels,2008,972.003,1043.7543,1115.5057,1028.7267,,
GlobalAmbition,DKW1,Biofuels,2009,1170.4514,1259.6828,1348.9142,1290.0696,,
DistributedEnergy,DKW1,battery,1995,1745.8265,2710.5046,3675.1826,4072.0859,,
DistributedEnergy,DKW1,battery,2008,1730.9743,2682.5574,3634.1405,4182.2785,,
DistributedEnergy,DKW1,battery,2009,1721.2671,2669.7587,3618.2504,4055.4061,,
GlobalAmbition,DKW1,battery,1995,465.7493,1169.758,1873.7666,2134.3611,,
GlobalAmbition,DKW1,battery,2008,463.1606,1154.9815,1846.8024,2165.6558,,
GlobalAmbition,DKW1,battery,2009,452.1653,1157.7137,1863.262,2179.7897,,
DistributedEnergy,DKW1,biomass,1995,443.7627,426.4369,409.111,356.1735,,
DistributedEnergy,DKW1,biomass,2008,446.0329,432.2057,418.3786,367.3671,,
DistributedEnergy,DKW1,biomass,2009,444.9224,433.5412,422.1601,392.1975,,
GlobalAmbition,DKW1,biomass,1995,419.1058,372.6191,326.1325,354.9537,,
GlobalAmbition,DKW1,biomass,2008,425.1119,381.9644,338.817,367.5492,,
GlobalAmbition,DKW1,biomass,2009,431.1849,392.7859,354.387,394.9693,,
DistributedEnergy,DKW1,gas,1995,854.6827,817.533,780.3832,642.3454,,
DistributedEnergy,DKW1,gas,2008,739.718,598.6847,457.6515,276.7928,,
DistributedEnergy,DKW1,gas,2009,983.6801,874.1425,764.605,597.7596,,
GlobalAmbition,DKW1,gas,1995,730.4095,504.724,279.0386,256.2035,,
GlobalAmbition,DKW1,gas,2008,572.6865,391.4799,210.2734,174.1895,,
GlobalAmbition,DKW1,gas,2009,678.5973,460.8829,243.1686,228.8091,,
DistributedEnergy,DKW1,oil,1995,23.6709,15.9013,8.1317,,,
DistributedEnergy,DKW1,oil,2008,0.4908,1.5393,2.5878,,,
DistributedEnergy,DKW1,oil,2009,6.3137,7.1307,7.9476,,,
GlobalAmbition,DKW1,oil,1995,10.4857,5.2429,,10.4782,,
GlobalAmbition,DKW1,oil,2008,0.2677,0.1339,,,,
GlobalAmbition,DKW1,oil,2009,1.7848,0.8924,,2.7256,,
DistributedEnergy,DKW1,pvrf,1995,9430.3617,12925.9578,16421.554,23562.0962,,
DistributedEnergy,DKW1,pvrf,2008,9288.2572,12944.3828,16600.5084,23819.0348,,
DistributedEnergy,DKW1,pvrf,2009,9318.4148,12900.1883,16481.9619,24014.3503,,
GlobalAmbition,DKW1,pvrf,1995,3408.2541,3864.5875,4320.921,7748.1779,,
GlobalAmbition,DKW1,pvrf,2008,3329.9027,3842.4135,4354.9242,7760.2511,,
GlobalAmbition,DKW1,pvrf,2009,3385.5432,3855.5106,4325.478,7893.3486,,
DistributedEnergy,DKW1,windof,1995,46262.7099,73438.0917,100613.4735,126200.5577,,
DistributedEnergy,DKW1,windof,2008,43933.9362,69792.4857,95651.0352,119968.6625,,
DistributedEnergy,DKW1,windof,2009,43938.3818,70118.3074,96298.233,120848.415,,
GlobalAmbition,DKW1,windof,1995,49448.2585,67642.7311,85837.2036,128405.9283,,
GlobalAmbition,DKW1,windof,2008,46896.1378,64138.3688,81380.5998,121880.4384,,
GlobalAmbition,DKW1,windof,2009,47150.8818,65967.5414,84784.201,123755.305,,
DistributedEnergy,DKW1,windon,1995,8987.1844,9813.825,10640.4657,12413.267,,
DistributedEnergy,DKW1,windon,2008,9101.7273,10142.704,11183.6807,13033.8349,,
DistributedEnergy,DKW1,windon,2009,8291.8491,9505.2044,10718.5597,13760.9574,,
GlobalAmbition,DKW1,windon,1995,6970.3153,5498.4627,4026.6101,9038.6569,,
GlobalAmbition,DKW1,windon,2008,6979.0307,5627.7538,4276.4769,9443.0566,,
GlobalAmbition,DKW1,windon,2009,6502.7315,5412.1825,4321.6334,9930.2734,,
DistributedEnergy,EE00,Biofuels,1995,131.7863,188.5311,245.2759,175.3719,,
DistributedEnergy,EE00,Biofuels,2008,131.3956,220.6774,309.9592,219.5442,,
DistributedEnergy,EE00,Biofuels,2009,282.7525,343.8039,404.8553,336.1552,,
GlobalAmbition,EE00,Biofuels,1995,76.7509,138.3179,199.8849,239.6586,,
GlobalAmbition,EE00,Biofuels,2008,43.5514,123.7452,203.9391,303.8619,,
GlobalAmbition,EE00,Biofuels,2009,116.3213,241.1063,365.8912,447.3013,,
DistributedEnergy,EE00,battery,1995,711.674,958.2865,1204.899,1635.3064,,
DistributedEnergy,EE00,battery,2008,713.4531,956.0157,1198.5783,1611.4519,,
DistributedEnergy,EE00,battery,2009,697.9588,925.7103,1153.4619,1601.1674,,
GlobalAmbition,EE00,battery,1995,186.3354,307.6733,429.0113,702.71,,
GlobalAmbition,EE00,battery,2008,187.9214,308.6153,429.3092,687.2254,,
GlobalAmbition,EE00,battery,2009,184.6349,292.5202,400.4054,651.8214,,
DistributedEnergy,EE00,biomass,1995,1071.1902,1069.5386,1067.8869,1035.3442,,
DistributedEnergy,EE00,biomass,2008,1071.1902,1066.8587,1062.5272,1036.2426,,
DistributedEnergy,EE00,biomass,2009,1071.1902,1067.2762,1063.3622,1047.447,,
GlobalAmbition,EE00,biomass,1995,1059.4736,1034.6024,1009.7312,1004.7433,,
GlobalAmbition,EE00,biomass,2008,1058.6763,1037.2244,1015.7725,1013.5616,,
GlobalAmbition,EE00,biomass,2009,1059.4528,1043.8902,1028.3276,1032.8997,,
DistributedEnergy,EE00,dsr,1995,,38.885,77.77,,,
DistributedEnergy,EE00,dsr,2008,,37.1886,74.3772,,,
DistributedEnergy,EE00,dsr,2009,,83.5355,167.071,,,
GlobalAmbition,EE00,dsr,1995,,1.2625,2.525,49.7343,,
GlobalAmbition,EE00,dsr,2008,,3.703,7.406,50.8244,,
GlobalAmbition,EE00,dsr,2009,,3.3519,6.7038,88.5593,,
DistributedEnergy,EE00,gas,1995,1.9243,675.1224,1348.3205,1310.6401,,
DistributedEnergy,EE00,gas,2008,1.9243,672.1479,1342.3714,1309.7932,,
DistributedEnergy,EE00,gas,2009,1.9243,672.5169,1343.1095,1373.5136,,
GlobalAmbition,EE00,gas,1995,1.3332,640.8153,1280.2973,1272.7245,,
GlobalAmbition,EE00,gas,2008,1.9243,643.3758,1284.8273,1287.1447,,
GlobalAmbition,EE00,gas,2009,1.9243,651.7534,1301.5824,1303.3742,,
DistributedEnergy,EE00,oil,1995,58.6093,32.5927,6.576,,,
DistributedEnergy,EE00,oil,2008,27.7182,21.4626,15.207,,,
DistributedEnergy,EE00,oil,2009,153.171,89.7954,26.4198,,,
GlobalAmbition,EE00,oil,1995,31.6924,15.8462,,,,
GlobalAmbition,EE00,oil,2008,16.6856,8.3428,,,,
GlobalAmbition,EE00,oil,2009,55.4406,27.7203,,,,
DistributedEnergy,EE00,pvrf,1995,609.7629,887.0317,1164.3006,2053.5868,,
DistributedEnergy,EE00,pvrf,2008,577.0892,847.1566,1117.2241,1995.5092,,
DistributedEnergy,EE00,pvrf,2009,607.6682,885.279,1162.8897,2087.2771,,
GlobalAmbition,EE00,pvrf,1995,279.5894,436.479,593.3686,775.8554,,
GlobalAmbition,EE00,pvrf,2008,266.832,417.0639,567.2959,735.5899,,
GlobalAmbition,EE00,pvrf,2009,279.4962,435.8248,592.1535,772.1681,,
DistributedEnergy,EE00,windof,1995,640.3586,1921.0841,3201.8096,4374.6732,,
DistributedEnergy,EE00,windof,2008,610.4964,1826.4118,3042.3272,4179.34,,
DistributedEnergy,EE00,windof,2009,543.3007,1629.0829,2714.8652,3710.4962,,
GlobalAmbition,EE00,windof,1995,1949.1017,3683.3493,5417.5969,6003.7466,,
GlobalAmbition,EE00,windof,2008,1853.4985,3504.8447,5156.1909,5712.6718,,
GlobalAmbition,EE00,windof,2009,1649.4407,3129.5732,4609.7057,5108.8057,,
DistributedEnergy,EE00,windon,1995,4856.8807,4755.8786,4654.8765,8105.6574,,
DistributedEnergy,EE00,windon,2008,4913.148,4829.2568,4745.3656,8508.6188,,
DistributedEnergy,EE00,windon,2009,3662.3221,3729.0525,3795.7829,6999.0934,,
GlobalAmbition,EE00,windon,1995,1708.1704,1630.4107,1552.651,1698.3117,,
GlobalAmbition,EE00,windon,2008,1715.0784,1638.4697,1561.861,1746.3555,,
GlobalAmbition,EE00,windon,2009,1288.8595,1231.8763,1174.893,1325.4196,,
DistributedEnergy,ES00,battery,1995,17146.335,34944.0955,52741.856,64856.6914,,
DistributedEnergy,ES00,battery,2008,16783.1496,35081.9958,53380.8421,65110.6779,,
DistributedEnergy,ES00,battery,2009,17014.4583,34916.4728,52818.4873,63850.5977,,
GlobalAmbition,ES00,battery,1995,8768.0855,18928.7455,29089.4055,38259.7603,,
GlobalAmbition,ES00,battery,2008,8470.4254,18868.2886,29266.1518,38052.8131,,
GlobalAmbition,ES00,battery,2009,8596.9551,18828.0717,29059.1883,37393.593,,
DistributedEnergy,ES00,biomass,1995,7619.5913,7591.01,7562.4286,7575.5689,,
DistributedEnergy,ES00,biomass,2008,7610.7696,7603.9572,7597.1447,7595.8295,,
DistributedEnergy,ES00,biomass,2009,7630.4208,7606.7303,7583.0399,7596.6229,,
GlobalAmbition,ES00,biomass,1995,7579.3227,7493.9219,7408.5212,7487.346,,
GlobalAmbition,ES00,biomass,2008,7607.5319,7555.1373,7502.7428,7543.3509,,
GlobalAmbition,ES00,biomass,2009,7611.223,7551.3535,7491.484,7525.3144,,
DistributedEnergy,ES00,dsr,1995,,1966.3683,3932.7365,5063.1022,,
DistributedEnergy,ES00,dsr,2008,,1996.8873,3993.7746,5354.0665,,
DistributedEnergy,ES00,dsr,2009,,2067.7396,4135.4791,5313.8578,,
GlobalAmbition,ES00,dsr,1995,,844.6548,1689.3095,4573.7226,,
GlobalAmbition,ES00,dsr,2008,,887.8512,1775.7024,4547.1056,,
GlobalAmbition,ES00,dsr,2009,,930.208,1860.416,5133.1867,,
DistributedEnergy,ES00,gas,1995,26569.0046,35204.9361,43840.8676,44971.5238,,
DistributedEnergy,ES00,gas,2008,22226.6131,31250.738,40274.8629,40596.7266,,
DistributedEnergy,ES00,gas,2009,26790.1182,37358.2999,47926.4817,47163.9162,,
GlobalAmbition,ES00,gas,1995,23126.262,26419.3616,29712.4613,41851.2128,,
GlobalAmbition,ES00,gas,2008,20254.415,22743.7271,25233.0393,35720.5483,,
GlobalAmbition,ES00,gas,2009,22757.0801,26300.8309,29844.5817,41835.4878,,
GlobalAmbition,ES00,nuclear,1995,39589.9325,19794.9662,,,,
GlobalAmbition,ES00,nuclear,2008,42883.9605,21441.9803,,,,
GlobalAmbition,ES00,nuclear,2009,40945.9178,20472.9589,,,,
DistributedEnergy,ES00,pvrf,1995,120226.349,172249.9825,224273.6161,283428.7427,,
DistributedEnergy,ES00,pvrf,2008,117960.1974,169834.6013,221709.0053,281345.296,,
DistributedEnergy,ES00,pvrf,2009,120692.3456,172767.9818,224843.618,285678.4058,,
GlobalAmbition,ES00,pvrf,1995,87745.8703,128949.308,170152.7458,227499.9884,,
GlobalAmbition,ES00,pvrf,2008,85906.7453,127786.8729,169667.0004,225021.5764,,
GlobalAmbition,ES00,pvrf,2009,88113.1099,129995.588,171878.0662,228546.8987,,
DistributedEnergy,ES00,windof,1995,6959.8638,8428.9439,9898.024,16701.5102,,
DistributedEnergy,ES00,windof,2008,6244.5946,7572.8704,8901.1462,15030.9621,,
DistributedEnergy,ES00,windof,2009,6873.8873,8302.6182,9731.3491,16498.4457,,
GlobalAmbition,ES00,windof,1995,11569.9797,29816.3462,48062.7127,73799.4464,,
GlobalAmbition,ES00,windof,2008,10446.7855,26922.4695,43398.1535,66691.9877,,
GlobalAmbition,ES00,windof,2009,11452.425,29537.6928,47622.9606,72793.5561,,
DistributedEnergy,ES00,windon,1995,148253.6057,176186.0238,204118.4419,268665.4056,,
DistributedEnergy,ES00,windon,2008,140958.6903,168739.4099,196520.1295,257566.7006,,
DistributedEnergy,ES00,windon,2009,145209.4285,174063.4673,202917.506,265878.1486,,
GlobalAmbition,ES00,windon,1995,119590.5436,120494.504,121398.4645,166741.9324,,
GlobalAmbition,ES00,windon,2008,112967.3473,113429.5295,113891.7117,156120.8609,,
GlobalAmbition,ES00,windon,2009,116369.694,117657.0111,118944.3282,162402.4232,,
DistributedEnergy,FI00,Biofuels,1995,279.1452,915.9531,1552.761,1005.2704,,
DistributedEnergy,FI00,Biofuels,2008,494.878,1256.2784,2017.6789,1368.8573,,
DistributedEnergy,FI00,Biofuels,2009,861.2622,1635.4808,2409.6994,1810.2906,,
GlobalAmbition,FI00,Biofuels,1995,194.5523,764.4198,1334.2873,1460.1498,,
GlobalAmbition,FI00,Biofuels,2008,319.1062,908.0257,1496.9452,1731.1996,,
GlobalAmbition,FI00,Biofuels,2009,623.1476,1459.7555,2296.3635,2373.8164,,
DistributedEnergy,FI00,battery,1995,3195.1149,6587.761,9980.4071,9486.1292,,
DistributedEnergy,FI00,battery,2008,3148.9022,6622.7641,10096.6259,9421.2584,,
DistributedEnergy,FI00,battery,2009,3093.6626,6498.8284,9903.9942,9112.4251,,
GlobalAmbition,FI00,battery,1995,1385.1148,2936.8737,4488.6325,4079.6826,,
GlobalAmbition,FI00,battery,2008,1346.1421,2883.6348,4421.1275,3893.881,,
GlobalAmbition,FI00,battery,2009,1342.3304,2885.9243,4429.5181,3950.3503,,
DistributedEnergy,FI00,biomass,1995,11374.9933,11395.1092,11415.2251,11372.7373,,
DistributedEnergy,FI00,biomass,2008,11374.9933,11395.1092,11415.2251,11363.2523,,
DistributedEnergy,FI00,biomass,2009,11374.9933,11395.1092,11415.2251,11353.2068,,
GlobalAmbition,FI00,biomass,1995,10144.3852,10356.4343,10568.4834,10679.9656,,
GlobalAmbition,FI00,biomass,2008,10544.6546,10663.3622,10782.0697,10918.1203,,
GlobalAmbition,FI00,biomass,2009,10738.7284,10883.2284,11027.7283,11128.3273,,
DistributedEnergy,FI00,dsr,1995,52.0425,3453.4341,6854.8257,2270.1278,,
DistributedEnergy,FI00,dsr,2008,256.7348,4638.8755,9021.0161,3060.1504,,
DistributedEnergy,FI00,dsr,2009,373.2182,7217.8256,14062.4329,5712.4348,,
GlobalAmbition,FI00,dsr,1995,46.0961,1438.8984,2831.7006,4126.1459,,
GlobalAmbition,FI00,dsr,2008,108.8459,1509.2697,2909.6936,5745.1362,,
GlobalAmbition,FI00,dsr,2009,220.559,2785.168,5349.7769,9208.3724,,
DistributedEnergy,FI00,gas,1995,1106.1419,912.2585,718.375,105.5582,,
DistributedEnergy,FI00,gas,2008,1242.3612,1005.7841,769.2069,113.4145,,
DistributedEnergy,FI00,gas,2009,1284.0249,1072.9114,861.7978,131.8728,,
GlobalAmbition,FI00,gas,1995,874.5944,748.3483,622.1022,90.052,,
GlobalAmbition,FI00,gas,2008,989.2311,811.919,634.607,90.2266,,
GlobalAmbition,FI00,gas,2009,1192.2802,945.707,699.1339,99.1074,,
DistributedEnergy,FI00,nuclear,1995,10320.8264,9426.2335,8531.6405,4251.853,,
DistributedEnergy,FI00,nuclear,2008,13541.0687,12031.1408,10521.2129,5280.9834,,
DistributedEnergy,FI00,nuclear,2009,16598.2678,14393.7339,12189.2,6561.0529,,
GlobalAmbition,FI00,nuclear,1995,12722.52,19222.5389,25722.5578,29617.5723,,
GlobalAmbition,FI00,nuclear,2008,16389.5301,22960.1694,29530.8087,31740.9063,,
GlobalAmbition,FI00,nuclear,2009,21420.439,27327.8872,33235.3354,35247.4683,,
DistributedEnergy,FI00,pvrf,1995,4319.5635,6805.0983,9290.6331,17139.5745,,
DistributedEnergy,FI00,pvrf,2008,4041.0304,6367.2941,8693.5579,16134.3542,,
DistributedEnergy,FI00,pvrf,2009,4406.1777,6940.7456,9475.3135,17487.5567,,
GlobalAmbition,FI00,pvrf,1995,942.2928,1655.21,2368.1272,4167.6065,,
GlobalAmbition,FI00,pvrf,2008,885.7313,1557.2536,2228.776,3916.6663,,
GlobalAmbition,FI00,pvrf,2009,972.5275,1699.8078,2427.0881,4272.8104,,
DistributedEnergy,FI00,windof,1995,4311.4218,9306.7624,14302.103,30478.3504,,
DistributedEnergy,FI00,windof,2008,3831.9183,8288.385,12744.8518,27089.0568,,
DistributedEnergy,FI00,windof,2009,3545.8511,7669.5858,11793.3205,25064.7331,,
GlobalAmbition,FI00,windof,1995,5103.9185,12132.7122,19161.5059,21593.245,,
GlobalAmbition,FI00,windof,2008,4712.6906,10953.0401,17193.3896,19422.8588,,
GlobalAmbition,FI00,windof,2009,4509.6526,10275.352,16041.0515,18034.5243,,
DistributedEnergy,FI00,windon,1995,84621.7238,126494.1697,168366.6156,195968.8721,,
DistributedEnergy,FI00,windon,2008,77262.0821,117418.2083,157574.3346,184181.4455,,
DistributedEnergy,FI00,windon,2009,75512.57,116460.7857,157409.0014,186454.9685,,
GlobalAmbition,FI00,windon,1995,66880.9673,83429.9383,99978.9092,140246.9017,,
GlobalAmbition,FI00,windon,2008,59220.9028,74220.0321,89219.1614,125252.3102,,
GlobalAmbition,FI00,windon,2009,57223.0307,71966.3753,86709.7198,122227.6494,,
DistributedEnergy,FR00,battery,1995,23705.4825,39127.5683,54549.6542,47247.472,,
DistributedEnergy,FR00,battery,2008,23414.2844,38859.2716,54304.2587,48039.5342,,
DistributedEnergy,FR00,battery,2009,23636.736,38749.6217,53862.5075,47621.8881,,
GlobalAmbition,FR00,battery,1995,6208.0051,17723.2994,29238.5938,28222.2798,,
GlobalAmbition,FR00,battery,2008,6018.6875,17841.6436,29664.5998,28549.2636,,
GlobalAmbition,FR00,battery,2009,6168.4657,17716.1885,29263.9113,28460.9241,,
DistributedEnergy,FR00,biomass,1995,11088.1734,11478.3953,11868.6172,11722.1301,,
DistributedEnergy,FR00,biomass,2008,11081.9089,11476.7313,11871.5537,11755.0852,,
DistributedEnergy,FR00,biomass,2009,11084.8955,11457.7119,11830.5283,11714.9848,,
GlobalAmbition,FR00,biomass,1995,11099.5547,11387.2189,11674.8831,11695.2255,,
GlobalAmbition,FR00,biomass,2008,11094.7317,11403.734,11712.7363,11683.6428,,
GlobalAmbition,FR00,biomass,2009,11097.0822,11376.069,11655.0559,11651.0933,,
DistributedEnergy,FR00,dsr,1995,34.9278,1268.9168,2502.9058,,,
DistributedEnergy,FR00,dsr,2008,,883.0223,1766.0446,,,
DistributedEnergy,FR00,dsr,2009,,1699.3035,3398.607,79.52,,
GlobalAmbition,FR00,dsr,1995,74.04,230.1692,386.2983,1297.482,,
GlobalAmbition,FR00,dsr,2008,,71.4569,142.9138,927.2179,,
GlobalAmbition,FR00,dsr,2009,17.84,47.98,78.12,1078.8935,,
DistributedEnergy,FR00,gas,1995,15426.7572,17664.4983,19902.2395,21559.008,,
DistributedEnergy,FR00,gas,2008,15821.7753,16011.7401,16201.7049,15142.1913,,
DistributedEnergy,FR00,gas,2009,18165.5878,19787.8795,21410.1712,21498.5849,,
GlobalAmbition,FR00,gas,1995,12874.0711,11006.6188,9139.1665,11009.9768,,
GlobalAmbition,FR00,gas,2008,12035.8342,9888.7327,7741.6312,9808.9428,,
GlobalAmbition,FR00,gas,2009,14432.2435,12032.4864,9632.7293,11398.3097,,
