name,scenario,2030,2040,2050
ES00_dsr,GlobalAmbition,,1600.0,1600.0
ES00_gas,DistributedEnergy,28478.56,29232.56,29232.56
ES00_gas,GlobalAmbition,28478.56,28478.56,28478.56
ES00_nuclear,GlobalAmbition,7117.3,,
FI00_battery,DistributedEnergy,1487.8231,2224.3118,2503.3015
FI00_battery,GlobalAmbition,411.5653,856.956,1093.6772
FI00_biomass,DistributedEnergy,3707.32,3455.42,3379.42
FI00_biomass,GlobalAmbition,3707.32,3455.42,3379.42
FI00_dsr,DistributedEnergy,4490.8315,9924.175,11214.3178
FI00_dsr,GlobalAmbition,4490.8315,9924.175,9924.175
FI00_gas,DistributedEnergy,2360.5,947.7,297.5237
FI00_gas,GlobalAmbition,2360.5,947.7,208.3
FI00_nuclear,DistributedEnergy,3887.0,2491.0,1600.0
FI00_nuclear,GlobalAmbition,5594.0,5594.0,5594.0
FR00_battery,DistributedEnergy,1253.3031,2628.6585,4363.4748
FR00_battery,GlobalAmbition,1005.3267,3022.5295,5871.051
FR00_biomass,DistributedEnergy,2411.0,2586.0,2586.0
FR00_biomass,GlobalAmbition,2411.0,2586.0,2586.0
FR00_dsr,DistributedEnergy,5480.0,5480.0,6192.4
FR00_dsr,GlobalAmbition,5480.0,5480.0,5480.0
FR00_gas,DistributedEnergy,9712.2,41357.5,84485.2887
FR00_gas,GlobalAmbition,9712.2,8891.5,6143.5
FR00_nuclear,DistributedEnergy,57351.0,36073.0,15209.0
FR00_nuclear,GlobalAmbition,61696.0,62181.0,51606.0
FR00_oil,DistributedEnergy,1255.0,284.0,
FR00_oil,GlobalAmbition,1255.0,284.0,
FR15_battery,DistributedEnergy,51.4696,112.5908,166.1743
FR15_battery,GlobalAmbition,46.787,153.1269,197.6935
FR15_dsr,DistributedEnergy,1.5,1.5,1.695
FR15_dsr,GlobalAmbition,1.5,1.5,1.5
GR00_battery,DistributedEnergy,2972.2604,5514.7282,6041.8001
GR00_battery,GlobalAmbition,2042.0546,2149.3878,2750.9402
GR00_biomass,DistributedEnergy,511.2,868.1,1028.1
GR00_biomass,GlobalAmbition,511.2,868.1,1028.1
GR00_gas,DistributedEnergy,7669.124,7118.924,11207.6853
GR00_gas,GlobalAmbition,7669.124,7118.924,5569.3
GR03_battery,DistributedEnergy,98.0374,214.4587,316.5225
GR03_battery,GlobalAmbition,89.1181,173.9084,204.5549
GR03_oil,DistributedEnergy,408.0,98.0,98.0
GR03_oil,GlobalAmbition,408.0,98.0,98.0
HR00_battery,DistributedEnergy,346.0364,853.9575,914.2772
HR00_battery,GlobalAmbition,95.247,336.034,431.0799
HR00_biomass,DistributedEnergy,400.0,400.0,400.0
HR00_biomass,GlobalAmbition,400.0,400.0,400.0
HR00_dsr,DistributedEnergy,1.25,1.25,1.4125
HR00_dsr,GlobalAmbition,1.25,1.25,1.25
HR00_gas,DistributedEnergy,897.0,580.0,3193.4753
HR00_gas,GlobalAmbition,897.0,580.0,200.0
HU00_battery,DistributedEnergy,1884.4131,3952.3388,5437.6896
HU00_battery,GlobalAmbition,1391.395,2728.8147,3508.3642
HU00_biomass,DistributedEnergy,904.87,991.77,991.77
HU00_biomass,GlobalAmbition,904.87,991.77,991.77
HU00_gas,DistributedEnergy,3338.0121,5156.3374,9176.8826
HU00_gas,GlobalAmbition,3338.0121,2364.3374,1106.3374
HU00_nuclear,DistributedEnergy,948.0,,
HU00_nuclear,GlobalAmbition,3080.0,2836.0,2360.0
HU00_oil,DistributedEnergy,410.0,410.0,
HU00_oil,GlobalAmbition,410.0,410.0,
IE00_battery,DistributedEnergy,399.894,761.4224,789.6111
IE00_battery,GlobalAmbition,133.896,303.4676,390.4921
IE00_biomass,DistributedEnergy,109.0,154.0,154.0
IE00_biomass,GlobalAmbition,109.0,154.0,154.0
IE00_dsr,DistributedEnergy,500.0,900.0,1017.0
IE00_dsr,GlobalAmbition,500.0,900.0,900.0
IE00_gas,DistributedEnergy,4643.7107,6032.4965,12691.3049
IE00_gas,GlobalAmbition,4643.7107,4622.4965,4622.4965
IE00_hardcoal,DistributedEnergy,39.0,,
IE00_hardcoal,GlobalAmbition,39.0,,
IE00_oil,DistributedEnergy,324.0,324.0,324.0
IE00_oil,GlobalAmbition,324.0,324.0,324.0
IT00_battery,DistributedEnergy,15109.9246,29210.6344,39358.6952
IT00_battery,GlobalAmbition,11955.3543,15444.5,19711.7147
IT00_biomass,DistributedEnergy,4714.31,4874.92,4874.92
IT00_biomass,GlobalAmbition,4714.31,4874.92,4874.92
IT00_dsr,DistributedEnergy,2704.6433,2704.6433,3056.247
IT00_dsr,GlobalAmbition,2704.6433,2704.6433,2704.6433
IT00_gas,DistributedEnergy,50245.8,49884.8006,55582.6025
IT00_gas,GlobalAmbition,50245.8,50913.8006,53813.8006
LT00_battery,DistributedEnergy,661.8233,865.8296,948.5815
