name,scenario,2030,2035,2040,2050
CH03_other,ZBA,28.7181,14.8369,26.6826,16.2324
CH04_other,ZBA,50.741,26.1621,46.948,28.4217
CH05_other,ZBA,35.3642,18.2512,32.7854,19.894
CH06_other,ZBA,18.8232,9.7223,17.4797,10.6272
CH07_other,ZBA,12.3524,6.3702,11.4339,6.9255
CH01_other,ZVA,40.4742,26.1308,42.2722,64.1414
CH02_other,ZVA,48.0274,30.7098,49.2192,73.3808
CH03_other,ZVA,28.7181,17.4952,26.6826,35.914
CH04_other,ZVA,50.741,30.8495,46.948,62.8826
CH05_other,ZVA,35.3642,21.5212,32.7854,44.0151
CH06_other,ZVA,18.8232,11.4642,17.4797,23.5125
CH07_other,ZVA,12.3524,7.5116,11.4339,15.3225
CH01_other,ZVB,40.4742,32.6476,79.0477,117.5708
CH02_other,ZVB,48.0274,36.6084,85.9947,121.8247
CH03_other,ZVB,28.7181,15.1328,26.6826,16.535
CH04_other,ZVB,50.741,26.6839,46.948,28.9514
CH05_other,ZVB,35.3642,18.6152,32.7854,20.2648
CH06_other,ZVB,18.8232,9.9162,17.4797,10.8252
CH07_other,ZVB,12.3524,6.4973,11.4339,7.0546
CH01_windon,WWB,0.0,0.0,0.0,0.0
CH01_windon,ZBA,0.0,0.0,0.0,0.0
CH01_windon,ZVA,0.0,0.0,0.0,0.0
CH01_windon,ZVB,0.0,0.0,0.0,0.0
CH02_windon,WWB,0.0,0.0,0.0,0.0
CH02_windon,ZBA,0.0,0.0,0.0,0.0
CH02_windon,ZVA,0.0,0.0,0.0,0.0
CH02_windon,ZVB,0.0,0.0,0.0,0.0
CH03_windon,WWB,0.0,0.0,0.0,0.0
CH03_windon,ZBA,0.0,0.0,0.0,0.0
CH03_windon,ZVA,0.0,0.0,0.0,0.0
CH03_windon,ZVB,0.0,0.0,0.0,0.0
CH04_windon,WWB,0.0,0.0,0.0,0.0
CH04_windon,ZBA,0.0,0.0,0.0,0.0
CH04_windon,ZVA,0.0,0.0,0.0,0.0
CH04_windon,ZVB,0.0,0.0,0.0,0.0
CH05_windon,WWB,0.0,0.0,0.0,0.0
CH05_windon,ZBA,0.0,0.0,0.0,0.0
CH05_windon,ZVA,0.0,0.0,0.0,0.0
CH05_windon,ZVB,0.0,0.0,0.0,0.0
CH06_windon,WWB,0.0,0.0,0.0,0.0
CH06_windon,ZBA,0.0,0.0,0.0,0.0
CH06_windon,ZVA,0.0,0.0,0.0,0.0
CH06_windon,ZVB,0.0,0.0,0.0,0.0
CH07_windon,WWB,0.0,0.0,0.0,0.0
CH07_windon,ZBA,0.0,0.0,0.0,0.0
CH07_windon,ZVA,0.0,0.0,0.0,0.0
CH07_windon,ZVB,0.0,0.0,0.0,0.0
CH00_oil,WWB,0.0,0.0,0.0,0.0
CH00_oil,ZBA,0.0,0.0,0.0,0.0
CH00_oil,ZVA,0.0,0.0,0.0,0.0
CH00_oil,ZVB,0.0,0.0,0.0,0.0
CH01_pvrf,WWB,0.0,0.0,0.0,0.0
