node,scenario,weather_year,2030,2040,2050
GR00,DistributedEnergy,2009,63823285.519949995,69713825.74357,78652132.16463
GR00,GlobalAmbition,1995,60922928.51373,65038840.8651,68684862.86481
GR00,GlobalAmbition,2008,60873464.64028,65123492.46112,69034109.16075
GR00,GlobalAmbition,2009,60971757.786429994,65159048.76582,68850344.07533999
HR00,DistributedEnergy,1995,19416747.48683,20306148.010949995,24064838.530220002
HR00,DistributedEnergy,2008,19429352.72794,20314576.02439,24080623.98583
HR00,DistributedEnergy,2009,19433967.218310002,20318644.320219997,24088373.95059
HR00,GlobalAmbition,1995,18537730.58487,18909081.65185,21882134.0386
HR00,GlobalAmbition,2008,18552185.916869998,18913013.12417,21874051.91811
HR00,GlobalAmbition,2009,18542886.1855,18908014.83015,21868595.83952
HU00,DistributedEnergy,1995,52375307.389790006,59565733.47553999,69256929.28846
HU00,DistributedEnergy,2008,52308124.26426999,59470635.139580004,69142293.83696
HU00,DistributedEnergy,2009,52370196.54513001,59540470.56564,69236404.67717
HU00,GlobalAmbition,1995,48476524.66803,54329615.689440005,60670894.42592999
HU00,GlobalAmbition,2008,48428332.64518,54249742.43251,60561203.04856999
HU00,GlobalAmbition,2009,48466284.54824,54295529.08498,60623830.39193
IE00,DistributedEnergy,1995,42493366.265470006,48978734.28017,66092842.03350999
IE00,DistributedEnergy,2008,42520972.07823,49020630.60458,66138707.170430005
IE00,DistributedEnergy,2009,42519671.93336,49019708.1868,66138096.86948999
IE00,GlobalAmbition,1995,40619296.46766,45890516.49206,49969155.2733
IE00,GlobalAmbition,2008,40646329.71572,45935842.356089994,50016590.49152
IE00,GlobalAmbition,2009,40642119.93174,45930596.05829,50011388.20308
IT00,DistributedEnergy,1995,357632528.08043,400801382.19336003,469068248.51716995
IT00,DistributedEnergy,2008,357385241.18373,400573266.26293,468849757.10528
IT00,DistributedEnergy,2009,357354343.13247,400514252.28826004,468946255.72126
IT00,GlobalAmbition,1995,335949559.27107996,371692315.81420004,415023104.12472
IT00,GlobalAmbition,2008,335727572.08015,371451321.80024004,415075968.56039
IT00,GlobalAmbition,2009,335827589.02191997,371454289.76255006,414965954.63432
LT00,DistributedEnergy,1995,13838788.258000001,14626834.368280001,16071872.009719998
LT00,DistributedEnergy,2008,13837105.89131,14618690.09592,16061447.73117
LT00,DistributedEnergy,2009,13841567.649090001,14625466.25795,16069066.1199
LT00,GlobalAmbition,1995,12875061.74576,13308783.84156,13745443.652859999
LT00,GlobalAmbition,2008,12881480.57116,13310459.41156,13743082.224329999
LT00,GlobalAmbition,2009,12878033.969870001,13308289.97747,13742624.472550001
LV00,DistributedEnergy,1995,9760562.69651,10673645.56172,11869198.95843
LV00,DistributedEnergy,2008,9759209.85552,10663921.321279999,11854462.84812
LV00,DistributedEnergy,2009,9766628.50223,10676633.9363,11868056.22772
LV00,GlobalAmbition,1995,9133425.61726,9772831.15021,10308092.35199
LV00,GlobalAmbition,2008,9136889.07174,9771757.083320001,10298873.326679999
LV00,GlobalAmbition,2009,9137227.16986,9775167.87826,10306359.79737
MA00,DistributedEnergy,1995,0.0,0.0,0.0
MA00,DistributedEnergy,2008,0.0,0.0,0.0
MA00,DistributedEnergy,2009,0.0,0.0,0.0
MA00,GlobalAmbition,1995,0.0,0.0,0.0
MA00,GlobalAmbition,2008,0.0,0.0,0.0
MA00,GlobalAmbition,2009,0.0,0.0,0.0
NL00,DistributedEnergy,1995,183734226.87407002,216283434.85066998,265595820.18826
NL00,DistributedEnergy,2008,183639293.5335,216144695.32035,265446174.30449998
NL00,DistributedEnergy,2009,183688160.68471003,216221570.67713,265561883.73973
NL00,GlobalAmbition,1995,174955107.14279,194601650.38105002,213975676.51841998
NL00,GlobalAmbition,2008,174984949.04472,194619471.20609,213962817.91126
NL00,GlobalAmbition,2009,174932746.23985,194545633.85416,213894232.14698002
NOM1,DistributedEnergy,1995,32807385.34611,33320129.182019997,33639388.06672
NOM1,DistributedEnergy,2008,32306004.51646,32842266.673049998,33189231.12613
NOM1,DistributedEnergy,2009,32470721.2916,33003746.945860002,33335582.53475
NOM1,GlobalAmbition,1995,32807385.34611,33320129.182019997,33736319.41316
NOM1,GlobalAmbition,2008,32306004.51646,32842266.673049998,33284204.26041
NOM1,GlobalAmbition,2009,32470721.2916,33003746.945860002,33436370.972090002
NON1,DistributedEnergy,1995,25230146.294040002,29244767.32776,33071711.083469998
NON1,DistributedEnergy,2008,24870307.77166,28851684.22313,32644032.3363
NON1,DistributedEnergy,2009,25030977.52879,29034473.64124,32846684.20615
NON1,GlobalAmbition,1995,25230146.294040002,29244767.32776,33177995.58514
NON1,GlobalAmbition,2008,24870307.77166,28851684.22313,32748997.049170002
NON1,GlobalAmbition,2009,25030977.52879,29034473.64124,32954965.13589
NOS0,DistributedEnergy,1995,115947791.45444,122019251.41765,127279965.36072001
NOS0,DistributedEnergy,2008,113038332.51696,119088389.03187,124300137.54984
NOS0,DistributedEnergy,2009,114991801.29502,121085441.07186,126297097.95486
NOS0,GlobalAmbition,1995,115947791.45444,122034387.22651,127716642.51767999
NOS0,GlobalAmbition,2008,113038332.51696,119088389.03187,124735719.89333
NOS0,GlobalAmbition,2009,114991801.29502,121085441.07186,126754880.47031
PL00,DistributedEnergy,1995,192092156.11501998,215477098.46947,259972331.11223
PL00,DistributedEnergy,2008,192230960.34577,215561081.77071002,260107739.39447
PL00,DistributedEnergy,2009,192337091.14066,215619684.18111,260321067.80741
PL00,GlobalAmbition,1995,181183470.06315,197436457.73276,211903788.26323998
PL00,GlobalAmbition,2008,181292337.17298,197376590.39839002,211935943.24743
PL00,GlobalAmbition,2009,181325770.95203,197457161.69177002,211975546.56272
PT00,DistributedEnergy,1995,60960259.39567,68919002.85864,75740959.56481001
PT00,DistributedEnergy,2008,60915231.17891,68808408.2562,75511925.703
PT00,DistributedEnergy,2009,60937862.94879001,68876310.24464001,75664013.86631998
PT00,GlobalAmbition,1995,59467366.74383,65146049.90151001,67843315.31086
PT00,GlobalAmbition,2008,59425247.2562,65013576.19036999,67629938.59166
PT00,GlobalAmbition,2009,59470759.810899995,65096275.42074,67780449.71339001
RO00,DistributedEnergy,1995,71264754.04579,83516308.20765,98557546.28331
RO00,DistributedEnergy,2008,71184034.14355001,83405524.44118999,98475015.44339
RO00,DistributedEnergy,2009,71198804.59360999,83392988.81641999,98423031.2823
RO00,GlobalAmbition,1995,65172963.129889995,74521546.66945,84095446.39172001
RO00,GlobalAmbition,2008,65122714.310229994,74428432.73187,83988236.41756
RO00,GlobalAmbition,2009,65132974.92312999,74423744.32113,83959996.1057
RU00,DistributedEnergy,1995,0.0,0.0,0.0
RU00,DistributedEnergy,2008,0.0,0.0,0.0
RU00,DistributedEnergy,2009,0.0,0.0,0.0
RU00,GlobalAmbition,1995,0.0,0.0,0.0
RU00,GlobalAmbition,2008,0.0,0.0,0.0
RU00,GlobalAmbition,2009,0.0,0.0,0.0
SE01,DistributedEnergy,1995,11179211.797840001,11822511.017699998,12566123.01066
SE01,DistributedEnergy,2008,11174285.08663,11817275.44059,12560217.24832
SE01,DistributedEnergy,2009,11180799.030729998,11822733.15741,12568354.704739999
SE01,GlobalAmbition,1995,10946515.65751,11530550.784930002,11852180.26106
SE01,GlobalAmbition,2008,10942269.7849,11525954.9284,11846051.24698
SE01,GlobalAmbition,2009,10948006.65412,11530820.62896,11852840.53025
SE02,DistributedEnergy,1995,19002905.971640002,20093591.16352,21354812.464169998
SE02,DistributedEnergy,2008,19010377.27941,20098424.68504,21362121.3872
SE02,DistributedEnergy,2009,19004680.85718,20098002.099099997,21357990.051909998
SE02,GlobalAmbition,1995,18610201.497139998,19607264.047199998,20145672.123030003
SE02,GlobalAmbition,2008,18619333.42224,19613080.70106,20150035.8125
SE02,GlobalAmbition,2009,18612640.66008,19612539.309400003,20151887.25033
SE03,DistributedEnergy,1995,99475627.28968999,105177870.24038,111774089.55131
SE03,DistributedEnergy,2008,99513185.95452,105215578.87916,111810726.24035
SE03,DistributedEnergy,2009,99442671.73854,105184810.73239999,111741400.46733
SE03,GlobalAmbition,1995,97441099.38565,102686218.22725001,105495979.46186
SE03,GlobalAmbition,2008,97501748.08837,102748764.79516001,105549069.75529
SE03,GlobalAmbition,2009,97422246.17884,102710467.56861,105512972.21359
SE04,DistributedEnergy,1995,26844289.37687,28338719.519010004,30161864.30515
SE04,DistributedEnergy,2008,26843042.31901,28362948.98712,30167650.4184
SE04,DistributedEnergy,2009,26828255.200019997,28349565.14507,30149982.79448
SE04,GlobalAmbition,1995,26284025.93077,27710556.36074,28502061.43093
SE04,GlobalAmbition,2008,26293632.81787,27708961.72748,28491214.06098
SE04,GlobalAmbition,2009,26273881.82814,27690403.762450002,28469375.721819997
SI00,DistributedEnergy,1995,17213186.47549,18812137.279149998,20391269.039630003
SI00,DistributedEnergy,2008,17215616.112889998,18814276.94486,20393098.20792
SI00,DistributedEnergy,2009,17222154.84833,18822470.07394,20401695.04797
SI00,GlobalAmbition,1995,16284513.004560001,17546097.13983,18352313.913549997
SI00,GlobalAmbition,2008,16283845.79,17551889.44965,18354595.66336
SI00,GlobalAmbition,2009,16293456.03573,17558273.97446,18361951.82423
SK00,DistributedEnergy,1995,33311000.91556,38200916.6906,46554942.2913
SK00,DistributedEnergy,2008,33296365.0127,38177353.4187,46528856.51349
SK00,DistributedEnergy,2009,33320244.07886,38204223.707609996,46569250.268999994
SK00,GlobalAmbition,1995,33007727.2265,36690971.76283,40681376.61526
SK00,GlobalAmbition,2008,32998409.44497,36672749.70232999,40661526.70634
SK00,GlobalAmbition,2009,33014162.33929,36689385.8176,40682728.57359
TR00,DistributedEnergy,1995,448698904.3732,525549420.31777,599801946.22032
TR00,DistributedEnergy,2008,452326592.57606,529810930.27149004,604651321.22671
TR00,DistributedEnergy,2009,448199269.46392,524957051.8288401,599132859.61657
TR00,GlobalAmbition,1995,448698904.3732,525549251.40611,601289529.29951
TR00,GlobalAmbition,2008,452326592.57606,529810930.27149004,606165233.3231399
TR00,GlobalAmbition,2009,448199269.46392,524957051.8288401,600611005.5198699
UK00,DistributedEnergy,1995,425692436.81036,563558383.1680999,617154889.9086499
UK00,DistributedEnergy,2008,425176859.90449,562548780.38724,615352944.0363101
UK00,DistributedEnergy,2009,425227696.70122,562640569.9360099,615670040.7757499
UK00,GlobalAmbition,1995,404622294.83101994,540604481.12365,583223291.16195
UK00,GlobalAmbition,2008,404267378.16467,539652690.73727,581602091.8394899
UK00,GlobalAmbition,2009,404277163.56596,539705967.55305,581722283.2548299
