index,node,market,plant_type,tech,upperwn,lowerwn,eta,eta_pump,n_redispatch
MK00_gas,MK00,MK00,Conventional,gas,,,,,
NL00_nuclear,NL00,NL00,Conventional,nuclear,,,,,
PL00_hardcoal,PL00,PL00,Conventional,hardcoal,,,,,
RO00_hardcoal,RO00,RO00,Conventional,hardcoal,,,,,
RS00_hardcoal,RS00,RS00,Conventional,hardcoal,,,,,
SE03_nuclear,SE03,SE03,Conventional,nuclear,,,,,
SI00_hardcoal,SI00,SI00,Conventional,hardcoal,,,,,
SK00_hardcoal,SK00,SK00,Conventional,hardcoal,,,,,
TR00_hardcoal,TR00,TR00,Conventional,hardcoal,,,,,
PL00_nuclear,PL00,PL00,Conventional,nuclear,,,,,
ES00_nuclear,ES00,ES00,Conventional,nuclear,,,,,
