plant_name,scenario,weather_year,2030,2035,2040,2050
CH00_electrolyzer,WWB,all,293986.6807,608962.6305,923938.5802,2373482.331
CH00_electrolyzer,ZBA,all,794515.8651,1613195.404,2431874.943,2938216.239
CH00_electrolyzer,ZVA,all,794515.8651,1613195.404,2431874.943,2938216.239
CH00_electrolyzer,ZVB,all,794515.8651,1613195.404,2431874.943,2938216.239
