index,nodeDH,nodeElec,tech,gen_max_limit,energy_max_limit,electric_connection,efficiency,power_to_heat_ratio,CHPDH,self_discharge_per_day_percent,TES_charge_efficiecy,TES_discharge_efficiecy
ILLT_Alpensuedseite_HPNew,ILLT_Alpensuedseite,CH00,heat_pump,400,inf,True,2.5,,,,,
ILLT_Alpensuedseite_resistiveNew,ILLT_Alpensuedseite,CH00,resistive_heater,400,inf,True,0.99,,,,,
ILLT_Alpensuedseite_PTES_large,ILLT_Alpensuedseite,na,PTES_large,60000,600000.0,,,,,0.175,0.922,0.922
ILLT_Alpensuedseite_TTES_medium,ILLT_Alpensuedseite,na,TTES_medium,15000,15000.0,,,,,0.285,0.922,0.922
ILHT_Mittelland_thermalNew,ILHT_Mittelland,na,gas_boiler,400,inf,,,,,,,
ILHT_Mittelland_CHPNew,ILHT_Mittelland,CH00,CCGTCCS,400,inf,True,,0.61,True,,,
ILHT_Mittelland_HPNew,ILHT_Mittelland,CH00,heat_pump,400,inf,True,1.5,,,,,
ILHT_Mittelland_resistiveNew,ILHT_Mittelland,CH00,resistive_heater,400,inf,True,0.99,,,,,
ILHT_Mittelland_TTES_medium,ILHT_Mittelland,na,TTES_medium,15000,15000.0,,,,,0.285,0.922,0.922
ILHT_Alpen_thermalNew,ILHT_Alpen,na,gas_boiler,400,inf,,,,,,,
ILHT_Alpen_CHPNew,ILHT_Alpen,CH00,CCGTCCS,400,inf,True,,0.61,True,,,
ILHT_Alpen_HPNew,ILHT_Alpen,CH00,heat_pump,400,inf,True,1.5,,,,,
ILHT_Alpen_resistiveNew,ILHT_Alpen,CH00,resistive_heater,400,inf,True,0.99,,,,,
ILHT_Alpen_TTES_medium,ILHT_Alpen,na,TTES_medium,15000,15000.0,,,,,0.285,0.922,0.922
ILHT_Jura_thermalNew,ILHT_Jura,na,gas_boiler,400,inf,,,,,,,
ILHT_Jura_CHPNew,ILHT_Jura,CH00,CCGTCCS,400,inf,True,,0.61,True,,,
ILHT_Jura_HPNew,ILHT_Jura,CH00,heat_pump,400,inf,True,1.5,,,,,
ILHT_Jura_resistiveNew,ILHT_Jura,CH00,resistive_heater,400,inf,True,0.99,,,,,
ILHT_Jura_TTES_medium,ILHT_Jura,na,TTES_medium,15000,15000.0,,,,,0.285,0.922,0.922
ILHT_Voralpen_thermalNew,ILHT_Voralpen,na,gas_boiler,400,inf,,,,,,,
ILHT_Voralpen_CHPNew,ILHT_Voralpen,CH00,CCGTCCS,400,inf,True,,0.61,True,,,
ILHT_Voralpen_HPNew,ILHT_Voralpen,CH00,heat_pump,400,inf,True,1.5,,,,,
ILHT_Voralpen_resistiveNew,ILHT_Voralpen,CH00,resistive_heater,400,inf,True,0.99,,,,,
ILHT_Voralpen_TTES_medium,ILHT_Voralpen,na,TTES_medium,15000,15000.0,,,,,0.285,0.922,0.922
ILHT_Alpensuedseite_thermalNew,ILHT_Alpensuedseite,na,gas_boiler,400,inf,,,,,,,
ILHT_Alpensuedseite_CHPNew,ILHT_Alpensuedseite,CH00,CCGTCCS,400,inf,True,,0.61,True,,,
ILHT_Alpensuedseite_HPNew,ILHT_Alpensuedseite,CH00,heat_pump,400,inf,True,1.5,,,,,
ILHT_Alpensuedseite_resistiveNew,ILHT_Alpensuedseite,CH00,resistive_heater,400,inf,True,0.99,,,,,
ILHT_Alpensuedseite_TTES_medium,ILHT_Alpensuedseite,na,TTES_medium,15000,15000.0,,,,,0.285,0.922,0.922
DH_medium_thermalNew,DH_medium,na,gas_boiler,400,inf,,,,,,,
DH_medium_CHPNew,DH_medium,CH00,CCGTCCS,400,inf,True,,0.61,True,,,
DH_medium_HPNew,DH_medium,CH00,heat_pump,400,inf,True,4.26,,,,,
DH_medium_resistiveNew,DH_medium,CH00,resistive_heater,400,inf,True,0.99,,,,,
DH_medium_TTES_medium,DH_medium,na,TTES_medium,15000,15000.0,,,,,0.285,0.922,0.922
DH_medium_PTES_large,DH_medium,na,PTES_large,60000,600000.0,,,,,0.175,0.922,0.922
