time_step,DE00,AT00,FR00,IT00
t_1,51.21816642253725,51.21816642255583,9.000000000024468,60.19032960733101
t_10,48.7533569810816,48.75335698110571,9.000000000018156,1.4824811500085182e-10
t_100,51.218166423176086,51.218166423469256,9.000000000159892,60.19032960743518
t_1000,51.21816642259429,51.21816642268877,9.000000000004832,81.23213536393867
t_1001,51.21816642259379,51.21816642674925,9.000000000020366,107.20531275961048
t_1002,51.21816642258784,54.81128505878823,9.000000000022697,107.20531276335886
t_1003,51.21816642258639,54.81128511221493,9.000000000023011,107.20531276339284
t_1004,51.21816642258492,54.811285111897085,9.0000000000226,107.20531276340384
t_1005,51.21816642258216,51.21816642839665,9.00000000002236,107.20531276340394
t_1006,51.21816642253922,51.218166423119264,9.000000000023181,107.20531276339058
t_1007,51.21816642230725,51.21816642272539,9.000000000023505,107.20531276337248
t_1008,51.21816642187045,51.21816642275489,9.000000000024045,107.20531276050204
t_1009,51.218166421759705,51.21816642321836,9.000000000024631,107.20531276337393
t_101,51.21816642288141,51.218166423381824,9.000000000049013,60.19032960741198
t_1010,41.48590480285869,51.21816642244056,9.00000000002446,107.2053127631794
t_1011,41.48590480244184,51.218166422099664,9.000000000024798,107.20531275955562
t_1012,41.48590480234936,51.21816635518263,9.000000000024974,107.20531275949637
t_1013,41.48590480233089,51.218166417132686,9.00000000002474,107.20531275950438
t_1014,41.48590480233359,51.21816642233349,9.000000000025723,107.20531276027415
t_1015,41.48590480243181,51.2181664227194,9.00000000002708,107.20531276339877
t_1016,51.21816642173936,51.21816642226215,9.000000000029313,107.20531276339707
t_1017,51.21816642142935,51.21816642146604,9.000000000027503,107.2053127603812
t_1018,41.48590480242108,41.485904812990285,9.000000000024183,107.20531274201925
t_1019,41.48590480230385,41.48590481297439,9.000000000019973,86.83549333834974
t_102,51.21816642276317,51.21816642349828,9.000000000081675,60.19032961207841
t_1020,41.48590480225104,41.4859048129408,9.000000000013362,86.83549333829767
t_1021,41.485904802219366,41.4859048129077,9.000000000008715,86.83549333425479
t_1022,41.485904802292296,41.48590481267512,9.00000000001213,86.83549333803603
t_1023,41.485904802327234,41.4859048127372,9.000000000018453,86.83549333836447
t_1024,51.21816642192311,51.21816642193988,9.0000000000226,107.20531275945076
t_1025,51.21816642261751,51.21816642265308,9.000000000026121,132.3532379530467
t_1026,51.218166422591,51.21816642265255,9.000000000038,132.35323795323202
t_1027,51.21816642259001,51.21816642269251,9.00000000003714,132.35323795325544
t_1028,51.21816642258904,51.21816642279046,9.000000000031125,132.35323795325831
t_1029,51.21816642258862,51.21816642378779,9.000000000029038,132.353237953246
t_103,51.21816642270795,60.24902932203181,9.000000000260433,67.66933983627813
t_1030,51.21816642258752,51.21816643550921,9.00000000002986,132.35323795322532
t_1031,51.21816642258518,51.21816643574753,9.00000000002896,132.35323795319846
t_1032,51.2181664225865,51.2181664358296,9.00000000002756,132.35323795311396
t_1033,51.21816642258358,51.21816643586746,9.000000000028324,131.4443726958091
t_1034,51.21816642258516,51.21816643586932,9.00000000002727,121.16933650909904
t_1035,51.21816642259166,51.21816643589752,9.00000000002645,110.10646246923672
t_1036,51.21816642259101,51.21816643589142,9.00000000002484,110.00515000004044
t_1037,51.21816642258975,51.218166435772304,9.000000000023299,110.00515000000512
t_1038,51.21816642259137,51.21816643395398,9.000000000023233,110.00515000020296
t_1039,51.21816642259996,51.2181664227567,9.000000000023238,132.3532379525244
t_104,51.21816642270443,63.233304223884,9.000000003959292,67.66933983628503
t_1040,51.2181664225964,51.2181664225864,9.000000000023205,132.3532379496991
t_1041,51.21816642259141,41.48590480121255,9.000000000022176,110.00514999988047
t_1042,51.218166422575806,6.304993281396456e-10,9.00000000001979,107.20531274207067
t_1043,51.21816642257195,4.501271526020109e-10,9.000000000017573,107.2053127419744
t_1044,51.2181664225559,4.759423163737645e-11,9.000000000016849,107.2053127419537
t_1045,51.21816642259545,4.5468679424581507e-11,9.0000000000148,107.20531274195172
t_1046,51.21816642263928,4.055650658625818e-10,9.000000000011957,107.20531274198282
t_1047,51.21816642266452,1.0530500468960947e-09,9.000000000014202,107.20531274218848
t_1048,51.21816642268967,51.21816642205063,9.000000000017513,110.00515000009392
t_1049,51.21816642261332,51.21816642258359,9.000000000021142,132.35323795306903
t_105,51.218166422675154,51.21816642309184,9.000000000054664,60.19032960737636
t_1050,51.218166422601776,51.21816642257939,9.000000000023118,132.35323795309867
t_1051,51.21816642259574,51.21816642257743,9.00000000002352,132.3532379531066
t_1052,51.218166422591686,51.21816642257214,9.000000000023492,132.35323795309674
t_1053,51.21816642258898,51.21816642256252,9.000000000023492,132.3532379530687
t_1054,51.21816642258716,51.21816642254764,9.000000000023874,132.35323795298055
t_1055,51.21816642258528,51.218166422536434,9.00000000002394,132.35323795191698
t_1056,51.21816642258503,51.2181664225053,9.000000000023322,110.00515000015884
t_1057,51.21816642258547,51.218166422464144,9.00000000002367,107.20531275945751
t_1058,51.218166422586,51.21816642245375,9.000000000023142,107.20531275939304
t_1059,51.21816642257417,51.21816642244164,9.000000000023096,107.2053127435375
t_106,51.21816642260696,51.21816642270693,9.000000000024182,51.21816642230958
t_1060,51.21816642258688,51.21816642248235,9.000000000022593,107.20531274195332
t_1061,51.21816642256064,51.21816642250326,9.000000000021766,103.12666449378086
t_1062,51.21816642259004,51.21816642257054,9.000000000022887,107.20531273840356
t_1063,51.218166422598166,51.218166422601264,9.000000000023952,107.20531275939136
t_1064,51.21816642259944,51.21816642262976,9.000000000024864,107.2053127594619
t_1065,51.21816642259769,51.2181664226749,9.0000000000229,107.20531275937827
t_1066,51.21816642255352,51.21816642264971,9.000000000018742,81.14294432750758
t_1067,51.21816642234008,51.21816642263957,9.000000000005699,60.19032960766483
t_1068,51.21816642182252,51.21816642243103,8.999999999995163,60.19032960744153
t_1069,51.21816642165416,51.2181664223456,8.999999999990559,60.190329607370046
t_107,51.21816642259299,51.21816642264423,9.000000000021608,9.000000000203523
t_1070,51.21816642223312,51.21816642240086,8.999999999995573,60.19032960735699
t_1071,51.21816642261597,51.21816642263962,9.000000000004185,60.19032960739081
t_1072,51.21816642285279,51.21816642286482,9.000000000017446,60.19032960760385
t_1073,51.21816642302304,51.218166423041744,9.000000000022904,107.2053127579612
t_1074,51.21816642268119,51.218166422703256,9.00000000002531,107.20531275832424
t_1075,51.218166422641225,51.218166422661184,9.000000000024984,107.20531275834614
t_1076,51.21816642261808,51.21816642262276,9.00000000002426,107.20531275833991
t_1077,51.2181664226048,51.21816642259265,9.000000000023839,107.20531275831964
t_1078,51.21816642259488,51.218166422567634,9.0000000000242,107.20531275829175
t_1079,51.21816642256731,51.21816642253617,9.00000000002381,107.20531275821747
t_108,51.21816642259164,51.21816642263465,9.000000000019309,2.7649021292868616e-10
t_1080,51.21816642253975,51.218166422519246,9.000000000023384,107.2053127558908
t_1081,51.21816642246026,51.21816642245845,9.00000000002361,103.91830247853552
t_1082,51.21816642239824,51.218166422422605,9.000000000023077,98.52924164358528
t_1083,51.2181664222532,51.21816642236299,9.000000000022833,81.14294432713143
t_1084,51.21816642193745,51.21816642246984,9.000000000021995,81.14294432675463
t_1085,51.2181664215311,51.2181664227775,9.00000000002044,81.14294432668561
t_1086,51.21816641086657,51.218166422859454,9.000000000021306,81.1429443266962
t_1087,51.21816641590655,51.21816642287985,9.00000000002197,100.17747447700155
t_1088,51.21816642172974,51.218166422539184,9.000000000022254,81.14294432674541
t_1089,51.21816642102954,51.21816642103828,9.000000000021085,60.19032960738394
t_109,51.21816642259451,51.21816642266157,9.000000000019444,1.4252377837479914e-10
