t,AT00,BE00,CZ00,DE00,DKE1,DKW1,ES00,FR00,HR00,HU00,LU00,NL00,NOM1,NON1,NOS0,PL00,PT00,SE01,SE02,SE03,SE04,SI00,SK00,UK00,IT00
t_1,0.2103,0.0097,0.1357,0.0816,0.2782,0.1931,0.05,0.0689,0.744,0.0263,0.0086,0.0098,0.4493,0.6629,0.3114,0.0876,0.045,0.1462,0.2846,0.4201,0.3762,0.0601,0.0104,0.0827,0.3633
t_2,0.2172,0.0066,0.1063,0.0739,0.2737,0.2163,0.0652,0.0651,0.7767,0.0439,0.0045,0.0078,0.454,0.699,0.3479,0.0815,0.0601,0.1388,0.2835,0.4055,0.3562,0.0486,0.0145,0.0848,0.3914
t_3,0.2364,0.0025,0.0821,0.0682,0.2685,0.2243,0.0803,0.063,0.7968,0.07,0.001,0.0088,0.4581,0.7283,0.3871,0.0699,0.07,0.1366,0.2789,0.3769,0.3359,0.0434,0.0251,0.0851,0.4265
t_4,0.2386,0.0009,0.078,0.0654,0.2216,0.2011,0.0921,0.0617,0.8017,0.0964,0.0001,0.0146,0.4585,0.7487,0.4023,0.0633,0.0612,0.1459,0.2827,0.376,0.3152,0.0355,0.0402,0.0872,0.4503
t_5,0.2363,0.0006,0.0811,0.0621,0.1808,0.1759,0.1058,0.059,0.8063,0.1331,0.0,0.0166,0.4625,0.75,0.405,0.0606,0.0626,0.1769,0.2856,0.3792,0.3007,0.0288,0.06,0.093,0.4593
t_6,0.2333,0.0007,0.0812,0.0585,0.155,0.1654,0.1207,0.0596,0.8047,0.1679,0.0004,0.0214,0.4642,0.7515,0.4128,0.0621,0.0705,0.2033,0.2823,0.3708,0.2865,0.037,0.0819,0.101,0.4611
t_7,0.2356,0.002,0.0801,0.056,0.1429,0.1551,0.1397,0.0623,0.7962,0.1926,0.0012,0.0328,0.4673,0.7502,0.4188,0.0632,0.0885,0.2043,0.2873,0.3539,0.2653,0.0477,0.1018,0.1131,0.4648
t_8,0.2287,0.0068,0.0803,0.0557,0.1529,0.158,0.1526,0.0628,0.7851,0.1902,0.0038,0.0478,0.4696,0.7541,0.4267,0.0614,0.1115,0.1907,0.2816,0.3566,0.257,0.0555,0.1087,0.1254,0.4736
t_9,0.2141,0.0147,0.0707,0.0556,0.165,0.1528,0.1714,0.0613,0.7626,0.1874,0.0127,0.055,0.4731,0.7614,0.4267,0.0624,0.1396,0.1799,0.2891,0.3477,0.2488,0.0627,0.1006,0.1339,0.4763
t_10,0.2009,0.0185,0.0648,0.057,0.1685,0.1456,0.1828,0.0556,0.7117,0.1618,0.0175,0.0529,0.4843,0.7663,0.4467,0.0576,0.1596,0.1751,0.2842,0.3477,0.2394,0.0521,0.0747,0.1425,0.5034
t_11,0.0969,0.011,0.0224,0.0448,0.1951,0.1541,0.1796,0.0597,0.7073,0.1568,0.0101,0.0442,0.5017,0.7366,0.4678,0.0593,0.2037,0.3025,0.3215,0.3436,0.2513,0.0331,0.0598,0.1397,0.5217
t_12,0.1089,0.0054,0.0211,0.0418,0.1531,0.1411,0.1788,0.0458,0.7446,0.19,0.0039,0.0363,0.5103,0.7382,0.4807,0.0679,0.1832,0.3183,0.2984,0.3293,0.2471,0.0672,0.0779,0.1515,0.5204
t_13,0.1359,0.0068,0.0207,0.0374,0.1361,0.1362,0.2043,0.0454,0.7296,0.214,0.0053,0.0366,0.5134,0.7428,0.4721,0.0769,0.2108,0.2888,0.3047,0.3304,0.2158,0.1112,0.0854,0.1601,0.5351
t_14,0.1484,0.01,0.0222,0.0371,0.118,0.1349,0.2291,0.0453,0.7102,0.2008,0.0097,0.0399,0.5252,0.754,0.459,0.092,0.2707,0.2776,0.3164,0.3163,0.2043,0.174,0.0802,0.1644,0.5479
t_15,0.1495,0.018,0.0219,0.036,0.0959,0.1216,0.2352,0.0475,0.6783,0.1711,0.0194,0.0507,0.5385,0.7656,0.4533,0.1004,0.3222,0.2851,0.3274,0.3093,0.2134,0.1178,0.0849,0.1701,0.55
t_16,0.1547,0.0344,0.0241,0.0426,0.0977,0.1196,0.2397,0.0528,0.677,0.1839,0.0377,0.0694,0.5464,0.7755,0.4495,0.1231,0.3796,0.2841,0.3355,0.3025,0.2288,0.0969,0.1218,0.1707,0.5074
t_17,0.1729,0.0637,0.0308,0.0531,0.1045,0.1197,0.244,0.0859,0.6507,0.1984,0.0698,0.1038,0.549,0.7799,0.4473,0.1437,0.4076,0.286,0.3517,0.2915,0.228,0.0937,0.1519,0.1721,0.4629
t_18,0.1701,0.0874,0.0362,0.0611,0.1012,0.119,0.2656,0.1318,0.6158,0.1885,0.1082,0.1366,0.5439,0.7861,0.4559,0.1581,0.4578,0.2806,0.3517,0.2783,0.2164,0.083,0.1497,0.1794,0.4202
t_19,0.1571,0.1014,0.0391,0.065,0.0985,0.1158,0.2853,0.1645,0.5821,0.1753,0.1546,0.1573,0.5536,0.7958,0.4718,0.1682,0.542,0.2796,0.3555,0.2789,0.2155,0.0853,0.1302,0.1926,0.3914
t_20,0.1506,0.1184,0.0436,0.0657,0.107,0.1108,0.3006,0.1922,0.5118,0.1644,0.1994,0.1696,0.5667,0.8008,0.4838,0.1787,0.6222,0.276,0.3505,0.2861,0.2216,0.072,0.1105,0.2065,0.3742
t_21,0.1433,0.135,0.0469,0.0652,0.1141,0.1003,0.3158,0.2111,0.4586,0.155,0.2085,0.1634,0.5708,0.7991,0.4794,0.187,0.6793,0.2754,0.348,0.2879,0.2281,0.0598,0.0928,0.2175,0.3469
t_22,0.1415,0.1451,0.0528,0.0674,0.1216,0.1,0.3412,0.2294,0.443,0.1464,0.1944,0.1542,0.5625,0.7959,0.4914,0.1932,0.7268,0.2828,0.3479,0.2904,0.2421,0.0519,0.0791,0.2257,0.3217
t_23,0.1771,0.1147,0.0646,0.0676,0.1332,0.1015,0.3892,0.2243,0.3634,0.1433,0.117,0.1455,0.5735,0.7594,0.5523,0.2218,0.7269,0.3448,0.3962,0.3419,0.2725,0.0612,0.0721,0.254,0.3578
t_24,0.1612,0.1235,0.0756,0.0717,0.1318,0.116,0.4082,0.2477,0.3885,0.1133,0.1494,0.1417,0.5857,0.7648,0.5825,0.2291,0.7016,0.3573,0.3898,0.3497,0.2545,0.0494,0.0736,0.2672,0.3361
t_25,0.1326,0.1261,0.0841,0.0791,0.131,0.1476,0.4284,0.2728,0.4222,0.09,0.1781,0.1372,0.5925,0.7741,0.5879,0.236,0.6137,0.357,0.3701,0.3278,0.2499,0.0497,0.0764,0.2783,0.3222
