t,AT00,BE00,CZ00,DE00,DKE1,DKW1,ES00,FR00,HR00,HU00,LU00,NL00,NOM1,NON1,NOS0,PL00,PT00,SE01,SE02,SE03,SE04,SI00,SK00,UK00,IT00
t_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_8,0,0,0,0,0,0,0,0,0,0.000474023,0,0,0,0,0,0,0,0,0,0,0,0,0.003876831,0,0.011784096
t_9,0.056600467,0,0.07988222,0.010305265,0,0,0.014528866,0.033901405,0.002079916,0.018265987,0,0,0,0,0,0.043340245,0,0,0,0,0,0.006295653,0.112494493,0,0.104530829
t_10,0.11975309,0.095820536,0.183230693,0.058246609,0.118299105,0.102694858,0.090016119,0.184458267,0.006309576,0.03343736,0.07400073,0.107825119,0,0,0.000143922,0.114237955,0.093695124,0,0,0.028946473,0.113024239,0.025673545,0.169781612,0.104781416,0.219586945
t_11,0.176118136,0.182843164,0.259425956,0.114319341,0.219432701,0.200258271,0.178588554,0.324612738,0.012248188,0.042957996,0.204375932,0.148855476,0,0,0.080647052,0.188023415,0.269570008,0,0.004001693,0.069503483,0.185177192,0.055084256,0.190507682,0.268320329,0.312762267
t_12,0.196727683,0.295356404,0.271972834,0.157211343,0.263548022,0.237723185,0.258030962,0.416581662,0.019623154,0.043940942,0.343069725,0.157474208,0.010060172,0,0.112651698,0.236503498,0.480463063,0,0.00537445,0.088084609,0.20929578,0.076367543,0.189194796,0.371075994,0.376126014
t_13,0.173522384,0.38600488,0.248407958,0.165336124,0.241734661,0.216090754,0.310868775,0.442897335,0.022196254,0.033668669,0.369500129,0.145890578,0.007511405,0,0.111442927,0.233727602,0.589549703,0,0.002454474,0.079258139,0.191870749,0.067572305,0.168408265,0.407734641,0.382646914
t_14,0.127130955,0.356628182,0.196128654,0.138677443,0.166241505,0.149510006,0.329801917,0.41441705,0.021999324,0.021746497,0.312000814,0.112893237,0,0,0.074821443,0.174062153,0.603739587,0,0,0.041582636,0.134210663,0.052556685,0.125226553,0.366108699,0.324383998
t_15,0.076214184,0.253446161,0.112210672,0.079493249,0.061156287,0.051260456,0.313269773,0.332872003,0.014993331,0.008602701,0.219789196,0.071089587,0,0,0.00434768,0.0724816,0.547770868,0,0,0,0.008032271,0.039671508,0.061388954,0.263005594,0.223721398
t_16,0.003798456,0.120486491,0,0.011399094,0,0,0.241144546,0.192462106,0.001348452,0,0.108992335,0,0,0,0,0,0.431057181,0,0,0,0,0.009353568,0,0.13392443,0.094855104
t_17,0,0,0,0,0,0,0.119262635,0.018497827,0,0,0,0,0,0,0,0,0.250857391,0,0,0,0,0,0,0,0
t_18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029397027,0,0,0,0,0,0,0,0
t_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_32,0,0,0,0,0,0,0,0,0.021686517,0.054031797,0,0,0,0,0,0.000716525,0,0,0,0,0,0,0.007577027,0,0.012036211
t_33,0.158588556,0,0.055892048,0.013000054,0,0,0.070062025,0.04670752,0.124861728,0.205896335,0,0,0,0,0,0.068410525,0,0,0,0,0,0.15134507,0.242117367,0,0.180102511
t_34,0.299531967,0.119973796,0.147929001,0.062183836,0.129311238,0.102263258,0.274486924,0.190067787,0.249047392,0.382936388,0.125955061,0.079510826,0,0,0.00075558,0.144300944,0.23808703,0,0,0.025636488,0.146554102,0.244157683,0.384195253,0.117708291,0.34534239
t_35,0.408108486,0.182673425,0.229656725,0.105917936,0.21354447,0.203953214,0.442984592,0.31672421,0.335998689,0.490745663,0.217656212,0.177116421,0.006615925,0,0.231982937,0.203555223,0.428642107,0,0.072330688,0.123435967,0.196172951,0.292877568,0.428452961,0.292416232,0.457054008
t_36,0.456430981,0.168221409,0.268844193,0.132987747,0.278079439,0.260538247,0.558648836,0.397475734,0.353481361,0.505799957,0.285619669,0.273636407,0.176258186,0.011268263,0.330049488,0.21485027,0.563560794,0,0.170037685,0.186469969,0.157347055,0.334721796,0.404638876,0.406045243,0.501348011
t_37,0.432183124,0.142185129,0.237857683,0.134955917,0.263100923,0.256574563,0.612528951,0.422601775,0.296558577,0.46423399,0.27540241,0.307238786,0.160121488,0.005747226,0.332131499,0.170431514,0.618088883,0,0.115122502,0.179205563,0.097314373,0.348125207,0.309325621,0.449236993,0.468967996
t_38,0.329890861,0.132411247,0.145148768,0.107698414,0.175576416,0.187708218,0.599566243,0.388823416,0.229365937,0.354197384,0.194238428,0.268745145,0,0,0.235295187,0.110343277,0.581629466,0,0,0.066863836,0.054267089,0.314898689,0.17663918,0.426095513,0.386703904
t_39,0.187876823,0.080757579,0.069816878,0.057955179,0.083706657,0.078967613,0.516160029,0.300527117,0.150380193,0.179361886,0.121126178,0.172210891,0,0,0.012243548,0.041929113,0.506799844,0,0,0,0.002022117,0.223865486,0.08112809,0.332831336,0.268226154
t_40,0.008070569,0.017010352,0,0.004526093,0,0,0.377056255,0.173553723,0.032156756,0,0.044893725,0,0,0,0,0,0.424697284,0,0,0,0,0.045880592,0,0.178456862,0.121328275
t_41,0,0,0,0,0,0,0.1908569,0.015740672,0,0,0,0,0,0,0,0,0.262815975,0,0,0,0,0,0,0,0
t_42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035672172,0,0,0,0,0,0,0,0
t_43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
