t,AT00,BE00,CZ00,DE00,DKE1,DKW1,ES00,FR00,HR00,HU00,LU00,NL00,NOM1,NON1,NOS0,PL00,PT00,SE01,SE02,SE03,SE04,SI00,SK00,UK00,IT00
t_1,0,0.949984754,0,0.849069569,0.535996712,0.95,0.531717189,0.94928426,0.075363519,0,0,0.949116687,0.722488224,0.531566018,0.95,0.561870322,0.809830234,0.448799467,0.103905008,0.440735085,0.348272393,0.034598093,0,0.935623314,0.810615636
t_2,0,0.949999645,0,0.873871457,0.650731652,0.95,0.529141009,0.948427952,0.199387847,0,0,0.949398915,0.388118934,0.579392465,0.95,0.64069863,0.863133635,0.558475724,0.084794421,0.414609757,0.438767284,0.0150691,0,0.934132126,0.78025435
t_3,0,0.949999635,0,0.909233372,0.738704444,0.95,0.605362477,0.944446596,0.428005235,0,0,0.949522618,0.085676406,0.608275512,0.949988005,0.588824,0.904362887,0.651181197,0.092149232,0.39362657,0.476966876,0.012516929,0,0.934170137,0.780544231
t_4,0,0.949999847,0,0.935333129,0.789662924,0.94999997,0.774349239,0.939287776,0.593396226,0,0,0.949882643,0.001311758,0.610225577,0.949878326,0.392662374,0.93216681,0.741680218,0.127191076,0.347462875,0.526862631,0.004923645,0,0.934763911,0.753082856
t_5,0,0.949999649,0,0.94472365,0.831441282,0.94997825,0.852572761,0.937922982,0.733167847,0,0,0.949995402,0,0.597637543,0.949926395,0.307481794,0.934623446,0.839588329,0.155803292,0.395303794,0.638772198,0,0,0.933820628,0.740633537
t_6,0,0.949997758,0,0.945596372,0.852494998,0.949999717,0.888900355,0.935621176,0.847641501,0,0,0.949999565,0.000935201,0.60093394,0.949999265,0.408472062,0.920802505,0.893858869,0.166183979,0.474266755,0.72481211,0,0,0.93300427,0.747016669
t_7,0,0.949971495,0,0.946103643,0.876892972,0.95,0.898656658,0.928664828,0.892126215,0,0,0.949999811,0.053215855,0.618147531,0.95,0.56325063,0.91368638,0.919465845,0.187699054,0.525426716,0.757444911,0,0,0.93472683,0.770303406
t_8,0,0.94989683,0,0.94757541,0.894658058,0.95,0.889042684,0.912511368,0.917263585,0,0,0.949999913,0.228736809,0.632575206,0.95,0.697865568,0.918345271,0.940544569,0.217649341,0.569454192,0.758455305,0.058653004,0,0.934043969,0.802460699
t_9,0,0.94983719,0,0.948424787,0.901996397,0.95,0.865682154,0.88262706,0.925303523,0,0,0.949998521,0.40149441,0.629768043,0.95,0.739576233,0.933134625,0.946415886,0.235390628,0.568295447,0.745919301,0.070965107,0,0.932482277,0.830008609
t_10,0,0.949779769,0,0.949352447,0.908549214,0.95,0.827667513,0.860314256,0.924805275,0,0,0.949995973,0.446446821,0.608270113,0.949975849,0.756031519,0.933253767,0.948221271,0.217494427,0.562900743,0.786172935,0.049902325,0,0.931571758,0.850114168
