t,AT00,BE00,CZ00,DE00,DKE1,DKW1,ES00,FR00,HR00,HU00,LU00,NL00,NOM1,NON1,NOS0,PL00,PT00,SE01,SE02,SE03,SE04,SI00,SK00,UK00,IT00
t_1,0,0.95,0,0.938065056,0.949714526,0.920239743,0.596736927,0.919462045,0.061857024,0,0,0.949948177,0.38989224,0.437300116,0.902092187,0.949952923,0.900039465,0.570842678,0.262775421,0.849127817,0.949881245,0,0,0.932288224,0.01569674
t_2,0,0.95,0,0.921459457,0.94994675,0.799114406,0.395294596,0.911544861,0.097411423,0,0,0.9496164,0.254929748,0.4235658,0.896280402,0.94982925,0.893441006,0.494297477,0.592347614,0.873339218,0.949990355,0,0,0.930856137,0.024904468
t_3,0,0.949998366,0,0.879021878,0.949997991,0.655699261,0.32385313,0.91027807,0.103365452,0,0,0.949324955,0.439910534,0.401876468,0.891046094,0.949692305,0.866837635,0.448226258,0.535159873,0.899646672,0.949999546,0.002901832,0,0.930071952,0.038353805
t_4,0,0.95,0,0.866725992,0.94999511,0.725341613,0.392011913,0.909224925,0.107010228,0,0,0.949067437,0.527078281,0.348742141,0.901870557,0.949362021,0.86328781,0.346289727,0.470065676,0.942099144,0.95,0.008237362,0,0.932738361,0.0398938
t_5,0,0.95,0,0.756639538,0.949979606,0.923678224,0.315576773,0.908423444,0.104987622,0,0,0.948811292,0.459355522,0.297569839,0.901560002,0.949961656,0.850151694,0.278566276,0.5938837,0.948686089,0.949999895,0,0,0.932761565,0.044153174
t_6,0,0.95,0,0.686642386,0.949992835,0.92437031,0.271912718,0.901270448,0.131183001,0,0,0.949627049,0.363883378,0.296051519,0.902498167,0.949999392,0.827232905,0.299679325,0.497224234,0.94988182,0.95,0,0,0.932730934,0.049464339
t_7,0,0.949999928,0,0.656417316,0.949828897,0.895552718,0.369876396,0.909855005,0.191677468,0,0,0.949848751,0.342428381,0.309397479,0.902496505,0.95,0.753255658,0.178502764,0.830883615,0.949907275,0.95,0,0,0.932719499,0.04310307
t_8,0,0.95,0,0.699131715,0.949542129,0.84760749,0.476631376,0.90965662,0.266176624,0,0,0.949985494,0.415895022,0.32155892,0.901081741,0.95,0.599116001,0.101913797,0.92475419,0.949354075,0.95,0.009895983,0,0.932415288,0.036390947
t_9,0,0.949997295,0,0.795224696,0.94898704,0.828079427,0.60047994,0.901512388,0.363702813,0,0,0.949982185,0.582832885,0.328881309,0.873667437,0.95,0.408779118,0.242247044,0.942296955,0.945239876,0.95,0.047630342,0,0.932672279,0.042161095
t_10,0,0.949997889,0,0.862548665,0.948658348,0.80120211,0.719580742,0.885534717,0.435629107,0,0,0.949959066,0.621240799,0.328763554,0.806636134,0.95,0.262824099,0.323586548,0.947567305,0.949775093,0.949991138,0.109657567,0,0.932780102,0.065363842
t_11,0,0.94999977,0,0.877309335,0.949601273,0.718249084,0.852853892,0.872065341,0.48290783,0,0,0.949551005,0.683817235,0.31452631,0.733345979,0.9499907,0.203537902,0.409337634,0.947713796,0.949945727,0.949626282,0.042179638,0,0.931077388,0.110153945
t_12,0,0.95,0,0.905971417,0.945202873,0.645349185,0.929055164,0.869742909,0.539073125,0,0,0.949999984,0.805305925,0.286771143,0.826268475,0.949925687,0.179833751,0.523290553,0.949269398,0.948903509,0.947158665,0.218557746,0,0.932396665,0.171224257
t_13,0,0.949931926,0,0.925593222,0.93516268,0.712193833,0.94541472,0.872933385,0.531066348,0,0,0.949999853,0.850371413,0.282045993,0.855709789,0.946892087,0.149675892,0.498483283,0.910404865,0.944429589,0.934648898,0.413131503,0,0.932149851,0.230543349
t_14,0,0.944366352,0,0.946088858,0.935465222,0.828525706,0.949093532,0.875549089,0.54103929,0,0,0.949544443,0.848597957,0.303151868,0.863996636,0.916163917,0.105501037,0.489272421,0.753900925,0.927816178,0.8755588,0.543667957,0,0.931407575,0.265895297
t_15,0,0.94814099,0,0.948961819,0.933513601,0.917692378,0.925113748,0.894741905,0.583512955,0,0,0.949919032,0.836469434,0.350962078,0.891205241,0.851688348,0.063106899,0.459464294,0.589383064,0.911844058,0.868651774,0.510126457,0,0.932219618,0.282871179
t_16,0,0.944637939,0,0.949270579,0.931464163,0.936850933,0.713855311,0.907052472,0.665659531,0,0,0.949943717,0.816297312,0.400004513,0.899605634,0.832810867,0.032091293,0.322615243,0.41551154,0.911989651,0.862572288,0.382835286,0,0.931628839,0.327134187
