t,AT00,BE00,CZ00,DE00,DKE1,DKW1,ES00,FR00,HR00,HU00,LU00,NL00,NOM1,NON1,NOS0,PL00,PT00,SE01,SE02,SE03,SE04,SI00,SK00,UK00,IT00
t_7153,0.051077381,0.519441926,0.08386355,0.311259039,0.429437511,0.272663918,0.053146045,0.195645678,0.288809736,0.052335197,0.297648696,0.627934836,0.257447858,0.355309444,0.253064757,0.151091751,0.050733081,0.138097553,0.1441769,0.173266738,0.320251249,0.134312501,0.030873023,0.473778409,0.187193662
t_7154,0.049651877,0.517890626,0.083637523,0.324459257,0.424347405,0.272442228,0.054250522,0.197328334,0.259041991,0.057992066,0.328620111,0.600083757,0.202525658,0.322743784,0.240416908,0.147204683,0.066302371,0.135651212,0.140757322,0.178629332,0.322299594,0.131927484,0.036228336,0.431638493,0.177747448
t_7155,0.047844613,0.524501293,0.089947981,0.331577485,0.414881962,0.269243705,0.055636393,0.199021722,0.245263166,0.057891796,0.346221073,0.613506505,0.151303468,0.276320011,0.233543214,0.144697966,0.07369975,0.127392742,0.13169032,0.17662784,0.31027319,0.128686914,0.038985108,0.390438017,0.169418679
t_7156,0.044949011,0.524935788,0.110087745,0.341394308,0.414194637,0.27632011,0.055852841,0.188560596,0.254238359,0.055383883,0.364903108,0.621149089,0.111140324,0.236587355,0.225503422,0.146965405,0.078227081,0.117392182,0.117404105,0.170523862,0.308032321,0.131262086,0.038916539,0.351594888,0.160096098
t_7157,0.041330906,0.523092464,0.117590076,0.355250887,0.421539921,0.276847889,0.056434585,0.182420974,0.257850949,0.05094171,0.413374971,0.624384966,0.083463602,0.200721431,0.200147344,0.151041526,0.085949391,0.105706893,0.104157514,0.157145329,0.278301794,0.12924667,0.03622978,0.306099663,0.156060527
t_7158,0.032927994,0.524637678,0.125074531,0.370188805,0.406971988,0.285901755,0.057536548,0.182807246,0.254954165,0.035030805,0.465337774,0.639884538,0.075347386,0.172087208,0.179183101,0.15513179,0.09759811,0.097551924,0.093373961,0.150576767,0.242652341,0.124918706,0.032979552,0.261632978,0.149396869
t_7159,0.026887206,0.528308978,0.140495466,0.387311388,0.384444863,0.267593095,0.057515058,0.181222802,0.256407808,0.022577806,0.49859524,0.666432361,0.074873138,0.149585936,0.139803743,0.164707882,0.128567919,0.08351562,0.079990794,0.142236083,0.210815271,0.123463695,0.031583726,0.223980909,0.140269136
t_7160,0.02038695,0.524152211,0.154716865,0.397761987,0.376046739,0.252510615,0.056147526,0.177130661,0.225881995,0.01606204,0.496368333,0.665507845,0.080225306,0.132099561,0.107649502,0.172707939,0.145109647,0.071868048,0.068786971,0.126771582,0.187841148,0.126459688,0.031129482,0.194456072,0.1239778
t_7161,0.013542311,0.520092081,0.182909989,0.402188429,0.382060328,0.215035432,0.052703793,0.158176225,0.12991572,0.009553673,0.498067324,0.667830055,0.094052963,0.110781277,0.079392918,0.177294653,0.169858842,0.048666513,0.050614957,0.098702384,0.180874351,0.11998242,0.028408007,0.167270625,0.117268969
t_7162,0.010414998,0.59172747,0.242805921,0.396723689,0.379921485,0.180845401,0.04478136,0.152026514,0.08035939,0.001807036,0.441991702,0.666823869,0.109594396,0.091054643,0.051031829,0.169969897,0.153950294,0.036943427,0.042936833,0.099305306,0.201217138,0.132732898,0.019207792,0.12669369,0.118183431
t_7163,0.007537158,0.59057811,0.242390719,0.399669872,0.333655187,0.153068038,0.048908962,0.163215309,0.063465479,0.004030936,0.43328102,0.611896686,0.117983343,0.059721695,0.039049524,0.183424749,0.168374334,0.016324695,0.037019414,0.113091967,0.200007625,0.096337894,0.024646948,0.110439973,0.107460587
t_7164,0.014941027,0.563410982,0.274419191,0.411333784,0.365709115,0.110992337,0.052440048,0.169845171,0.037979522,0.004588413,0.554346241,0.58511825,0.116215775,0.049223377,0.022294178,0.198506815,0.206573489,0.020615419,0.031653772,0.075779918,0.187474089,0.08278092,0.033218508,0.09369672,0.104775691
t_7165,0.021902082,0.56392882,0.272779608,0.408773093,0.364756368,0.08050736,0.054542464,0.175420578,0.0259742,0.005854817,0.591369946,0.664987536,0.146941803,0.04233065,0.03839085,0.205377932,0.223784724,0.020516014,0.02638173,0.06056852,0.148273605,0.069631117,0.041196917,0.075312908,0.106785778
t_7166,0.018310108,0.515986184,0.279880561,0.418340715,0.38085717,0.057498822,0.054044604,0.180423289,0.02382501,0.002922721,0.58307383,0.652110445,0.189140547,0.036106469,0.071626704,0.196740674,0.23348269,0.025900399,0.022876851,0.056534335,0.113906245,0.066166658,0.044747755,0.051926424,0.108862128
t_7167,0.016407829,0.411177109,0.266561809,0.411641411,0.355592752,0.054307698,0.049601435,0.163670415,0.035560991,0.002038122,0.58221335,0.659122945,0.210181944,0.033088393,0.099314138,0.175762326,0.181143554,0.027740283,0.025061892,0.045560162,0.109445627,0.072129787,0.0356628,0.039865847,0.116858361
t_7168,0.017286793,0.312810676,0.262001606,0.383807254,0.288487784,0.055364894,0.0452001,0.124039873,0.067335736,0.003004896,0.509957104,0.637709972,0.21795949,0.033807386,0.166216964,0.169353074,0.128542197,0.031672085,0.030277927,0.041572262,0.089987292,0.089884657,0.028897227,0.032038195,0.104798834
t_7169,0.020675487,0.236127603,0.285324316,0.374231229,0.199156982,0.061600269,0.04215263,0.105716712,0.104440537,0.004472272,0.398800804,0.54190866,0.209592354,0.032122629,0.240264937,0.182115531,0.092685193,0.030714212,0.041446524,0.042850875,0.064197094,0.112535075,0.02516336,0.027932529,0.090479873
t_7170,0.030539545,0.183011078,0.309680077,0.375731738,0.131073485,0.081850908,0.04861201,0.107808445,0.125038226,0.005293641,0.319766337,0.467899568,0.20191929,0.034992175,0.293527086,0.199479673,0.064591759,0.029352194,0.050167288,0.046973287,0.046658843,0.1321391,0.023706649,0.038768183,0.082230193
t_7171,0.048173285,0.156649552,0.331908384,0.371163178,0.105086589,0.090098038,0.055672102,0.112977454,0.135575652,0.004435924,0.273941352,0.418423931,0.201777583,0.038636812,0.292419934,0.212412931,0.058449621,0.025045557,0.050109396,0.049747152,0.033850043,0.13662754,0.025958087,0.045901431,0.072646126
t_7172,0.092803677,0.142106941,0.357927335,0.368048645,0.088316965,0.097953414,0.059803611,0.119185846,0.149442269,0.006947027,0.256002662,0.38308184,0.211430474,0.044210444,0.295135129,0.224537511,0.053814316,0.019869793,0.04957643,0.053086285,0.017274847,0.131473484,0.0289175,0.065557519,0.068371593
t_7173,0.17458075,0.122801419,0.366140153,0.357930194,0.077472617,0.116486076,0.063476667,0.123500215,0.166987412,0.05487176,0.232109442,0.308925817,0.210707568,0.04825319,0.316733671,0.232533219,0.061976337,0.013970718,0.060222204,0.058314518,0.006101089,0.11894865,0.037991229,0.082949738,0.068883589
t_7174,0.296489797,0.102703687,0.374007518,0.347121186,0.084666468,0.12624413,0.068459739,0.125682596,0.203369095,0.146954622,0.198329431,0.232603955,0.212290799,0.053323177,0.330554595,0.240360973,0.072694801,0.008474027,0.071679508,0.066564201,0.004267617,0.115673049,0.068294376,0.100319829,0.073935525
t_7175,0.358970981,0.094375107,0.411361852,0.328462328,0.145587354,0.127033125,0.068823469,0.128386575,0.226165889,0.247815025,0.154619934,0.198735415,0.257872385,0.057667292,0.329303344,0.247502833,0.056052296,0.005102365,0.080064442,0.089029276,0.020702292,0.106157987,0.145632441,0.100087887,0.076626369
