t,AT00,BE00,CZ00,DE00,DKE1,DKW1,ES00,FR00,HR00,HU00,LU00,NL00,NOM1,NON1,NOS0,PL00,PT00,SE01,SE02,SE03,SE04,SI00,SK00,UK00,IT00
t_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_8,0,0,0,0,0,0,0,0,0.001287114,0.016962067,0,0,0,0,0,0.00055238,0,0,0,0,0,0,0.000147278,0,0.009068786
t_9,0.140753601,0,0.120268931,0.007746541,0,0,0.019310353,0.021710596,0.022318357,0.058670762,0,0,0,0,0,0.063293199,0,0,0,0,0,0.048609368,0.042191025,0,0.08131655
t_10,0.277456755,0.04047744,0.252955431,0.041402417,0.0629669,0.110849051,0.090194647,0.108972445,0.03999534,0.098066455,0.029984152,0.015074938,0,0,0.000159378,0.098265723,0.04143443,0,0.004418595,0.087631613,0.19522771,0.117080195,0.098387034,0.012313585,0.193623765
t_11,0.379514922,0.106277252,0.33603972,0.072179609,0.120492254,0.21136884,0.172535688,0.217408505,0.044610078,0.135724237,0.07319008,0.045268176,0.001919696,0,0.113670957,0.109059981,0.127661634,0,0.142516038,0.287014392,0.330372114,0.142098767,0.157511162,0.069937138,0.31025311
t_12,0.424960983,0.16833657,0.360842217,0.085917934,0.160381697,0.258237353,0.240361932,0.314901491,0.044230038,0.165024429,0.113314897,0.073624689,0.076592317,0.003386472,0.163337568,0.1042961,0.190741507,0,0.22993447,0.349843603,0.396250253,0.119244781,0.226358195,0.10118536,0.382456634
t_13,0.397722872,0.187408656,0.337532413,0.082146664,0.174896534,0.24425386,0.255128912,0.362583879,0.038990979,0.176083647,0.129515089,0.069145297,0.069397956,0.000753633,0.162266758,0.075033427,0.21071009,0,0.145796858,0.313954966,0.375615388,0.13243956,0.277582653,0.108263445,0.390217663
t_14,0.316546707,0.165344624,0.251871937,0.064473853,0.153200398,0.177443029,0.249583551,0.338179073,0.029859373,0.148534563,0.147360212,0.049975201,0,0,0.106491938,0.038267421,0.22326181,0,0.000263719,0.152858039,0.269900262,0.122611399,0.250973471,0.103727822,0.339238673
t_15,0.199449692,0.107737965,0.125520528,0.034060585,0.077201284,0.066717275,0.230513502,0.258390049,0.014037219,0.0769012,0.094367933,0.028863243,0,0,0.000956164,0.006685524,0.186781566,0,0,0,0.038159143,0.06628587,0.145112313,0.072531287,0.242344619
t_16,0.009038785,0.039908394,0,0.004610992,0,0,0.151262391,0.140922925,0,0,0.025203039,0,0,0,0,0,0.108565151,0,0,0,0,0.012165276,0,0.025012302,0.112921505
t_17,0,0,0,0,0,0,0.060459842,0.009106997,0,0,0,0,0,0,0,0,0.039240951,0,0,0,0,0,0,0,0
t_18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_32,0,0,0,0,0,0,0,0,0.055092319,0.066807801,0,0,0,0,0,0.000136926,0,0,0,0,0,0,0.005125821,0,0.005533626
t_33,0.095741096,0,0.059255317,0.007971764,0,0,0.010424072,0.03878942,0.189794045,0.22080481,0,0,0,0,0,0.05345157,0,0,0,0,0,0.066700188,0.218226151,0,0.111263871
t_34,0.175700419,0.033573446,0.143511809,0.041713576,0.189392407,0.136619497,0.062504087,0.14077911,0.324655678,0.356574716,0.044780469,0.132750419,0,0,0.001661025,0.11376118,0.033842261,0,0.004828272,0.097689695,0.236663022,0.143984233,0.36019903,0.048287979,0.231687634
t_35,0.237252296,0.085548722,0.235268503,0.079405062,0.294003813,0.270431851,0.130510213,0.241744843,0.405803926,0.437391604,0.120290382,0.269222048,0,0,0.232272295,0.172834499,0.087428932,0,0.087735335,0.279838728,0.363799094,0.203030852,0.450909975,0.149915537,0.332512913
t_36,0.261931746,0.126287216,0.27239268,0.10627552,0.337198607,0.348241142,0.196104039,0.316502457,0.429675625,0.427521006,0.141053214,0.310316891,0.002362616,0,0.314339391,0.221366153,0.134895422,0,0.108301564,0.322341691,0.414219756,0.221832407,0.469038508,0.249275481,0.388179594
t_37,0.222789572,0.138161872,0.223529442,0.112118159,0.313892483,0.354273959,0.229004086,0.353149644,0.403019971,0.310255861,0.163593377,0.326048716,0.001597474,0,0.305662435,0.19427634,0.146563438,0,0.050254871,0.27531062,0.383919194,0.20295263,0.397184442,0.313589923,0.398987309
t_38,0.160139329,0.11840696,0.138484143,0.094005126,0.232622897,0.281711892,0.210421239,0.33708784,0.320027992,0.169218691,0.218940035,0.331798885,0,0,0.211103428,0.126133773,0.120079026,0,0.00076731,0.142750341,0.275064822,0.153221201,0.265318105,0.319230338,0.355288717
t_39,0.089250077,0.084642639,0.053023256,0.053268832,0.112214096,0.130779255,0.153796312,0.259013782,0.193307007,0.062329664,0.155989795,0.2272271,0,0,0.018163276,0.055417153,0.104651482,0,0,0,0.045831282,0.083352558,0.118353163,0.249785288,0.249118312
t_40,0.00566097,0.042207765,0,0.006391091,0,0,0.096322872,0.142465963,0.050235334,0,0.055102633,0.000983255,0,0,0,0,0.074834479,0,0,0,0,0.02139269,0,0.122192585,0.112853619
t_41,0,0,0,0,0,0,0.042099839,0.013325623,0,0,0,0,0,0,0,0,0.025913133,0,0,0,0,0,0,0,0
t_42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000484938,0,0,0,0,0,0,0,0
t_43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
