t,AT00,BE00,CZ00,DE00,DKE1,DKW1,ES00,FR00,HR00,HU00,LU00,NL00,NOM1,NON1,NOS0,PL00,PT00,SE01,SE02,SE03,SE04,SI00,SK00,UK00,IT00
t_2090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_2091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_2092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_2093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_2094,0,0,0.001094977,0,0,0,0,0,0.001734603,0.007928887,0,0,0,0.037445939,0,0.011375301,0,0.024389715,0.005870816,0,0,0,0.013867537,0,8.36E-05
t_2095,0.063557148,0.009066747,0.090919543,0.045255899,0.069784127,0.048067747,0,0.012479505,0.087975145,0.113335005,0.016625483,0.022249772,0.068697958,0.1853921,0.023642386,0.143965151,0,0.201833592,0.14430766,0.08817468,0.096380146,0.049093374,0.157976693,0,0.052837991
t_2096,0.164468397,0.08356689,0.242104255,0.151768822,0.240920748,0.162832492,0.075491237,0.109203992,0.234487033,0.304714244,0.097599384,0.113505891,0.284522927,0.37964263,0.091079552,0.326688755,0.032907969,0.432546865,0.371517982,0.219621004,0.276726951,0.113472013,0.339603279,0.006451672,0.204836831
t_2097,0.245861566,0.181477233,0.401403891,0.275214463,0.382068068,0.270616158,0.26238382,0.233681838,0.339856246,0.470401322,0.19106193,0.191836872,0.49792636,0.546308943,0.186581222,0.482497866,0.170149077,0.620155175,0.555968469,0.342480541,0.451726314,0.183474089,0.480939766,0.027365046,0.372598075
t_2098,0.332145328,0.252269263,0.523741093,0.369974082,0.472521541,0.385702942,0.464596406,0.340038235,0.45200936,0.582924844,0.225311731,0.201716787,0.641498994,0.670985149,0.27980464,0.610876485,0.33394405,0.750792452,0.684997388,0.426533727,0.562740279,0.255016057,0.610354389,0.050830177,0.503482062
t_2099,0.423577869,0.264699921,0.532842136,0.409309069,0.537808805,0.39198939,0.625122207,0.412229739,0.533596399,0.653535509,0.258688715,0.208102122,0.722262789,0.738365171,0.36135292,0.701866629,0.463572764,0.819700992,0.746046788,0.459312007,0.613216442,0.271520594,0.651253914,0.072943069,0.57062482
