t,AT00,BE00,CZ00,DE00,DKE1,DKW1,ES00,FR00,HR00,HU00,LU00,NL00,NOM1,NON1,NOS0,PL00,PT00,SE01,SE02,SE03,SE04,SI00,SK00,UK00,IT00
t_1,0.36764016,0.389919992,0.762247693,0.512220774,0.472603577,0.630429262,0.573671576,0.618492403,0.303065195,0.419299184,0.762899745,0.569410865,0.139365352,0.111075083,0.73256304,0.666821068,0.693740874,0.172052832,0.532129602,0.386835635,0.545061838,0.123525531,0.342433806,0.62147506,0.721180811
t_2,0.440179087,0.469787785,0.80612112,0.520137907,0.554467563,0.650972708,0.569120816,0.619294628,0.418158364,0.423687078,0.552364202,0.634717302,0.139982782,0.136265908,0.73382505,0.657452587,0.589647716,0.1956241,0.587199557,0.384756578,0.577893709,0.115336442,0.36615672,0.654419453,0.752630865
t_3,0.45898104,0.529442885,0.805323864,0.533651002,0.606622862,0.675943214,0.560351461,0.603970918,0.573993465,0.459745787,0.569287454,0.707645876,0.124654706,0.162902943,0.756195187,0.628456134,0.476629455,0.217906088,0.62248501,0.386263882,0.636160817,0.103359195,0.402270943,0.68671201,0.771833368
t_4,0.420489879,0.561663862,0.779783519,0.55015885,0.630766073,0.664051537,0.562519981,0.594431468,0.716691173,0.444081782,0.737655424,0.760272629,0.110345888,0.178881268,0.760090728,0.618134495,0.52739937,0.229533479,0.639600651,0.383279537,0.656008532,0.078729321,0.391834051,0.707766458,0.790940299
t_5,0.436766497,0.579756554,0.761262225,0.57743722,0.673661033,0.659518062,0.571966784,0.569262392,0.817340934,0.36104324,0.635155268,0.784024268,0.105614957,0.214132477,0.772780753,0.591962968,0.621040795,0.273113993,0.669858505,0.391343657,0.621881784,0.046751249,0.365621518,0.722100596,0.807425185
t_6,0.487970451,0.58896677,0.738395425,0.599379935,0.704210173,0.653096492,0.590423849,0.531901789,0.846012637,0.177097254,0.563323812,0.819837047,0.117852011,0.2509089,0.789068774,0.580231623,0.645771484,0.323938518,0.705737325,0.377303521,0.586237211,0.022572989,0.315903565,0.732246092,0.811647163
t_7,0.544164428,0.599107032,0.708806457,0.618489638,0.721528106,0.656748214,0.59910052,0.515366341,0.857564474,0.060524002,0.577638628,0.827243655,0.137249465,0.28084597,0.808311813,0.615625885,0.628161865,0.341304511,0.729869112,0.349499766,0.523134869,0.027410106,0.270774282,0.740986152,0.795864886
t_8,0.522711133,0.578590543,0.690331658,0.635754521,0.725852917,0.653684642,0.603172269,0.49580197,0.848166146,0.057617792,0.602390958,0.824840574,0.166556603,0.319609667,0.818079984,0.654573545,0.621966239,0.370747922,0.760193801,0.32793853,0.471065088,0.049695807,0.242314242,0.747349179,0.776273253
t_9,0.417641297,0.569024676,0.687114288,0.64628847,0.73377913,0.64126749,0.602132071,0.490855666,0.807526981,0.042350403,0.63608124,0.804256872,0.205719555,0.359385862,0.797659599,0.664897538,0.595578246,0.4109992,0.778158573,0.304858864,0.402436312,0.04862033,0.219120684,0.75045497,0.757641141
t_10,0.307930487,0.594690951,0.648380768,0.664441205,0.751921015,0.637406709,0.597806394,0.495819417,0.672782856,0.030809962,0.688029597,0.793445627,0.245025502,0.39112074,0.760297035,0.687658483,0.568963994,0.445574135,0.79259899,0.288216181,0.368444356,0.030026621,0.166942401,0.745015612,0.715250284
