t,AT00,BE00,CZ00,DE00,DKE1,DKW1,ES00,FR00,HR00,HU00,LU00,NL00,NOM1,NON1,NOS0,PL00,PT00,SE01,SE02,SE03,SE04,SI00,SK00,UK00,IT00
t_7393,0,0,0,0.006304262,0.032059105,0.020941219,0.936044476,0.043454425,0.539647581,0,0,0,0.948389024,0.88593876,0.015375501,0.008021875,0.145271401,0.685540507,0.096061485,0.028200545,0.025671285,0.654798298,0,0.075096397,0.217328357
t_7394,0,0,0,0.007625937,0.062537484,0.05160771,0.939995121,0.026016203,0.585090423,0,0,0.006007946,0.939060374,0.898856233,0.056101832,0.002375548,0.139971751,0.746605977,0.120403494,0.023399089,0.01727844,0.633956024,0,0.087296181,0.250025105
t_7395,0,0,0,0.016828737,0.096059031,0.096361504,0.943894182,0.014439673,0.566973495,0,0,0.028438917,0.887302739,0.907997179,0.129460929,0.006762032,0.102278553,0.781324743,0.185744909,0.025670305,0.023211149,0.524419855,0,0.113261336,0.298770108
t_7396,0,0.002045842,0,0.044544694,0.123402634,0.142679074,0.945995578,0.007773404,0.587602142,0,0,0.061565275,0.754108449,0.914949134,0.247279708,0.013389462,0.074185679,0.798389747,0.276440605,0.027147402,0.033722502,0.450418493,0,0.155955317,0.357059615
t_7397,0,0.014536979,0,0.074799782,0.139410616,0.237791858,0.947432588,0.006815347,0.633501287,0,0,0.098572212,0.697534385,0.918269682,0.406044497,0.017506839,0.059175484,0.874213538,0.340731958,0.027798378,0.041208101,0.437169772,0,0.200935873,0.42411284
t_7398,0,0.040182435,0,0.125881981,0.155247032,0.412443043,0.947004677,0.008508574,0.642291224,0,0,0.142980997,0.662837901,0.920067392,0.555631475,0.018863921,0.059617746,0.93208622,0.405008648,0.031555243,0.048421088,0.464359665,0,0.233808195,0.471001427
t_7399,0,0.058943201,0,0.199199341,0.16791852,0.573196996,0.946361845,0.015138586,0.651886896,0,0,0.187346777,0.674558418,0.919394748,0.778864342,0.014894503,0.065506401,0.947218813,0.612193641,0.039836846,0.061975968,0.449001256,0,0.263038318,0.523191345
t_7400,0,0.079533783,0,0.288867391,0.1857715,0.738904706,0.942223462,0.026399634,0.621343628,0,0,0.242812062,0.754106541,0.920368543,0.863572346,0.012034228,0.062691628,0.949417768,0.85097517,0.047775623,0.088465781,0.278213022,0,0.301686736,0.567289637
t_7401,0,0.119063461,0,0.416552611,0.20836641,0.879555598,0.939023187,0.039130644,0.539891222,0,0,0.32853663,0.852846828,0.916520136,0.924046732,0.010679285,0.047344815,0.949874988,0.928770753,0.054402532,0.119521491,0.170269315,0,0.354275193,0.632374583
t_7402,0,0.173197281,0,0.508060794,0.238376271,0.933167704,0.935333479,0.053875247,0.46609281,0,0,0.394870536,0.896176759,0.912870042,0.9401477,0.023051228,0.026900257,0.949974682,0.943321799,0.067170238,0.157285061,0.114398612,0,0.417429025,0.684910366
t_7403,0,0.250565169,0,0.665855098,0.319660715,0.946757483,0.943606277,0.105372969,0.325543637,0,0,0.501650955,0.800690497,0.873979716,0.941268412,0.126437731,0.021285221,0.949999594,0.949890248,0.140911066,0.251790433,0.026170411,0,0.48447903,0.78149601
t_7404,0,0.435023262,0,0.740590947,0.359506663,0.949974601,0.947266267,0.134634311,0.368699267,0,0,0.614177995,0.649660552,0.86979568,0.943760411,0.276299631,0.010950733,0.95,0.949968517,0.235510098,0.369468217,0.046326033,0,0.579623061,0.795971698
t_7405,0,0.495794344,0,0.789923781,0.448561331,0.949971348,0.947937019,0.140983902,0.436003154,0,0,0.694393662,0.445045249,0.882896055,0.946599432,0.446620745,0.007875811,0.95,0.949997321,0.381309212,0.559275973,0.037361793,0,0.687798862,0.825290959
t_7406,0,0.507779908,0,0.818848937,0.547874007,0.948308085,0.94902243,0.176773786,0.483287099,0,0,0.797531219,0.404747721,0.866272688,0.945498737,0.606980184,0.008387257,0.95,0.949999892,0.534458898,0.728937239,0.018668084,0,0.741136542,0.847453449
t_7407,0,0.619838044,0,0.874917847,0.615769142,0.94461698,0.949752788,0.267231989,0.493337943,0,0,0.896810402,0.362438761,0.766464452,0.941391199,0.734536002,0.007827702,0.95,0.95,0.672224786,0.802141523,0.00729358,0,0.775347147,0.860986008
t_7408,0,0.752004037,0,0.912058731,0.678373115,0.94906424,0.949972707,0.324048088,0.522399132,0,0,0.9370486,0.322800992,0.675768551,0.948608503,0.818689722,0.006131232,0.95,0.95,0.705020803,0.842726247,0.001529432,0,0.808205062,0.891049917
t_7409,0,0.855810262,0,0.927075434,0.742236097,0.949308754,0.949995218,0.360856698,0.550241126,0,0,0.945154195,0.411039957,0.646904467,0.948097222,0.870558003,0.007388633,0.95,0.95,0.763653288,0.879480831,0.001620492,0,0.833650423,0.917633126
t_7410,0,0.940125071,0,0.935890959,0.815106788,0.949904336,0.949984188,0.466429704,0.561061347,0,0,0.947605775,0.501353023,0.688023568,0.948746523,0.901124534,0.018638154,0.95,0.95,0.824890508,0.864921061,0.013127814,0,0.826008946,0.931637717
t_7411,0,0.948912433,0,0.941111899,0.855168725,0.94944567,0.949836328,0.564000737,0.538763537,0,0,0.949307196,0.445466714,0.731257642,0.949615229,0.924775466,0.041315089,0.95,0.95,0.860733898,0.907595575,0.030876438,0,0.784151581,0.93613308
t_7412,0,0.94891111,0,0.931663482,0.884987968,0.94998679,0.949722745,0.581492798,0.491693949,0,0,0.949701969,0.444303114,0.724586619,0.94999985,0.938048271,0.053018471,0.95,0.95,0.899114994,0.932723355,0.052687298,0,0.766973311,0.938526734
t_7413,0,0.949881863,0,0.933209782,0.910770472,0.95,0.949913152,0.644061044,0.456779184,0,0,0.949900616,0.679764711,0.696495776,0.949999995,0.943104033,0.051014996,0.95,0.9499945,0.91337949,0.94750889,0.072126903,0,0.783168166,0.93408954
