t,AT00,BE00,CZ00,DE00,DKE1,DKW1,ES00,FR00,HR00,HU00,LU00,NL00,NOM1,NON1,NOS0,PL00,PT00,SE01,SE02,SE03,SE04,SI00,SK00,UK00,IT00
t_1,0,0.949992109,0,0.89981879,0.643833504,0.95,0.531717189,0.946797936,0.075363519,0,0,0.949545853,0.722488224,0.531566018,0.899925925,0.561870322,0.809830234,0.448799467,0.103905008,0.511349255,0.337625914,0.034598093,0,0.931046986,0.810615636
t_2,0,0.949999816,0,0.912283205,0.767383772,0.95,0.529141009,0.947375194,0.199387847,0,0,0.949692839,0.388118934,0.579392465,0.898636453,0.64069863,0.863133635,0.558475724,0.084794421,0.465867482,0.42913199,0.0150691,0,0.929901917,0.78025435
t_3,0,0.949999811,0,0.930035002,0.855873037,0.95,0.605362477,0.943729889,0.428005235,0,0,0.949756231,0.085676406,0.608275512,0.898239453,0.588824,0.904362887,0.651181197,0.092149232,0.445257511,0.409291006,0.012516929,0,0.929895415,0.780544231
t_4,0,0.949999921,0,0.942885195,0.884299703,0.94999997,0.774349239,0.939956023,0.593396226,0,0,0.949940002,0.001311758,0.610225577,0.897602698,0.392662374,0.93216681,0.741680218,0.127191076,0.390557292,0.456743726,0.004923645,0,0.930240187,0.753082856
t_5,0,0.949999818,0,0.947283668,0.899058459,0.94997825,0.852572761,0.938286198,0.733167847,0,0,0.94999213,0,0.597637543,0.89864532,0.307481794,0.934623446,0.839588329,0.155803292,0.424718005,0.632898066,0,0,0.929203284,0.740633537
t_6,0,0.949998839,0,0.947774116,0.903998258,0.949999717,0.888900355,0.931937437,0.847641501,0,0,0.949993611,0.000935201,0.60093394,0.900541092,0.408472062,0.920802505,0.893858869,0.166183979,0.503850738,0.760279659,0,0,0.928621302,0.747016669
t_7,0,0.949984748,0,0.948130025,0.906698345,0.95,0.898656658,0.917698808,0.892126215,0,0,0.949999164,0.053215855,0.618147531,0.901728264,0.56325063,0.91368638,0.919465845,0.187699054,0.56693248,0.796895149,0,0,0.930042448,0.770303406
t_8,0,0.949944016,0,0.948843237,0.908847682,0.95,0.889042684,0.891606157,0.917263585,0,0,0.949999844,0.228736809,0.632575206,0.902109184,0.697865568,0.918345271,0.940544569,0.217649341,0.6229733,0.792447177,0.058653004,0,0.929342346,0.802460699
t_9,0,0.949907443,0,0.949260695,0.905072344,0.95,0.865682154,0.857610871,0.925303523,0,0,0.949998581,0.40149441,0.629768043,0.902007124,0.739576233,0.933134625,0.946415886,0.235390628,0.62945892,0.780381607,0.070965107,0,0.928281093,0.830008609
t_10,0,0.949869984,0,0.94969718,0.901427265,0.95,0.827667513,0.834477253,0.924805275,0,0,0.949997576,0.446446821,0.608270113,0.899181466,0.756031519,0.933253767,0.948221271,0.217494427,0.63174137,0.813989104,0.049902325,0,0.927451562,0.850114168
t_11,0,0.948592217,0,0.949931943,0.87705275,0.95,0.69087989,0.871153785,0.880917806,0,0,0.949894932,0.409562716,0.598928322,0.867270952,0.795475871,0.866480578,0.949437588,0.200008886,0.623353279,0.793632213,0.010147749,0,0.931733075,0.866595257
t_12,0,0.949917559,0,0.949992278,0.876309757,0.94986924,0.564130258,0.874767087,0.862118381,0,0,0.949997894,0.435628329,0.561591186,0.8445872,0.829047174,0.803182281,0.949543944,0.139562014,0.579999505,0.787192554,0,0,0.931693,0.928536661
t_13,0,0.949999914,0,0.949998587,0.881507793,0.944811784,0.480551359,0.896020841,0.855851032,0,0,0.94999548,0.529124141,0.540271284,0.872280309,0.874845211,0.73327258,0.949852939,0.096995269,0.537535056,0.773982256,0,0,0.930573959,0.944889795
t_14,0,0.95,0,0.949895782,0.901954589,0.914861224,0.453701584,0.917793178,0.751950158,0,0,0.95,0.72119736,0.555410907,0.891464248,0.840019917,0.681697031,0.949977971,0.090839122,0.457521467,0.683377401,0,0,0.930778016,0.949069025
t_15,0,0.949999952,0,0.940630431,0.9094931,0.918811323,0.440383394,0.935645754,0.740135013,0,0,0.949956539,0.85199072,0.612046052,0.894537028,0.784163559,0.650236858,0.949994077,0.084222093,0.376782468,0.573266045,0.007442777,0,0.931350966,0.949663582
t_16,0,0.95,0,0.801050073,0.895982373,0.947897711,0.415713043,0.9441277,0.689630975,0,0,0.946647269,0.90835717,0.666521194,0.89576298,0.650681547,0.680314321,0.949999592,0.072100611,0.298543145,0.452465014,0.065388913,0,0.932526308,0.949747609
t_17,0,0.95,0,0.662515154,0.871883952,0.949897937,0.376257171,0.947527685,0.518315531,0,0,0.92870879,0.910234994,0.712162086,0.897500922,0.521322071,0.728193451,0.95,0.067176026,0.230519989,0.407372267,0.231982163,0,0.932760424,0.949719934
t_18,0,0.949999516,0,0.700857366,0.850448741,0.95,0.33821108,0.948715586,0.287779361,0,0,0.906302271,0.932114968,0.733063877,0.898497911,0.444231609,0.787551483,0.95,0.0712253,0.192629896,0.357922435,0.394985777,0,0.932740338,0.949786307
t_19,0,0.949997684,0,0.774721498,0.838494711,0.95,0.317733385,0.949213694,0.164360377,0,0,0.905419003,0.93901614,0.734313946,0.898901849,0.318520747,0.845057094,0.95,0.099047361,0.16474675,0.322957637,0.395836104,0,0.932614302,0.949341038
t_20,0,0.949999875,0,0.856910139,0.840177383,0.949999875,0.287194289,0.949329366,0.117226524,0,0,0.902789931,0.934797676,0.730208689,0.897336505,0.23614212,0.880968768,0.95,0.143836206,0.156615827,0.325592522,0.294586209,0,0.93214365,0.948106499
t_21,0,0.95,0,0.912344167,0.860061478,0.949990568,0.257076404,0.949035166,0.114161494,0,0,0.914247797,0.94262013,0.722442191,0.883477178,0.186349532,0.890679971,0.95,0.223976541,0.152094737,0.325689522,0.235923091,0,0.930961118,0.947096065
t_22,0,0.95,0,0.936074416,0.877950041,0.949664098,0.211384654,0.948524504,0.106280116,0,0,0.931425389,0.948169825,0.704984044,0.860281208,0.180195511,0.852880814,0.95,0.360441643,0.146042564,0.318719476,0.234565807,0,0.93043474,0.94754817
t_23,0,0.95,0,0.938603981,0.801281778,0.944467573,0.136054824,0.948712526,0.252480687,0,0,0.922646736,0.857703218,0.708669468,0.829229799,0.273548345,0.70926693,0.95,0.563336717,0.21224329,0.249850387,0.188786276,0,0.932636534,0.946255841
t_24,0,0.95,0,0.940852787,0.739613868,0.942255412,0.112646951,0.948789733,0.20532858,0,0,0.945496633,0.893478589,0.630343436,0.736459807,0.212965442,0.634321124,0.95,0.67549826,0.198416532,0.197323513,0.335632897,0,0.929407357,0.944886219
t_25,0,0.949987222,0,0.938924052,0.590569593,0.931269425,0.107735903,0.946544854,0.108630812,0,0,0.947122021,0.895662228,0.589437906,0.695272321,0.195188115,0.600241474,0.95,0.751258097,0.171093443,0.146117421,0.230944355,0,0.930062484,0.944310431
t_26,0,0.949693356,0,0.92218175,0.399197412,0.931704791,0.103105833,0.945181045,0.079641874,0,0,0.947662805,0.872501883,0.547212058,0.702832789,0.138241704,0.627766334,0.949999833,0.856509575,0.129225629,0.098414921,0.194292427,0,0.931564212,0.943674501
t_27,0,0.949853101,0,0.906686244,0.338886779,0.936264026,0.09379094,0.946542255,0.052179389,0,0,0.949011239,0.777913403,0.52589874,0.721155706,0.088343496,0.653043095,0.95,0.936782925,0.110078074,0.085772253,0.109600562,0,0.93195194,0.944095323
t_28,0,0.949912717,0,0.896067664,0.366261547,0.941446303,0.081988511,0.946764285,0.047535136,0,0,0.946541811,0.641650303,0.490573575,0.734515931,0.042731503,0.646382691,0.95,0.949867533,0.101430853,0.082272845,0.096450258,0,0.931369968,0.942507312
t_29,0,0.949913915,0,0.88320724,0.532209317,0.946032456,0.061977996,0.946459088,0.064011334,0,0,0.943794916,0.562736641,0.458509262,0.735084517,0.022158093,0.575791847,0.95,0.94999749,0.105161874,0.098535403,0.22441957,0,0.929158662,0.937858491
t_30,0,0.949947647,0,0.876491096,0.700711919,0.948621338,0.048163944,0.942219655,0.115337161,0,0,0.943990104,0.51877486,0.437841703,0.733615014,0.016985795,0.569228482,0.95,0.949933846,0.120332285,0.106757461,0.249060284,0,0.920513663,0.913272339
t_31,0,0.949992896,0,0.875602915,0.715253397,0.948686077,0.051193461,0.930817012,0.148402529,0,0,0.940003601,0.418305352,0.422240319,0.715631702,0.021967492,0.517153609,0.95,0.94798748,0.13973535,0.138851236,0.094065172,0,0.891263489,0.8923934
t_32,0,0.949995494,0,0.878793386,0.679548537,0.948565689,0.039630111,0.901945566,0.185616191,0,0,0.944710903,0.296264048,0.408351953,0.677144834,0.041522467,0.403625531,0.95,0.936558655,0.160608181,0.193200798,0.107765239,0,0.838387705,0.876045868
t_33,0,0.94999992,0,0.887442836,0.684148325,0.945885934,0.021228931,0.850554523,0.245481233,0,0,0.947795045,0.219845619,0.393082848,0.63943234,0.056823482,0.364027301,0.95,0.933706076,0.190487399,0.214474216,0.081766173,0,0.773747459,0.887856256
t_34,0,0.94999951,0,0.894840651,0.683447254,0.939520677,0.012258483,0.783495006,0.315459958,0,0,0.949166404,0.178026188,0.382676045,0.61517278,0.064071812,0.336241054,0.95,0.932414051,0.234205746,0.206023893,0.018261132,0,0.721486876,0.900269749
