t,CH00
457,6228.22
458,5952.3
459,5833.34
460,5823.34
461,5776.9
462,6013.34
463,7016.7
464,8045.944
465,8657.313
466,8765.724
467,8984.11
468,9039.32
469,8619.22
470,8606.774
471,8537.573
472,8410.834
473,8415.74
474,8636.55
475,8638.98
476,8183.58
477,7531.77
478,7146.89
479,7117.96
480,6807.05
481,6407.48
482,6161.56
483,6010.6
484,5859.65
485,5693.55
486,5754.39
487,6005
488,6161.83
489,6617.581
490,6864.62
491,7096.67
492,7253.68
493,7328.6
494,7328.48
495,7112.492
496,7002.58
497,6975.82
498,7393.9
499,7419.2
500,7045.5
501,6535.66
502,6153.77
503,6120.57
504,5780.67
505,5455.26
506,5136.36
507,5007.39
508,4945.41
509,4952.24
510,5065
511,5185.42
512,5186.248
513,5479.976
514,5712.088
515,6043.16
516,6252.69
517,6466.04
518,6311.908
519,6076.391
520,6000.998
521,6050.37
522,6709.5
523,6882.99
524,6611.19
525,6211.31
526,5856.41
527,5820.15
528,5383.28
529,5640.18
530,5462.23
531,5486.23
532,5540.21
533,5554.76
534,5862.26
535,6911.65
536,7924.913
537,8519.323
538,8555.733
539,8672.13
540,8854.78
541,8422.2
542,8460.753
543,8438.045
544,8358.793
545,8314.67
546,8514.47
547,8637.77
548,8144.29
549,7470.49
550,7099.6
551,6969.78
552,6452.94
553,6216.97
554,6133
555,6066.02
556,6058.02
557,5994.84
558,6212.53
559,7216.78
560,8222.321
561,8721.993
562,8726.171
563,8782.31
564,8903.85
565,8494.4
566,8568.221
567,8457.675
568,8414.271
569,8468.57
570,8686.79
571,8779.21
572,8252.55
573,7638.74
574,7268.85
575,7153.69
576,6725.82
577,6500.22
578,6379.26
579,6236.3
580,6215.31
581,6100.01
582,6299.59
583,7227.3
584,8177.657
585,8689.19
586,8693.497
587,8826.82
588,8938.45
589,8560.9
590,8577.537
591,8468.913
592,8370.597
593,8418.27
594,8595.9
595,8754.73
596,8268.41
597,7608.61
598,7237.72
599,7110.04
600,6691.17
601,6516.92
602,6369.96
603,6297.98
604,6199.01
