t,CH00
1,5506.1
2,5330.23
3,5112.39
4,4894.55
5,4737.3
6,4791.99
7,4858.03
8,4760.78
9,4798.42
10,4769.77
11,5035.9
12,5216.93
13,5487.56
14,5517.21
15,5422.13
16,5404.3
17,5539.83
18,6177.96
19,6098.98
20,5857.41
21,5580.61
22,5233.87
23,5281.26
24,4924.53
25,5544.44
26,5269.65
27,5186.71
28,5204.69
29,5261.24
30,5191.89
31,5340.77
32,5488.29
33,5865.66
34,6221.75
35,6546.88
36,6775.87
37,7024.53
38,6975.19
39,6883.1
40,6890.25
41,7162.75
42,7582.12
43,7746.05
44,7432.54
45,6994.87
46,6809
47,6766.54
48,6406.8
49,6184.3
50,6061.39
51,5973.45
52,5932.48
53,5807.81
54,5847.93
55,6338.28
56,6969.05
57,7421.93
58,7549.62
59,7631.32
60,7642.68
61,7367.51
62,7338.77
63,7250.45
64,7292.81
65,7522.16
66,8125.25
67,8426.35
68,8092.31
69,7561.7
70,7273.91
71,7155.58
72,6751.88
73,6509.69
74,6360.8
75,6221.9
76,6147.96
77,6034.27
78,6005.69
79,6507.6
80,7117.58
81,7628.6
82,7736.12
83,7850.6
84,7936.33
85,7754.68
86,7661.17
87,7577.43
88,7606.21
89,7868.17
90,8418.91
91,8683.46
92,8323.29
93,7789.68
94,7496.9
95,7353.07
96,6919.39
97,6804.54
98,6606.68
99,6478.78
100,6356.87
101,6166.1
102,6116.09
103,6606.77
104,7249.33
105,7757.92
106,7919.83
107,8103.67
108,8294.01
109,8100.67
110,8124.68
111,7983.27
112,7992.78
113,8298.52
114,8703.17
115,8883.31
116,8429.48
117,7891.87
118,7566.11
119,7448.06
120,7061.35
121,6932.93
122,6757.06
123,6638.14
124,6551.21
125,6351.44
126,6305.51
127,6737.4
128,7220.12
129,7642.91
130,7768.71
131,7921.52
132,8051.41
133,7979.48
134,7932.59
135,7802.76
136,7822.67
137,8033.37
138,8430.94
139,8641.55
140,8306.58
141,7747
142,7484.19
143,7424.56
144,7155.76
145,6444.55
146,6289.67
147,6095.81
148,5942.92
149,5793.17
150,5929.95
151,6090.05
152,6206.97
153,6466.87
154,6644.64
155,6933.43
156,7026.82
157,7249.19
158,7387.09
159,7320.67
160,7317.15
161,7348.07
162,7730.61
163,7700.6
164,7355.09
165,6868.45
166,6447.76
167,6418.57
168,6127.79
169,5619.31
170,5319.53
171,5205.61
172,5076.71
173,5003.43
174,5149.83
175,5302.22
176,5279.74
177,5539.05
178,5686.44
179,6034.67
180,6346.18
181,6636.23
182,6640.74
183,6468.11
184,6423.9
185,6495.81
186,7020.44
187,6933.04
188,6625.61
189,6272.87
190,5875.17
191,5869.12
192,5510.39
193,6098.39
194,5958.49
195,5942.5
196,5928.51
197,5910.32
198,6051.03
199,6787.09
200,7638.31
201,8087.84
202,8064.99
203,8135.09
204,8301.03
205,7909.26
206,8006.04
207,7938.02
208,7978.06
209,8197.19
210,8526.2
211,8676.61
212,8184.16
213,7614.58
214,7304.81
215,7094.65
216,6647.98
217,6444.86
218,6276.98
219,6188.05
220,6167.06
221,6048.7
222,6086.31
223,6782.74
224,7625.76
225,8059.08
226,8002.48
227,8051.8
228,8161.41
229,7693.07
230,7668.73
231,7555.14
232,7556.81
233,7776.37
234,8373.62
235,8615.63
236,8207.37
237,7692.75
238,7378.99
239,7145.34
240,6740.64
241,6534.99
242,6367.11
243,6307.15
244,6226.21
245,6072.87
246,6091.2
247,6808.19
248,7734.98
249,8138.17
250,8073.73
251,8124.22
252,8220.4
253,7892.39
254,7889.86
255,7772.7
256,7780.94
257,8001.82
258,8412.49
259,8645.08
260,8320.8
261,7853.15
262,7505.41
263,7313.41
264,6854.75
265,6683.52
266,6523.64
267,6418.72
268,6349.77
269,6201.55
270,6254.01
271,6915.02
272,7786.89
273,8239.05
274,8241.55
275,8223.05
276,8224.79
277,7814.36
278,7814.87
279,7663.22
280,7652.99
281,7906.77
282,8400.42
283,8846.63
284,8556.18
285,7993.6
286,7625.87
287,7426.97
288,7037.26
289,6883.96
290,6741.07
291,6648.14
292,6538.22
293,6378.6
294,6412.12
295,7015.08
296,7842.93
297,8277.08
298,8303.59
299,8349.09
300,8398.31
301,8069.3
302,7996.82
303,7775.73
304,7654.07
305,7853
306,8408.64
307,8717.94
308,8337.92
309,7761.35
310,7447.58
311,7392.59
312,7153.76
313,6449.69
314,6224.85
315,6091.95
316,5965.05
317,5810.21
318,5940.92
319,6134.46
320,6348.19
321,6678.84
322,6831.83
323,6986.83
324,6997.88
325,7031.8
326,6998.71
327,6874.76
328,6847.82
329,6889.03
330,7548.73
331,7729.05
332,7422.36
333,7007.66
334,6623.95
335,6634.55
336,6477.67
337,5989.93
338,5772.09
339,5621.21
340,5483.31
341,5379.39
342,5488.11
343,5687.71
344,5730.59
345,5943.37
346,6068.34
347,6269.28
348,6342.26
349,6453.14
350,6354.13
351,6210.22
352,6183.26
353,6285.36
354,6996.99
355,7092.25
356,6824.73
357,6492.98
358,6133.25
359,6186.79
360,5921.98
361,6532.62
362,6335.77
363,6337.77
364,6305.79
365,6232.23
366,6320.48
367,7039.7
368,7957.27
369,8343.24
370,8280.03
371,8375.71
372,8408.05
373,8025.97
374,8060.19
375,7975.86
376,7972.26
377,8156.58
378,8661.75
379,8989.61
380,8604.81
381,8056.22
382,7712.48
383,7582.85
384,7242.1
385,7071.33
386,6957.41
387,6822.51
388,6771.55
389,6555.93
390,6545.25
391,7238.53
392,8144.11
393,8477.15
394,8403.92
395,8363.7
396,8348.56
397,7952
398,7938.27
399,7819.5
400,7813.36
401,8137.59
402,8637.7
403,8990.69
404,8615.88
405,8074.29
406,7756.52
407,7614.93
408,7235.21
409,7062.31
410,6893.43
411,6806.49
412,6751.54
413,6560.93
414,6509.98
415,7203.92
416,8090.38
417,8445.27
418,8333.2
419,8159.21
420,8220.57
421,7805.47
422,7813.58
423,7880.12
424,7817.58
425,8075.12
426,8629.41
427,8916.95
428,8552.94
429,7972.37
430,7598.65
431,7460.01
432,7044.32
433,6891.06
434,6637.24
435,6517.33
436,6405.42
437,6195.33
438,6210.91
439,6875.46
440,7717.55
441,8185.9
442,8200.19
443,8335.37
444,8535.92
445,8139.52
446,8160.22
447,8052.66
448,8008.34
449,8135.87
450,8494.22
451,8705.87
452,8276.56
453,7703.98
454,7333.26
455,7076.92
456,6576.29
457,6237.44
458,5954.65
459,5863.72
460,5892.7
461,5808.08
462,5889.29
463,6661.74
464,7566.41
465,8080.36
466,8190.94
467,8423.44
468,8513.7
469,8108.67
470,8076.03
471,8013.75
472,7947.13
473,8088.35
474,8435.4
475,8576.42
476,8159.42
477,7589.84
478,7233.11
479,7137.78
480,6834
481,6104.75
482,5847.94
483,5720.03
484,5604.12
485,5479.71
486,5526.19
487,5761.73
488,5923.17
489,6371.4
490,6619.65
491,6854.92
492,7016.53
493,7083.75
494,7079.31
495,6876.74
496,6784.53
497,6771.43
498,7198.95
499,7237.19
500,6884.02
501,6402.37
502,6003.67
503,5920.88
504,5562.15
505,5001.72
506,4679.96
507,4591.03
508,4558.05
509,4600.82
510,4715.47
511,4905.66
512,4961.41
513,5295.95
514,5469.04
515,5771.02
516,5967.49
517,6188.71
518,6078.59
519,5876.14
520,5800.79
521,5807.27
522,6405.21
523,6498.8
