t,demand_[MWh]
t_319, 23.69 
t_320, 51.50 
t_321, 88.17 
t_322, 147.54 
t_323, 180.72 
t_324, 199.05 
t_325, 167.15 
t_326, 195.85 
t_327, 227.77 
t_328, 226.49 
t_329, 209.78 
t_330, 196.88 
t_331, 158.07 
t_332, 111.84 
t_333, 82.27 
t_334, 63.59 
t_335, 44.20 
t_336, 28.87 
t_337, 3.73 
t_338, 4.17 
t_339, 4.08 
t_340, 5.94 
t_341, 13.30 
t_342, 43.07 
t_343, 154.16 
t_344, 241.73 
t_345, 209.63 
t_346, 167.73 
t_347, 159.09 
t_348, 158.34 
t_349, 203.37 
t_350, 188.97 
t_351, 162.91 
t_352, 163.51 
t_353, 212.45 
t_354, 313.44 
t_355, 288.59 
t_356, 198.00 
t_357, 117.65 
t_358, 74.54 
t_359, 69.45 
t_360, 46.75 
t_361, 3.73 
t_362, 4.17 
t_363, 4.08 
t_364, 5.94 
t_365, 13.30 
t_366, 43.07 
t_367, 154.16 
t_368, 241.73 
t_369, 209.63 
t_370, 167.73 
t_371, 159.09 
t_372, 158.34 
t_373, 203.37 
t_374, 188.97 
t_375, 162.91 
t_376, 163.51 
t_377, 212.45 
t_378, 313.44 
t_379, 288.59 
t_380, 198.00 
t_381, 117.65 
t_382, 74.54 
t_383, 69.45 
t_384, 46.75 
t_385, 3.73 
t_386, 4.17 
t_387, 4.08 
t_388, 5.94 
t_389, 13.30 
t_390, 43.07 
t_391, 154.16 
t_392, 241.73 
t_393, 209.63 
t_394, 167.73 
t_395, 159.09 
t_396, 158.34 
t_397, 203.37 
t_398, 188.97 
t_399, 162.91 
t_400, 163.51 
t_401, 212.45 
t_402, 313.44 
t_403, 288.59 
t_404, 198.00 
t_405, 117.65 
t_406, 74.54 
t_407, 69.45 
t_408, 46.75 
t_409, 3.73 
t_410, 4.17 
t_411, 4.08 
t_412, 5.94 
t_413, 13.30 
t_414, 43.07 
t_415, 154.16 
t_416, 241.73 
t_417, 209.63 
t_418, 167.73 
t_419, 159.09 
t_420, 158.34 
t_421, 203.37 
t_422, 188.97 
t_423, 162.91 
t_424, 163.51 
t_425, 212.45 
t_426, 313.44 
t_427, 288.59 
t_428, 198.00 
t_429, 117.65 
t_430, 74.54 
t_431, 69.45 
t_432, 46.75 
t_433, 3.73 
t_434, 4.17 
t_435, 4.08 
t_436, 5.94 
t_437, 13.30 
t_438, 43.07 
t_439, 154.16 
t_440, 241.73 
t_441, 209.63 
t_442, 167.73 
t_443, 159.09 
t_444, 158.34 
t_445, 203.37 
t_446, 188.97 
t_447, 162.91 
t_448, 163.51 
t_449, 212.45 
t_450, 313.44 
t_451, 288.59 
t_452, 198.00 
t_453, 117.65 
t_454, 74.54 
t_455, 69.45 
t_456, 46.75 
t_457, 29.90 
t_458, 24.50 
t_459, 12.28 
t_460, 10.54 
t_461, 9.67 
t_462, 19.38 
t_463, 38.61 
t_464, 87.83 
t_465, 147.65 
t_466, 241.56 
t_467, 265.31 
t_468, 226.06 
t_469, 209.16 
t_470, 226.83 
t_471, 262.64 
t_472, 241.10 
t_473, 232.69 
t_474, 209.06 
t_475, 180.52 
t_476, 125.91 
t_477, 99.24 
t_478, 84.49 
t_479, 88.11 
t_480, 75.15 
t_481, 35.38 
t_482, 38.60 
t_483, 22.50 
t_484, 16.02 
t_485, 12.45 
t_486, 17.02 
t_487, 23.69 
t_488, 51.50 
t_489, 88.17 
t_490, 147.54 
t_491, 180.72 
t_492, 199.05 
t_493, 167.15 
t_494, 195.85 
t_495, 227.77 
t_496, 226.49 
t_497, 209.78 
t_498, 196.88 
t_499, 158.07 
t_500, 111.84 
t_501, 82.27 
t_502, 63.59 
t_503, 44.20 
t_504, 28.87 
t_505, 3.73 
t_506, 4.17 
t_507, 4.08 
t_508, 5.94 
t_509, 13.30 
t_510, 43.07 
t_511, 154.16 
t_512, 241.73 
t_513, 209.63 
t_514, 167.73 
t_515, 159.09 
t_516, 158.34 
t_517, 203.37 
t_518, 188.97 
t_519, 162.91 
t_520, 163.51 
t_521, 212.45 
t_522, 313.44 
t_523, 288.59 
t_524, 198.00 
t_525, 117.65 
t_526, 74.54 
t_527, 69.45 
t_528, 46.75 
t_529, 3.73 
t_530, 4.17 
t_531, 4.08 
t_532, 5.94 
t_533, 13.30 
t_534, 43.07 
t_535, 154.16 
t_536, 241.73 
t_537, 209.63 
t_538, 167.73 
t_539, 159.09 
t_540, 158.34 
t_541, 203.37 
t_542, 188.97 
t_543, 162.91 
t_544, 163.51 
t_545, 212.45 
t_546, 313.44 
t_547, 288.59 
t_548, 198.00 
t_549, 117.65 
t_550, 74.54 
t_551, 69.45 
t_552, 46.75 
t_553, 3.73 
t_554, 4.17 
