t,demand_[MWh]
1,1338.41
2,1338.41
3,1338.41
4,1338.41
5,1171.18
6,1003.83
7,501.88
8,334.6
9,167.31
10,334.6
11,501.88
12,585.53
13,501.88
14,334.6
15,250.95
16,334.6
17,669.2
18,1003.83
19,1505.69
20,1673.09
21,1673.09
22,1673.09
23,1338.41
24,1338.41
25,1380.54
26,1380.54
27,1380.54
28,1380.54
29,1208.03
30,1035.51
31,517.72
32,345.17
33,172.59
34,345.17
35,517.72
36,604.03
37,517.72
38,345.17
39,258.87
40,345.17
41,690.34
42,1035.51
43,1553.24
44,1725.92
45,1725.92
46,1725.92
47,1380.54
48,1380.54
49,1418.69
50,1418.69
51,1418.69
52,1418.69
53,1241.33
54,1064.08
55,532.04
56,354.68
57,177.35
58,354.68
59,532.04
60,620.72
61,532.04
62,354.68
63,266.02
64,354.68
65,709.39
66,1064.08
67,1596.12
68,1773.51
69,1773.51
70,1773.51
71,1418.69
72,1418.69
73,1431.16
74,1431.16
75,1431.16
76,1431.16
77,1252.48
78,1073.57
79,536.76
80,357.83
81,178.93
82,357.83
83,536.76
84,626.23
85,536.76
86,357.83
87,268.39
88,357.83
89,715.7
90,1073.57
91,1610.35
92,1789.26
93,1789.26
94,1789.26
95,1431.16
96,1431.16
97,1437.7
98,1437.7
99,1437.7
100,1437.7
101,1257.9
102,1078.25
103,539.1
104,359.36
105,179.7
106,359.36
107,539.1
108,628.96
109,539.1
110,359.36
111,269.53
112,359.36
113,718.79
114,1078.25
115,1617.03
116,1796.94
117,1796.94
118,1796.94
119,1437.7
120,1437.7
121,1470.37
122,1470.37
123,1470.37
124,1470.37
125,1286.56
126,1102.8
127,551.44
128,367.65
129,183.82
130,367.65
131,551.44
132,643.32
133,551.44
134,367.65
135,275.71
136,367.65
137,735.23
138,1102.8
139,1654.23
140,1838.15
141,1838.15
142,1838.15
143,1470.37
144,1470.37
145,1459.33
146,1459.33
147,1459.33
148,1459.33
149,1276.82
150,1094.61
151,547.23
152,364.86
153,182.38
154,364.86
155,547.23
156,638.45
157,547.23
158,364.86
159,273.64
160,364.86
161,729.67
162,1094.61
163,1641.74
164,1823.84
165,1823.84
166,1823.84
167,1459.33
168,1459.33
169,1453.8
170,1453.8
171,1453.8
172,1453.8
173,1271.91
174,1090.19
175,545.12
176,363.4
177,181.72
178,363.4
179,545.12
180,635.98
181,545.12
182,363.4
183,272.58
184,363.4
185,726.84
186,1090.19
187,1635.29
188,1817.17
189,1817.17
190,1817.17
191,1453.8
192,1453.8
193,1446.61
194,1446.61
195,1446.61
196,1446.61
197,1265.82
198,1085.05
199,542.49
200,361.67
201,180.82
202,361.67
203,542.49
204,632.93
205,542.49
206,361.67
207,271.24
208,361.67
209,723.34
210,1085.05
211,1627.47
212,1808.24
213,1808.24
214,1808.24
215,1446.61
216,1446.61
217,1433.66
218,1433.66
219,1433.66
220,1433.66
221,1254.53
222,1075.33
223,537.63
224,358.42
225,179.2
226,358.42
227,537.63
228,627.23
229,537.63
230,358.42
231,268.8
232,358.42
233,716.84
234,1075.33
235,1612.84
236,1791.98
237,1791.98
238,1791.98
239,1433.66
240,1433.66
241,1442.73
242,1442.73
243,1442.73
244,1442.73
245,1262.3
246,1082.11
247,541
248,360.67
249,180.33
250,360.67
251,541
252,631.18
253,541
254,360.67
255,270.49
256,360.67
257,721.34
258,1082.11
259,1622.88
260,1803.26
261,1803.26
262,1803.26
263,1442.73
264,1442.73
265,1453.8
266,1453.8
