t,charging_power_rate_[MWh]
t_6553,9450
t_6554,9448
t_6555,9448
t_6556,9436
t_6557,9378
t_6558,9160
t_6559,8340
t_6560,7692
t_6561,7930
t_6562,8238
t_6563,8304
t_6564,8308
t_6565,7978
t_6566,8082
t_6567,8274
t_6568,8272
t_6569,7908
t_6570,7164
t_6571,7348
t_6572,8016
t_6573,8610
t_6574,8928
t_6575,8964
t_6576,9132
t_6577,9450
t_6578,9448
t_6579,9448
t_6580,9436
t_6581,9378
t_6582,9160
t_6583,8340
t_6584,7692
t_6585,7930
t_6586,8238
t_6587,8304
t_6588,8308
t_6589,7978
t_6590,8082
t_6591,8274
t_6592,8272
t_6593,7908
t_6594,7164
t_6595,7348
t_6596,8016
t_6597,8610
t_6598,8928
t_6599,8964
t_6600,9132
t_6601,9450
t_6602,9448
t_6603,9448
t_6604,9436
t_6605,9378
t_6606,9160
t_6607,8340
t_6608,7692
t_6609,7930
t_6610,8238
t_6611,8304
t_6612,8308
t_6613,7978
t_6614,8082
t_6615,8274
t_6616,8272
t_6617,7908
t_6618,7164
t_6619,7348
t_6620,8016
t_6621,8610
t_6622,8928
t_6623,8964
t_6624,9132
t_6625,9450
t_6626,9448
t_6627,9448
t_6628,9436
t_6629,9378
t_6630,9160
t_6631,8340
t_6632,7692
t_6633,7930
t_6634,8238
t_6635,8304
t_6636,8308
t_6637,7978
t_6638,8082
t_6639,8274
t_6640,8272
t_6641,7908
t_6642,7164
t_6643,7348
t_6644,8016
t_6645,8610
t_6646,8928
t_6647,8964
t_6648,9132
t_6649,9450
t_6650,9448
t_6651,9448
t_6652,9436
t_6653,9378
t_6654,9160
t_6655,8340
t_6656,7692
t_6657,7930
t_6658,8238
t_6659,8304
t_6660,8308
t_6661,7978
t_6662,8082
t_6663,8274
t_6664,8272
t_6665,7908
t_6666,7164
t_6667,7348
t_6668,8016
t_6669,8610
t_6670,8928
t_6671,8964
t_6672,9132
t_6673,9258
t_6674,9298
t_6675,9388
t_6676,9400
t_6677,9406
t_6678,9334
t_6679,9192
t_6680,8830
t_6681,8388
t_6682,7696
t_6683,7518
t_6684,7810
t_6685,7932
t_6686,7804
t_6687,7540
t_6688,7698
t_6689,7758
t_6690,7936
t_6691,8146
t_6692,8548
t_6693,8746
t_6694,8854
t_6695,8826
t_6696,8922
t_6697,9216
t_6698,9192
t_6699,9312
t_6700,9360
t_6701,9388
t_6702,9352
t_6703,9304
t_6704,9096
t_6705,8826
t_6706,8388
t_6707,8142
t_6708,8008
t_6709,8244
t_6710,8032
t_6711,7794
t_6712,7806
t_6713,7930
t_6714,8026
t_6715,8310
t_6716,8652
t_6717,8872
t_6718,9010
t_6719,9150
t_6720,9264
t_6721,9450
t_6722,9448
t_6723,9448
t_6724,9436
t_6725,9378
t_6726,9160
t_6727,8340
t_6728,7692
t_6729,7930
t_6730,8238
t_6731,8304
t_6732,8308
t_6733,7978
t_6734,8082
t_6735,8274
t_6736,8272
t_6737,7908
t_6738,7164
t_6739,7348
t_6740,8016
t_6741,8610
t_6742,8928
t_6743,8964
t_6744,9132
t_6745,9450
t_6746,9448
t_6747,9448
t_6748,9436
t_6749,9378
t_6750,9160
t_6751,8340
t_6752,7692
t_6753,7930
t_6754,8238
t_6755,8304
t_6756,8308
t_6757,7978
t_6758,8082
t_6759,8274
t_6760,8272
t_6761,7908
t_6762,7164
t_6763,7348
t_6764,8016
t_6765,8610
t_6766,8928
t_6767,8964
t_6768,9132
t_6769,9450
t_6770,9448
t_6771,9448
t_6772,9436
t_6773,9378
t_6774,9160
t_6775,8340
t_6776,7692
t_6777,7930
t_6778,8238
t_6779,8304
t_6780,8308
t_6781,7978
t_6782,8082
t_6783,8274
t_6784,8272
t_6785,7908
t_6786,7164
t_6787,7348
t_6788,8016
t_6789,8610
t_6790,8928
t_6791,8964
t_6792,9132
t_6793,9450
t_6794,9448
t_6795,9448
t_6796,9436
t_6797,9378
t_6798,9160
t_6799,8340
t_6800,7692
t_6801,7930
t_6802,8238
t_6803,8304
t_6804,8308
t_6805,7978
t_6806,8082
t_6807,8274
t_6808,8272
t_6809,7908
t_6810,7164
t_6811,7348
t_6812,8016
t_6813,8610
t_6814,8928
t_6815,8964
t_6816,9132
t_6817,9450
t_6818,9448
t_6819,9448
t_6820,9436
t_6821,9378
t_6822,9160
t_6823,8340
t_6824,7692
t_6825,7930
t_6826,8238
t_6827,8304
t_6828,8308
